sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561518.8011236,422763000000000,422763000000000,422763718000000,422763359000000,718.0,2748.372,2748.372,422763.718,422763.718,,420014.987,False,1,0,0,0,False,0,1007,1206,2748372,2748374,2748372,0,0,315675,504857,11.39734,-1.272775,-0.372122,-99.39837,4.970703,-24.01367,977.666,-0.2225,0.38875,-0.52625,7,-41,-50,52.22222,True,845,3,37.24855883,-80.4175025,12,0.75,,,,1679110,4596,1104
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561519.6737754,422763875000000,422763875000000,422764625000000,422764250000000,750.0,2749.204,2749.204,422764.625,422764.64,,420015.0165,False,2,0,0,0,False,0,1007,1207,2749204,2749205,2749204,0,0,315675,504857,11.40279,-1.211708,-0.5588,-98.92907,4.482422,-23.52539,981.5723,-0.8475,-0.98625,0.22375,6,-42,-49,52.22222,True,52,3,37.24855933,-80.41750217,12,0.75,,,,1679505,4598,1105
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561520.643334,422764843000000,422764843000000,422765562000000,422765202500000,719.0,2750.192,2750.192,422765.562,422765.562,,420015.01050000003,False,3,0,0,0,False,0,1007,1208,2750192,2750193,2750192,0,0,315675,504857,11.40279,-1.30648,-0.300601,-99.13307,4.482422,-24.50195,981.5723,-0.7225,-0.36125,-0.27625,7,-42,-50,51.66667,True,182,3,37.24856,-80.41750183,12,0.75,,,,1680062,4600,1106
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561521.6364837,422765843000000,422765843000000,422766578000000,422766210500000,735.0,2751.165,2751.165,422766.578,422766.578,,420015.02800000005,False,4,0,0,0,False,0,1007,1209,2751165,2751166,2751165,0,0,315675,504857,11.40279,-1.216167,0.315914,-99.83926,4.970703,-24.50195,978.6426,-0.0975,2.01375,-0.40125,7,-42,-48,52.22222,True,168,3,37.2485615,-80.4175,12,0.85,,,,1680619,4602,1107
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561522.6114755,422766812000000,422766812000000,422767500000000,422767156000000,688.0,2752.133,2752.133,422767.5,422767.5,,420015.02300000004,True,5,0,0,0,False,0,1007,1210,2752133,2752134,2752133,0,0,315675,504857,11.40279,-1.264476,-0.454988,-99.62666,6.435547,-22.06055,980.1074,-0.7225,-2.42375,-0.21375,6,-41,-50,52.22222,True,163,3,37.24856233,-80.4174995,12,0.85,,,,1681172,4604,1108
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561523.460394,422767656000000,422767656000000,422768421000000,422768038500000,765.0,2753.017,2753.017,422768.421,422768.421,,420015.02225000004,True,6,0,0,0,False,0,1007,1211,2753017,2753019,2753017,0,0,315675,504857,11.40279,-1.24437,-0.465513,-99.3021,2.041016,-24.01367,978.6426,-0.035,0.63875,0.22375,6,-41,-49,52.22222,True,89,3,37.24856317,-80.41749867,12,0.85,,,,1681698,4606,1109
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561524.6248434,422768828000000,422768828000000,422769546000000,422769187000000,718.0,2754.177,2754.177,422769.546,422769.546,,420015.02150000003,True,7,0,0,0,False,0,1007,1212,2754177,2754179,2754177,0,0,315675,504857,11.40279,-1.260416,-0.43168,-99.266,5.458984,-22.06055,977.666,-0.5975,-1.86125,-0.21375,6,-43,-50,52.22222,True,327,3,37.24856417,-80.41749833,12,0.85,,,,1682411,4608,1109
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561525.6161892,422769812000000,422769812000000,422770562000000,422770187000000,750.0,2755.167,2755.167,422770.562,422770.578,,420015.02075,True,8,0,0,0,False,0,1007,1213,2755167,2755168,2755167,0,-0.069497794,315675,504872,11.40279,-2.134407,-1.956547,-101.6199,87.49023,-71.86523,995.2441,0.6525,-7.17375,-12.15125,11,-46,-49,52.22222,True,184,3,37.24856467,-80.41749833,12,0.85,,,,1682966,4610,1110
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561526.611349,422770812000000,422770812000000,422771500000000,422771156000000,688.0,2756.145,2756.145,422771.5,422771.5,,420015.01999999996,True,9,0,0,0,False,0,1007,1214,2756145,2756146,2756145,-0.064484025,-0.12896805,315686,505489,11.40279,-1.362413,-8.627084,-113.181,178.7988,8.212891,862.9199,-0.7225,10.51375,-39.33875,12,-52,-51,52.22222,True,174,3,37.24856517,-80.41749817,12,0.85,,,,1683523,4612,1111
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-4,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,4,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561527.6052635,422771812000000,422771812000000,422772515000000,422772163500000,703.0,2757.132,2757.132,422772.515,422772.515,,420015.02075,True,10,0,0,0,False,0,1007,1215,2757132,2757133,2757132,-0.128931213,-0.128875996,316348,506405,11.40279,0.349492,-0.093821,-116.1015,-17.49023,47.27539,1114.873,-0.3475,10.82625,-12.21375,19,-45,-51,52.22222,True,185,3,37.24856583,-80.417499,12,0.85,,,,1684080,4614,1112
