sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649139.3907053,510383593000000,510383593000000,510384406000000,510383999500000,813.0,1719.359,1719.359,510384.406,510384.406,,508664.6405,False,1,0,0,0,False,0,1007,963,1719359,1719360,1719359,0,0,311031,451927,11.12926,0.039068,-0.730631,-179.591,13.71094,2.304688,981.2109,-0.36,0.6475,0.27625,31,0,-51,47.77778,True,7,3,37.24887483,-80.4180875,11,1.05,,,,897906,2980,447
1,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649140.293674,510384500000000,510384500000000,510385234000000,510384867000000,734.0,1720.22,1720.22,510385.234,510385.234,,508664.64375000005,False,2,0,0,0,False,0,1007,964,1720220,1720222,1720220,0,0,311031,451927,11.12926,0.001503,-1.148431,-179.6915,12.73438,2.304688,980.7227,-0.2975,0.21,-0.34875,34,0,-52,47.77778,True,49,3,37.24887367,-80.41808617,11,1.05,,,,898410,2982,447
2,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649141.1853545,510385390000000,510385390000000,510386046000000,510385718000000,656.0,1721.11,1721.11,510386.046,510386.046,,508664.6405,False,3,0,0,0,False,0,1007,965,1721110,1721112,1721110,0,0,311031,451927,11.12926,0.095429,-0.705866,-179.6861,13.71094,2.792969,983.6523,-0.1725,1.46,-0.03625,32,0,-50,47.77778,True,41,3,37.24887283,-80.41808483,11,1.05,,,,898944,2984,447
3,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649141.8834233,510386078000000,510386078000000,510386968000000,510386523000000,890.0,1721.824,1721.824,510386.968,510386.968,,508664.64375000005,False,4,0,0,0,False,0,1007,966,1721824,1721825,1721824,0,0,311031,451927,11.12926,0.237003,-0.718912,-179.6268,14.19922,2.304688,984.1406,-0.2975,0.5225,-0.28625,33,-1,-52,47.77778,True,754,3,37.24887283,-80.41808483,11,1.05,,,,899225,2984,448
4,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649142.8037531,510387000000000,510387000000000,510387796000000,510387398000000,796.0,1722.743,1722.743,510387.796,510387.796,,508664.64700000006,True,5,0,0,0,False,0,1007,967,1722743,1722744,1722743,0,0,311031,451927,11.12926,0.065902,-0.415117,-179.3399,9.316406,3.769531,981.6992,-0.485,-1.165,-0.03625,33,-1,-53,47.77778,True,170,3,37.24887167,-80.41808367,11,1.05,,,,899607,2986,449
5,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649143.761499,510387968000000,510387968000000,510388718000000,510388343000000,750.0,1723.702,1723.702,510388.718,510388.718,,508664.64400000003,True,6,0,0,0,False,0,1007,968,1723702,1723703,1723702,0,0,311031,451927,11.1613,0.010298,-0.742065,-179.2877,10.29297,1.328125,981.2109,-0.11,-1.04,0.27625,32,0,-52,47.77778,True,140,3,37.24887067,-80.41808267,11,1.05,,,,900118,2988,450
6,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649144.8162775,510389015000000,510389015000000,510389843000000,510389429000000,828.0,1724.752,1724.752,510389.843,510389.843,,508664.64700000006,True,7,0,0,0,False,0,1007,969,1724752,1724753,1724752,0,0,311031,451927,11.1613,0.061219,-0.724947,-179.7914,13.71094,3.769531,982.6758,-0.2975,-0.6025,0.08875,33,0,-51,47.77778,True,251,3,37.24886967,-80.41808217,11,1.05,,,,900629,2990,451
7,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649145.7552905,510389953000000,510389953000000,510390656000000,510390304500000,703.0,1725.7,1725.7,510390.656,510390.656,,508664.64400000003,True,8,0,0,0,False,0,1007,970,1725700,1725702,1725700,0,-0.046331863,311031,451939,11.1613,0.295501,-2.32065,179.07,17.12891,-15.76172,984.1406,0.64,-0.04,-16.47375,36,-1,-49,48.33333,True,146,3,37.24886767,-80.41808167,11,1.05,,,,901140,2992,452
8,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649146.7303069,510390937000000,510390937000000,510391687000000,510391312000000,750.0,1726.685,1726.685,510391.687,510391.687,,508664.641,True,9,0,0,0,False,0,1007,971,1726685,1726686,1726685,-0.162286452,-0.162286452,311269,452749,11.1613,0.177256,-3.678706,171.3123,95.25391,32.08984,919.1992,-1.86,8.085,-14.28625,17,2,-52,47.77778,True,185,3,37.248867,-80.4180815,11,1.05,,,,901649,2994,453
9,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,3,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649147.7408397,510391937000000,510391937000000,510392703000000,510392320000000,766.0,1727.67,1727.67,510392.703,510392.703,,508664.64400000003,True,10,0,0,0,False,0,1007,972,1727670,1727671,1727670,-0.193369203,-0.193010907,312332,453953,11.1613,-0.106738,-3.287771,174.9848,167.5195,-231.0938,972.9102,13.89,1.21,-1.66125,20,0,-47,47.77778,True,187,3,37.24886817,-80.41807983,11,1.05,,,,902173,2996,454
