sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560584.2873669,421828484000000,421828484000000,421829203000000,421828843500000,719.0,1813.834,1813.834,421829.203,421829.203,,420015.00950000004,False,1,0,0,0,False,0,1007,592,1813834,1813835,1813834,0,0,164545,257301,11.45314,0.105396,-0.730951,-107.9286,9.365234,-0.087891,980.1074,-0.5975,-0.61125,0.03625,15,-49,-51,52.77778,True,7,3,37.24856533,-80.41749033,12,0.69,,,,1107710,2813,560
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560585.1173103,421829312000000,421829312000000,421830015000000,421829663500000,703.0,1814.68,1814.68,421830.015,421830.015,,420014.9965,False,2,0,0,0,False,0,1007,593,1814680,1814681,1814680,0,0,164545,257301,11.45314,0.009558,-0.437274,-108.0388,8.388672,0.400391,980.5957,-0.4725,2.32625,-0.15125,16,-51,-50,52.77778,True,101,3,37.24856617,-80.4174895,12,0.69,,,,1108195,2814,561
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560586.021802,421830218000000,421830218000000,421830875000000,421830546500000,657.0,1815.542,1815.542,421830.875,421830.875,,420015.0045,False,3,0,0,0,False,0,1007,594,1815542,1815544,1815542,0,0,164545,257301,11.45314,-0.114827,-0.435587,-108.7155,8.388672,-1.064453,982.0605,0.0275,-2.54875,0.28625,17,-49,-48,52.77778,True,10,3,37.248566,-80.41748833,12,0.69,,,,1108697,2816,561
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560586.759875,421830968000000,421830968000000,421831656000000,421831312000000,688.0,1816.271,1816.271,421831.656,421831.656,,420015.007,False,4,0,0,0,False,0,1007,595,1816271,1816272,1816271,0,0,164545,257301,11.45314,0.021937,-0.520043,-108.5985,8.388672,-0.576172,983.5254,-0.2225,-0.73625,0.22375,16,-52,-48,52.77778,True,738,3,37.248566,-80.41748833,12,0.69,,,,1109013,2816,562
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560587.680055,421831875000000,421831875000000,421832531000000,421832203000000,656.0,1817.197,1817.197,421832.531,421832.546,,420015.006,True,5,0,0,0,False,0,1007,596,1817197,1817198,1817197,0,0,164545,257301,11.44493,0.027635,-0.711257,-108.2506,11.31836,-2.041016,979.1309,-0.035,-0.29875,-0.08875,16,-51,-51,52.77778,True,108,3,37.24856617,-80.41748733,12,0.69,,,,1109518,2818,563
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560588.7903833,421832984000000,421832984000000,421833640000000,421833312000000,656.0,1818.309,1818.309,421833.64,421833.64,,420015.00525,True,6,0,0,0,False,0,1007,597,1818309,1818310,1818309,0,0,164545,257301,11.44493,-0.082723,0.337579,-108.2168,8.876953,-1.552734,982.0605,-0.2225,16.01375,-0.71375,16,-49,-48,52.77778,True,307,3,37.24856617,-80.41748617,12,0.69,,,,1110152,2820,564
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560589.6965513,421833890000000,421833890000000,421834562000000,421834226000000,672.0,1819.223,1819.223,421834.562,421834.562,,420015.0045,True,7,0,0,0,False,0,1007,598,1819223,1819225,1819223,0,0,164545,257301,11.44493,-0.061518,-0.083364,-108.1676,11.31836,-1.552734,982.0605,0.09,1.26375,0.22375,17,-50,-49,52.77778,True,110,3,37.24856617,-80.41748583,12,0.69,,,,1110657,2822,565
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560590.8448317,421835046000000,421835046000000,421835734000000,421835390000000,688.0,1820.372,1820.372,421835.734,421835.734,,420015.00525,True,8,0,0,0,False,0,1007,599,1820372,1820374,1820372,-0.021494675,-0.064502454,164549,257348,11.44493,0.708601,-4.419478,-115.5866,58.19336,-20.10742,972.7832,0.09,-0.86125,-20.71375,13,-57,-52,52.77778,True,343,3,37.24856667,-80.41748467,12,0.69,,,,1111315,2824,566
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560591.7594593,421835953000000,421835953000000,421836640000000,421836296500000,687.0,1821.285,1821.285,421836.64,421836.64,,420015.006,True,9,0,0,0,False,0,1007,600,1821285,1821286,1821285,-0.107519455,-0.129245004,165119,258084,11.44493,1.4981,-3.299739,-113.4437,-7.724609,105.8691,998.6621,1.34,0.63875,-1.83875,14,-54,-52,52.77778,True,130,3,37.24856683,-80.41748417,12,0.69,,,,1111796,2826,567
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,1,none,0.5,3,rough,0.064,-0.064,1.65,"2.1,2.1,2.1,2.1",-0.14,-0.14,1784560592.7825594,421836984000000,421836984000000,421837703000000,421837343500000,719.0,1822.32,1822.32,421837.703,421837.703,,420015.00775,True,10,0,0,0,False,0,1007,601,1822320,1822321,1822320,-0.161837596,-0.161837596,166009,259065,11.44493,-0.344521,1.045483,-114.7878,-41.41602,-77.72461,964.9707,-5.4725,2.57625,-2.96375,21,-52,-49,52.77778,True,234,3,37.24856617,-80.417484,12,0.69,,,,1112303,2828,568
