sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_rx_ns,http_latency_ms,T,millis,L,R,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783527874.8617642,427137609000000,427138031000000,422.0,1007,268640,0,0,12.38105,-0.112803,0.353623,-132.0117,-0.878906,-3.007813,980.7813,0.60375,1.09375,-0.27375,33,-35,-43,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,21930,0,0
1,True,,1783527876.2864964,427139031000000,427139546000000,515.0,1007,270033,0,0,12.38105,0.094453,0.188039,-131.4574,-5.761719,-2.519531,979.8047,0.22875,-0.15625,-0.08625,32,-37,-44,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,22600,0,0
2,True,,1783527877.8077998,427140546000000,427140968000000,422.0,1007,271573,0,0,12.37322,-7.296487,-4.089664,-131.0517,38.67188,-182.207,949.5313,-2.52125,-7.46875,0.53875,31,-36,-44,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,23460,0,0
3,True,,1783527879.2316928,427141984000000,427142359000000,375.0,1007,272979,0,0,12.37322,-0.374316,-0.091378,-130.7895,-3.320313,-13.26172,981.7578,0.41625,0.53125,-0.02375,30,-37,-45,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,24078,0,0
4,True,,1783527880.6228614,427143375000000,427143781000000,406.0,1007,274386,0,0,12.37322,0.027665,0.121984,-130.4912,4.980469,1.386719,961.25,0.29125,0.78125,-0.27375,32,-36,-44,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,24979,0,0
5,True,,1783527882.0332224,427144781000000,427145171000000,390.0,1007,275795,0,0,12.37322,0.001004,-0.082694,-131.2875,1.074219,-3.007813,979.8047,-0.27125,0.34375,0.03875,31,-37,-44,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,25502,0,0
6,True,,1783527883.4436615,427146187000000,427146578000000,391.0,1007,277191,0,0,12.37322,0.037644,-0.609717,-130.8662,3.515625,-3.007813,982.2461,-0.27125,0.03125,-0.02375,33,-39,-45,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,26323,0,0
7,True,,1783527884.8417332,427147593000000,427148015000000,422.0,1007,278625,0,0,12.37322,0.016261,-0.000608,-131.0072,-0.878906,-1.542969,979.3164,0.10375,-0.90625,-0.52375,33,-38,-44,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,27038,0,0
8,True,,1783527886.2751918,427149015000000,427149421000000,406.0,1007,280041,0,0,12.37322,-0.256961,0.134401,-131.4966,0.585938,0.410156,980.293,-0.89625,-0.84375,-0.02375,34,-36,-45,50,False,4294967295,,,0,99.99,-1,-1,-1,27707,0,0
9,True,,1783527887.6839852,427150437000000,427150843000000,406.0,1007,281459,0,0,12.36501,-0.091906,-0.100154,-131.1531,1.074219,-2.03125,981.2695,-0.08375,-0.84375,-0.14875,32,-36,-44,50,False,4294967295,,,0,99.99,-1,-1,-1,28578,0,0
10,True,,1783527889.1057398,427151859000000,427152234000000,375.0,1007,282858,0,0,12.36501,0.131552,-0.223285,-130.9544,4.003906,-2.519531,981.7578,0.16625,-0.34375,-0.14875,31,-37,-44,50,False,4294967295,,,0,99.99,-1,-1,-1,29092,0,0
11,True,,1783527890.5025976,427153250000000,427153656000000,406.0,1007,284257,0,0,12.36501,-0.195539,0.039032,-130.8811,3.027344,0.410156,979.8047,0.10375,-1.21875,-0.27375,31,-36,-45,49.44444,False,4294967295,,,0,99.99,-1,-1,-1,30126,0,0
12,True,,1783527891.906574,427154656000000,427155046000000,390.0,1007,285653,0,0,12.36501,0.060612,-0.512208,-131.0237,2.539063,-1.054688,977.8516,-0.14625,-2.09375,-0.02375,31,-36,-45,49.44444,False,4294967295,,,3,3.2,-1,-1,-1,30643,0,0
13,True,,1783527893.295807,427156046000000,427156453000000,407.0,1007,287070,0,0,12.36501,0.126042,-0.277341,-131.5813,2.539063,0.410156,977.8516,0.54125,0.03125,-0.21125,32,-36,-45,49.44444,False,4294967295,,,4,3.08,-1,-1,-1,31491,0,0
14,True,,1783527894.7199278,427157468000000,427157875000000,407.0,1007,288486,0,0,12.36501,-0.153907,-0.004678,-131.1234,1.074219,-0.566406,978.3398,-0.20875,-1.03125,-0.02375,33,-36,-45,49.44444,False,4294967295,,,4,3.08,-1,-1,-1,32208,0,0
15,True,,1783527896.1396346,427158890000000,427159281000000,391.0,1007,289903,0,0,12.36501,0.011018,-0.349484,-131.5007,4.003906,-0.566406,981.2695,0.29125,0.03125,-0.08625,31,-35,-43,49.44444,False,4294967295,,,4,3.08,-1,-1,-1,32911,0,0
16,True,,1783527897.54795,427160296000000,427160687000000,391.0,1007,291296,0,0,12.35293,0.266083,-0.311396,-131.5386,0.585938,-3.007813,979.8047,-0.14625,0.15625,0.10125,30,-36,-43,49.44444,False,4294967295,,,4,3.08,-1,-1,-1,33779,0,0
17,True,,1783527898.9412022,427161687000000,427162078000000,391.0,1007,292691,0,0,12.35293,0.000351,-0.037831,-131.8574,4.003906,-1.542969,978.8281,0.16625,0.59375,-0.14875,32,-35,-44,49.44444,False,4294967295,,,5,2.96,-1,-1,-1,34306,0,0
18,True,,1783527900.3347054,427163078000000,427163515000000,437.0,1007,294118,0,0,12.35293,0.193718,-0.382865,-130.9504,0.585938,-3.984375,980.7813,0.04125,-0.40625,0.16375,31,-38,-43,49.44444,True,215,37.24877983,-80.41807067,4,3.08,685.4,1.003166658,0,35214,2,0
