sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
11,True,,1784157182.9487495,18433781000000,18433781000000,18434531000000,18434156000000,750.0,3605.814,3605.814,18434.531,18434.531,,14828.3385,True,12,0,0,0,False,0,1007,1686,3605814,3605815,3605814,-0.210909343,-0.210791153,432478,666362,11.63714,0.292998,-8.069357,-97.31194,-35.40039,62.2168,723.7012,-7.64625,-7.605,-1.1525,-16,-24,-59,47.77778,True,60,3,37.24886533,-80.41809233,10,1.32,,,,2175941,6520,1305
12,True,,1784157184.1382933,18434968000000,18434968000000,18435656000000,18435312000000,688.0,3606.994,3606.994,18435.656,18435.656,,14828.338499999998,True,13,0,0,0,False,0,1007,1687,3606994,3606995,3606994,-0.1719574,-0.1719574,434037,667918,11.63714,0.828333,-10.96757,-91.82233,141.8457,33.4082,770.0879,-11.33375,12.395,3.0975,-12,-20,-39,47.77778,True,378,3,37.24886817,-80.418092,10,1.32,,,,2176706,6522,1305
13,True,,1784157184.9286802,18435750000000,18435750000000,18436468000000,18436109000000,718.0,3607.776,3607.776,18436.468,18436.468,,14828.337499999998,True,14,0,0,0,False,0,1007,1688,3607776,3607778,3607776,-0.021485467,-0.042964799,434527,668408,11.63714,-0.88118,-6.3287,-85.86839,-101.8066,-5.654297,953.6816,-0.14625,3.02,0.16,-14,-22,-35,47.77778,True,46,3,37.24886583,-80.4180885,10,1.32,,,,2177128,6524,1306
14,True,,1784157186.1611545,18436984000000,18436984000000,18437703000000,18437343500000,719.0,3609.007,3609.007,18437.703,18437.703,,14828.3365,True,15,0,0,0,False,0,1007,1689,3609007,3609008,3609007,0,0,434531,668413,11.63714,-1.544212,-3.679947,-69.48205,1.220703,-3.701172,979.5605,0.41625,1.8325,-0.0275,-16,-23,-39,47.77778,True,413,3,37.24886483,-80.41808633,10,1.32,,,,2177840,6526,1306
15,True,,1784157187.07087,18437906000000,18437906000000,18438625000000,18438265500000,719.0,3609.928,3609.928,18438.625,18438.625,,14828.337,True,16,0,0,0,False,0,1007,1690,3609928,3609929,3609928,0,0.021540834,434531,668402,11.63714,-1.125818,-2.345718,-63.46782,-5.126953,-5.166016,977.1191,-0.27125,-0.6675,-0.2775,-16,-22,-39,47.77778,True,123,3,37.24886467,-80.4180835,9,1.37,,,,2178276,6528,1307
16,True,,1784157188.1089306,18438937000000,18438937000000,18439640000000,18439288500000,703.0,3610.96,3610.96,18439.64,18439.656,,14828.3365,True,17,0,0,0,False,0,1007,1691,3610960,3610961,3610960,0.150376795,0.150312413,434270,668082,11.57701,-0.393756,2.076532,-62.35912,68.11523,27.06055,902.9004,-3.77125,-12.23,2.41,-7,-20,-40,47.77778,True,231,3,37.24886583,-80.418081,9,1.37,,,,2178839,6530,1308
17,True,,1784157189.1313305,18439953000000,18439953000000,18440671000000,18440312000000,718.0,3611.996,3611.996,18440.671,18440.671,,14828.336499999998,True,18,0,0,0,False,0,1007,1692,3611996,3611997,3611996,0.193452075,0.1719574,433156,666959,11.57701,-0.697262,-1.872144,-59.18016,140.8691,71.00586,785.2246,9.66625,14.9575,1.4725,-11,-16,-48,47.77778,True,234,3,37.24886767,-80.41807933,10,1.32,,,,2179408,6532,1309
18,True,,1784157189.945733,18440781000000,18440781000000,18441406000000,18441093500000,625.0,3612.79,3612.79,18441.406,18441.406,,14828.336499999998,True,19,0,0,0,False,0,1007,1693,3612790,3612792,3612790,0.188172493,0.188549781,432150,665961,11.57701,0.259307,3.464117,-60.85789,-142.8223,-109.1699,1134.346,-6.45875,12.02,-0.59,-5,-21,-57,47.77778,True,40,3,37.24887017,-80.41808317,10,1.32,,,,2179843,6534,1310
19,True,,1784157190.7771711,18441609000000,18441609000000,18442281000000,18441945000000,672.0,3613.62,3613.62,18442.281,18442.281,,14828.336,True,20,0,0,0,False,0,1007,1694,3613620,3613621,3613620,0.193452075,0.215315863,431060,664864,11.57701,2.156981,5.572176,-64.27295,1.708984,75.40039,748.1152,-13.33375,8.27,5.91,2,-31,-59,47.77778,True,38,3,37.24887033,-80.41808267,10,1.32,,,,2180315,6536,1311
20,True,,1784157192.2040522,18443031000000,18443031000000,18443750000000,18443390500000,719.0,3615.056,3615.056,18443.75,18443.75,,14828.335500000001,True,21,0,0,0,False,0,1007,1695,3615056,3615057,3615056,0.193452075,0.21494675,429144,662973,11.57701,0.732964,8.406754,-75.51176,-108.1543,-34.46289,1438.057,-4.45875,-13.0425,3.285,11,-18,-52,47.77778,True,468,3,37.24886967,-80.418082,10,1.32,,,,2181251,6538,1311
21,True,,1784157193.1244104,18443953000000,18443953000000,18444656000000,18444304500000,703.0,3615.969,3615.969,18444.656,18444.656,,14828.3355,True,22,0,0,0,False,0,1007,1696,3615969,3615970,3615969,0.193452075,0.21494675,427922,661741,11.57701,-0.862064,8.739329,-85.36954,-176.5137,-131.1426,1092.842,14.10375,-20.855,0.035,9,-17,-42,47.77778,True,112,3,37.2488695,-80.41807217,10,1.32,,,,2181691,6540,1312
22,True,,1784157194.2506268,18445078000000,18445078000000,18445796000000,18445437000000,718.0,3617.095,3617.095,18445.796,18445.796,,14828.335500000001,True,23,0,0,0,False,0,1007,1697,3617095,3617097,3617095,0.128949629,0.128986477,426429,660272,11.57701,-1.860637,1.533855,-97.48869,69.58008,-100.8691,857.9785,1.29125,11.77,-1.1525,9,-22,-37,47.77778,True,324,3,37.24887167,-80.41806767,10,1.32,,,,2182354,6542,1313
