sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
11,True,,1784070703.8851566,969962171000000,969962171000000,969962828000000,969962499500000,657.0,3327.013,3327.013,969962.828,969962.828,,966635.587,True,12,0,0,0,False,0,1007,886,3327013,3327015,3327013,-0.128949629,-0.128949629,233554,293875,11.88501,9.925497,9.39869,-22.88665,-244.1406,4.228516,1335.176,4.53125,3.2325,-61.39625,0,-21,-59,48.88889,True,287,3,37.248759,-80.41809667,5,2.17,,,,1569527,3330,324
12,True,,1784070705.0461261,969963328000000,969963328000000,969964359000000,969963843500000,1031.0,3328.195,3328.195,969964.359,969964.359,,966635.5945,True,13,0,0,0,False,0,1007,887,3328195,3328197,3328195,-0.160066729,-0.137346166,234664,294986,11.84901,4.09585,2.708709,-78.27591,-85.9375,43.7793,1001.191,0.15625,-16.5175,-57.64625,-4,-20,-57,48.88889,True,382,3,37.24873967,-80.418092,5,2.67,,,,1570198,3332,324
13,True,,1784070706.1316876,969964421000000,969964421000000,969965281000000,969964851000000,860.0,3329.265,3329.265,969965.281,969965.281,,966635.59025,True,14,0,0,0,False,0,1007,888,3329265,3329266,3329265,-0.148343532,-0.127080004,235662,296010,11.84901,7.782658,-5.91769,-125.3062,-202.1484,151.6895,969.4531,-2.46875,-16.2675,-60.08375,-12,-19,-55,48.88889,True,267,3,37.2487285,-80.41809167,4,2.67,,,,1570738,3334,325
14,True,,1784070707.065469,969965343000000,969965343000000,969966203000000,969965773000000,860.0,3330.218,3330.218,969966.203,969966.203,,966635.586,True,15,0,0,0,False,0,1007,889,3330218,3330219,3330218,-0.147802284,-0.14763654,236544,296918,11.84901,14.09464,-8.334602,177.0769,-138.1836,13.50586,1214.082,5.28125,8.67,-63.02125,-13,-20,-45,48.88889,True,176,3,37.24873517,-80.4180885,5,2.64,,,,1571149,3336,326
15,True,,1784070708.0402603,969966328000000,969966328000000,969967125000000,969966726500000,797.0,3331.201,3331.201,969967.125,969967.125,,966635.5827500001,True,16,0,0,0,False,0,1007,890,3331201,3331202,3331201,-0.046055318,-0.023017091,237293,297681,11.84901,18.76451,-7.972889,152.0303,-143.0664,89.18945,1012.422,2.90625,-12.2675,-56.77125,-12,-20,-39,48.88889,True,181,3,37.24877983,-80.4180655,5,2.64,,,,1571689,3338,327
16,True,,1784070709.0376332,969967328000000,969967328000000,969968140000000,969967734000000,812.0,3332.181,3332.181,969968.14,969968.14,,966635.5795000001,True,17,0,0,0,False,0,1007,891,3332181,3332182,3332181,0,-0.04298935,237321,297717,11.84901,20.75277,-7.139091,123.9647,-71.77734,67.2168,1006.074,2.28125,-8.8925,-72.83376,-12,-19,-37,48.88889,True,178,3,37.24877867,-80.418048,4,4.76,,,,1572231,3340,328
17,True,,1784070710.00827,969968296000000,969968296000000,969969171000000,969968733500000,875.0,3333.172,3333.172,969969.171,969969.171,,966635.57325,True,18,0,0,0,False,0,1007,892,3333172,3333173,3333172,0,-0.046303347,237321,298049,11.84901,26.73575,-1.582114,80.79259,-98.63281,84.30664,1017.793,3.84375,-1.58,-81.33376,-12,-25,-36,48.33333,True,190,3,37.2487755,-80.41806167,5,3.01,,,,1572773,3342,329
18,True,,1784070711.0080357,969969296000000,969969296000000,969970203000000,969969749500000,907.0,3334.146,3334.146,969970.203,969970.203,,966635.5795000001,True,19,0,0,0,False,0,1007,893,3334146,3334147,3334146,0,-0.063477454,237272,298511,11.84901,32.29985,7.068277,41.82369,-75.19531,111.1621,988.9844,2.21875,-7.58,-75.27126,-12,-38,-39,48.33333,True,173,3,37.24878633,-80.41806683,6,2.11,,,,1573317,3344,330
19,True,,1784070711.974264,969970265000000,969970265000000,969971125000000,969970695000000,860.0,3335.126,3335.126,969971.125,969971.125,,966635.5742500001,True,20,0,0,0,False,0,1007,894,3335126,3335127,3335126,0,0,237272,298671,11.84901,24.92292,14.81937,-6.065532,-89.84375,75.51758,1000.703,1.71875,-5.955,-61.27125,-11,-44,-38,48.88889,True,180,3,37.24879267,-80.4180635,6,2.11,,,,1573863,3346,331
20,True,,1784070712.953068,969971234000000,969971234000000,969971921000000,969971577500000,687.0,3336.104,3336.104,969971.921,969971.921,,966635.5689999999,True,21,0,0,0,False,0,1007,895,3336104,3336105,3336104,0,0,237272,298671,11.84901,8.502762,11.74577,-56.99506,-89.84375,80.40039,1000.215,2.46875,-7.7675,-61.45875,-11,-42,-38,48.88889,True,179,3,37.24880517,-80.41806317,5,3,,,,1574403,3348,332
21,True,,1784070713.725314,969972015000000,969972015000000,969972750000000,969972382500000,735.0,3336.859,3336.859,969972.75,969972.75,,966635.568,True,22,0,0,0,False,0,1007,896,3336859,3336861,3336859,0,0,237272,298671,11.84901,4.121395,5.46153,-75.19721,-87.89063,77.95898,1003.145,3.03125,-6.33,-61.33375,-13,-43,-38,49.44444,True,51,3,37.24880133,-80.4180585,5,3,,,,1574796,3350,333
22,True,,1784070714.9728382,969973250000000,969973250000000,969974093000000,969973671500000,843.0,3338.132,3338.132,969974.093,969974.093,,966635.5669999999,True,23,0,0,0,False,0,1007,897,3338132,3338133,3338132,0,-0.0644288,237272,298696,11.84901,4.783868,-4.612675,-101.7392,-75.19531,75.0293,999.7266,2.96875,-7.3925,-81.20876,-11,-46,-37,48.33333,True,328,3,37.2488035,-80.418054,5,3,,,,1575612,3352,333
23,True,,1784070716.0037854,969974281000000,969974281000000,969975109000000,969974695000000,828.0,3339.153,3339.153,969975.109,969975.109,,966635.5642499999,True,24,0,0,0,False,0,1007,898,3339153,3339154,3339153,-0.063504245,-0.126919211,237388,299342,11.8451,9.499048,-7.936717,-117.7286,-36.62109,135.5762,949.4336,-0.71875,7.545,-77.45876,-5,-60,-39,48.88889,True,204,3,37.24879817,-80.41804383,5,3,,,,1576152,3354,334
24,True,,1784070717.0271726,969975312000000,969975312000000,969975968000000,969975640000000,656.0,3340.165,3340.165,969975.968,969975.968,,966635.5615,True,25,0,0,0,False,0,1007,899,3340165,3340166,3340165,-0.107473375,-0.150462725,238070,300240,11.8451,10.23177,-5.338727,-123.5037,-83.00781,19.36523,908.418,2.53125,-10.58,-46.14625,8,-66,-37,48.33333,True,211,3,37.2488,-80.41803183,5,3,,,,1576692,3356,335
25,True,,1784070717.9889677,969976265000000,969976265000000,969977265000000,969976765000000,1000.0,3341.187,3341.187,969977.265,969977.265,,966635.5669999999,True,25,0,0,0,False,0,1007,900,3341187,3341189,3341187,-0.137325274,-0.114577159,238940,301196,11.8451,12.91259,-4.995076,-130.2538,-189.9414,31.57227,697.4805,7.65625,-14.455,-60.58375,5,-61,-37,48.33333,True,221,3,37.2487915,-80.41801333,3,9.24,,,,1577228,3358,336
26,True,,1784070719.0417967,969977328000000,969977328000000,969978187000000,969977757500000,859.0,3342.204,3342.204,969978.187,969978.187,,966635.5615,True,25,0,0,0,False,0,1007,901,3342204,3342205,3342204,-0.138781914,-0.138781914,239853,302136,11.8451,12.14434,-6.108301,-135.332,-113.7695,-78.7793,1055.879,8.40625,-13.7675,-60.20875,8,-50,-42,48.88889,True,214,3,37.24880367,-80.41799983,3,9.25,,,,1577766,3360,337
