sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562104.7336793,423348937000000,423348937000000,423349625000000,423349281000000,688.0,3334.303,3334.303,423349.625,423349.625,,420014.978,False,1,0,0,0,False,0,1007,1691,3334303,3334304,3334303,0,0,454416,728803,11.35305,0.331989,-0.48555,-168.459,3.505859,4.794922,980.1074,-0.16,-0.48625,0.03625,23,-5,-49,52.22222,True,783,3,37.24857683,-80.417476,12,0.8,,,,2027515,5768,1489
1,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562105.6350217,423349843000000,423349843000000,423350578000000,423350210500000,735.0,3335.166,3335.166,423350.578,423350.578,,420015.01125,False,2,0,0,0,False,0,1007,1692,3335166,3335167,3335166,0,0,454416,728803,11.35305,0.174138,-0.41912,-168.5423,6.435547,6.259766,981.5723,-0.285,1.01375,-0.83875,24,-5,-47,52.22222,True,63,3,37.24857667,-80.41747667,12,0.8,,,,2027968,5770,1490
2,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562106.626389,423350828000000,423350828000000,423351484000000,423351156000000,656.0,3336.156,3336.156,423351.484,423351.484,,420015.0,False,3,0,0,0,False,0,1007,1693,3336156,3336157,3336156,0,0,454416,728803,11.35305,0.109866,-0.124768,-168.5202,5.947266,2.353516,978.6426,-0.4725,0.70125,-0.40125,24,-5,-49,52.77778,True,189,3,37.24857633,-80.417477,12,0.8,,,,2028550,5772,1491
3,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562107.6186526,423351812000000,423351812000000,423352515000000,423352163500000,703.0,3337.164,3337.164,423352.515,423352.515,,420014.99975,False,4,0,0,0,False,0,1007,1694,3337164,3337165,3337164,0,0,454416,728803,11.35305,0.549007,-0.33754,-168.3258,8.876953,3.330078,979.6191,-0.16,-0.11125,-0.33875,26,-7,-48,52.22222,True,207,3,37.24857617,-80.4174775,12,0.8,,,,2029132,5774,1492
4,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562108.6245847,423352828000000,423352828000000,423353546000000,423353187000000,718.0,3338.146,3338.146,423353.546,423353.546,,420015.0,True,5,0,0,0,False,0,1007,1695,3338146,3338148,3338146,0,0,454416,728803,11.35305,0.701275,-0.3539,-167.9829,3.994141,1.376953,983.0371,-0.3475,2.01375,-0.08875,25,-6,-48,52.77778,True,183,3,37.248576,-80.41747817,12,0.8,,,,2029714,5776,1493
5,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562109.6015618,423353796000000,423353796000000,423354562000000,423354179000000,766.0,3339.15,3339.15,423354.562,423354.562,,420015.0145,True,6,0,0,0,False,0,1007,1696,3339150,3339151,3339150,0,0,454416,728803,11.35305,0.182406,-1.033401,-168.1558,7.412109,5.771484,980.5957,0.09,-14.23625,-0.90125,23,-5,-49,52.77778,True,206,3,37.248576,-80.41747867,12,0.8,,,,2030296,5778,1494
6,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562110.608042,423354812000000,423354812000000,423355468000000,423355140000000,656.0,3340.136,3340.136,423355.468,423355.468,,420015.004,True,7,0,0,0,False,0,1007,1697,3340136,3340137,3340136,0,0,454416,728803,11.35305,0.380553,-0.606456,-167.9866,6.435547,4.306641,979.1309,-0.5975,0.07625,-0.46375,26,-5,-48,52.77778,True,186,3,37.24857617,-80.41747917,12,0.8,,,,2030878,5780,1495
7,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562111.614767,423355812000000,423355812000000,423356515000000,423356163500000,703.0,3341.167,3341.167,423356.515,423356.515,,420015.002,True,8,0,0,0,False,0,1007,1698,3341167,3341168,3341167,0,-0.04606942,454416,728816,11.35293,1.584352,-3.51205,-169.4677,39.15039,42.88086,985.9668,2.0275,-3.54875,-16.15125,27,-9,-48,52.77778,True,215,3,37.24857633,-80.4174795,12,0.8,,,,2031460,5782,1496
8,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562112.6314032,423356828000000,423356828000000,423357531000000,423357179500000,703.0,3342.156,3342.156,423357.531,423357.531,,420015.004,True,9,0,0,0,False,0,1007,1699,3342156,3342158,3342156,-0.107473375,-0.1719574,454647,729682,11.35293,0.267524,-3.258931,-173.3018,71.37695,-35.73242,864.873,-3.0975,7.76375,-27.65125,18,-8,-48,52.77778,True,190,3,37.24857667,-80.4174795,12,0.8,,,,2032042,5784,1497
9,True,,speed-medium_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-2,square0p5x3,rough_permeable_concrete,rough,medium,wifi_baseline,2,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.2,-0.2,1784562113.6404905,423357843000000,423357843000000,423358671000000,423358257000000,828.0,3343.171,3343.171,423358.671,423358.671,,420015.01375000004,True,10,0,0,0,False,0,1007,1700,3343171,3343172,3343171,-0.193452075,-0.215285055,455745,731024,11.35293,1.971815,-1.069017,-172.4899,45.00977,-91.39648,944.4629,9.965,-8.92375,-9.77625,18,-7,-49,52.22222,True,215,3,37.24857767,-80.41747933,12,0.76,,,,2032624,5786,1498
