sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783617153.4799974,516416218000000,516416218000000,516416750000000,516416484000000,532.0,137.49,137.49,516416.75,516416.75,,516278.994,False,1,0,False,0,1007,14,137490,137491,137490,0,0,1,0,12.37693,-0.052346,0.05213,-121.9669,-2.851563,-5.146484,994.3652,0.16,0.085,-0.14625,27,-43,-49,46.66667,False,4294967295,0,,,0,99.99,,,,15824,0,0
1,True,,1783617155.005163,516417750000000,516417750000000,516418265000000,516418007500000,515.0,139.005,139.005,516418.265,516418.265,,516278.99825,False,2,0,False,0,1007,15,139005,139006,139005,0,0,1,0,12.37693,0.147177,0.060096,-122.0693,-0.410156,2.666016,980.2051,0.035,-1.54,0.10375,27,-45,-49,47.22222,False,4294967295,0,,,0,99.99,,,,16088,0,0
2,True,,1783617156.525505,516419265000000,516419265000000,516419781000000,516419523000000,516.0,140.522,140.522,516419.781,516419.781,,516279.001,False,3,0,False,0,1007,16,140522,140523,140522,0,0,1,0,12.3571,0.124579,0.156367,-122.8721,-3.339844,-0.263672,979.2285,0.0975,1.96,0.29125,28,-44,-49,46.11111,False,4294967295,0,,,0,99.99,,,,16616,0,0
3,True,,1783617158.037836,516420781000000,516420781000000,516421312000000,516421046500000,531.0,142.057,142.057,516421.312,516421.312,,516278.9975,False,4,0,False,0,1007,17,142057,142058,142057,0,0,1,0,12.3571,-0.184705,0.5769,-122.5286,2.03125,-0.751953,980.6934,0.16,0.0225,-0.20875,30,-44,-50,47.22222,False,4294967295,0,,,0,99.99,,,,16880,0,0
4,True,,1783617159.572465,516422312000000,516422312000000,516422828000000,516422570000000,516.0,143.573,143.573,516422.828,516422.828,,516278.99700000003,True,5,0,False,0,1007,18,143573,143574,143573,0,0,1,0,12.3571,-0.100748,0.267861,-122.5959,1.542969,-2.216797,982.1582,0.3475,0.7725,-0.27125,30,-44,-48,46.11111,False,4294967295,0,,,0,99.99,,,,17412,0,0
5,True,,1783617161.0881343,516423828000000,516423828000000,516424343000000,516424085500000,515.0,145.088,145.088,516424.343,516424.343,,516278.99725,True,6,0,False,0,1007,19,145088,145089,145088,0,0,1,0,12.3571,0.036224,-0.211207,-122.5472,2.03125,-1.728516,981.1816,0.0975,-0.79,-0.27125,29,-45,-49,46.11111,False,4294967295,0,,,0,99.99,,,,17678,0,0
6,True,,1783617162.6045854,516425343000000,516425343000000,516425890000000,516425616500000,547.0,146.618,146.618,516425.89,516425.89,,516278.9975,True,7,0,False,0,1007,20,146618,146619,146618,0,0,1,0,12.3571,-0.053163,-0.114866,-122.6225,3.007813,-1.240234,979.2285,-0.5275,-2.415,0.35375,30,-45,-49,46.11111,False,4294967295,0,,,0,99.99,,,,18210,0,0
7,True,,1783617164.1418123,516426890000000,516426890000000,516427406000000,516427148000000,516.0,148.148,148.148,516427.406,516427.406,,516278.998,True,8,0,False,0,1007,21,148148,148150,148148,0,0,1,0,12.3571,0.110581,0.490878,-121.9371,-1.386719,-0.263672,977.7637,-0.34,0.21,-0.02125,27,-43,-47,46.66667,False,4294967295,0,,,0,99.99,,,,18529,0,0
8,True,,1783617165.6651905,516428406000000,516428406000000,516428953000000,516428679500000,547.0,149.698,149.698,516428.953,516428.953,,516278.9975,True,9,0,False,0,1007,22,149698,149699,149698,0,0,1,0,12.3571,0.004764,0.278909,-122.5869,2.03125,1.201172,980.2051,0.41,-0.665,0.16625,28,-43,-49,46.66667,False,4294967295,0,,,0,99.99,,,,19008,0,0
9,True,,1783617167.2135246,516429953000000,516429953000000,516430484000000,516430218500000,531.0,151.225,151.225,516430.484,516430.484,,516278.99725,True,10,0,False,0,1007,23,151225,151227,151225,0,0,1,0,12.36501,0.258643,-0.357896,-121.9301,1.054688,2.177734,978.7402,0.0975,-0.3525,0.54125,27,-46,-47,46.66667,False,4294967295,0,,,0,99.99,,,,19406,0,0
