sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784042424.259919,941682546000000,941682546000000,941683203000000,941682874500000,657.0,533.489,533.489,941683.203,941683.203,,941149.3855000001,False,1,0,0,0,False,0,1007,130,533489,533490,533489,0,0,4215,-5160,12.10101,1.74064,-2.173706,-78.9541,44.61914,27.26563,980.9375,-0.23625,-3.00875,0.09875,-8,-35,-47,52.77778,True,9,3,37.24923683,-80.418918,12,0.83,,,,281193,852,49
1,True,,1784042425.3359501,941683625000000,941683625000000,941684390000000,941684007500000,765.0,534.568,534.568,941684.39,941684.39,,941149.4125000001,False,2,0,0,0,False,0,1007,131,534568,534569,534568,0,0,4215,-5160,12.10101,1.751192,-2.31877,-78.99302,41.68945,29.21875,982.8906,-0.54875,-0.75875,0.16125,-7,-37,-46,52.77778,True,278,3,37.24923617,-80.41891917,12,0.83,,,,281850,854,49
2,True,,1784042426.2088206,941684500000000,941684500000000,941685187000000,941684843500000,687.0,535.436,535.436,941685.187,941685.187,,941149.4075,False,3,0,0,0,False,0,1007,132,535436,535437,535436,0,0,4215,-5160,12.10101,1.72784,-2.718523,-78.91904,41.68945,28.73047,978.9844,-0.79875,-1.07125,0.34875,-9,-35,-49,52.77778,True,74,3,37.2492355,-80.41892,12,0.83,,,,282361,856,50
3,True,,1784042427.2980597,941685578000000,941685578000000,941686328000000,941685953000000,750.0,536.524,536.524,941686.328,941686.328,,941149.41825,False,4,0,0,0,False,0,1007,133,536524,536526,536524,0,0,4215,-5160,12.10101,1.713502,-2.69631,-79.41357,45.5957,27.26563,981.4258,-0.36125,-1.13375,-0.21375,-9,-34,-47,52.77778,True,272,3,37.24923517,-80.41892033,12,0.83,,,,283035,858,50
4,True,,1784042428.3754323,941686656000000,941686656000000,941687359000000,941687007500000,703.0,537.599,537.599,941687.359,941687.359,,941149.4084999999,True,5,0,0,0,False,0,1007,134,537599,537600,537599,0,0,4215,-5160,12.10101,1.791524,-2.273219,-79.65168,44.61914,26.77734,982.4023,-0.79875,2.11625,-0.52625,-8,-35,-46,52.77778,True,272,3,37.24923517,-80.4189205,12,0.83,,,,283692,860,50
5,True,,1784042429.3308067,941687609000000,941687609000000,941688375000000,941687992000000,766.0,538.563,538.563,941688.375,941688.375,,941149.41875,True,6,0,0,0,False,0,1007,135,538563,538564,538563,0,0,4215,-5160,12.10101,1.786901,-2.869766,-80.22459,41.20117,27.26563,981.9141,-0.29875,-0.57125,0.47375,-7,-37,-46,53.33333,True,164,3,37.2492355,-80.41891983,12,0.83,,,,284220,862,51
6,True,,1784042430.1449533,941688421000000,941688421000000,941689140000000,941688780500000,719.0,539.381,539.381,941689.14,941689.14,,941149.4084999999,True,7,0,0,0,False,0,1007,136,539381,539382,539381,-0.040731653,0,4223,-5160,12.10101,2.961967,-6.755687,-76.57045,92.95898,91.71875,978.0078,-0.86125,2.74125,11.78625,-16,-39,-51,52.77778,True,59,3,37.24923633,-80.41891867,12,0.83,,,,284678,864,52
7,True,,1784042431.3223367,941689609000000,941689609000000,941690343000000,941689976000000,734.0,540.532,540.532,941690.343,941690.343,,941149.41875,True,8,0,0,0,False,0,1007,137,540532,540533,540532,-0.150462725,-0.107473375,5197,-4823,12.10101,2.132686,-0.446934,-74.12209,32.41211,59.49219,880.8398,-0.67375,-10.38375,9.28625,-3,-22,-51,52.77778,True,284,3,37.2492375,-80.41891717,12,0.83,,,,285405,866,52
8,True,,1784042432.387424,941690671000000,941690671000000,941691343000000,941691007000000,672.0,541.602,541.602,941691.343,941691.343,,941149.4084999999,True,9,0,0,0,False,0,1007,138,541602,541603,541602,-0.186794196,-0.16201569,6436,-3766,12.06464,1.677846,-0.173834,-74.05123,35.3418,4.804688,1147.441,3.32625,0.17875,1.16125,-1,-19,-51,52.77778,True,267,3,37.249237,-80.41891483,12,0.83,,,,286062,868,52
9,True,,1784042433.3218312,941691609000000,941691609000000,941692375000000,941691992000000,766.0,542.543,542.543,941692.375,941692.375,,941149.41875,True,10,0,0,0,False,0,1007,139,542543,542545,542543,-0.182600395,-0.15994519,7594,-2705,12.06464,2.334249,-1.525597,-73.72017,153.0176,113.2031,954.5703,-6.73625,13.55375,9.16125,-2,-17,-51,52.77778,True,142,3,37.24923667,-80.41891183,12,0.83,,,,286590,870,53
