sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561242.929541,422487125000000,422487125000000,422488453000000,422487789000000,1328.0,2473.092,2473.092,422488.453,422488.453,,420014.697,False,1,0,0,0,False,0,1007,1036,2473092,2473093,2473092,0,0,272754,435584,11.40526,-0.255616,0.508405,-163.1272,-11.14258,-5.947266,980.1074,-0.785,-0.04875,0.16125,21,-6,-48,52.77778,True,251,3,37.24857317,-80.41747817,12,0.83,,,,1509363,4046,968
1,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561244.6625185,422488859000000,422488859000000,422489562000000,422489210500000,703.0,2474.236,2474.236,422489.562,422489.562,,420014.83574999997,False,2,0,0,0,False,0,1007,1037,2474236,2474237,2474236,0,0,272754,435584,11.40526,-0.775747,0.380986,-163.8596,-6.259766,-6.923828,980.1074,-0.41,-1.73625,-0.08875,19,-4,-47,52.77778,True,337,3,37.24857333,-80.4174775,12,0.83,,,,1510049,4048,968
2,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561245.6774733,422489875000000,422489890000000,422490609000000,422490249500000,719.0,2475.211,2475.211,422490.609,422490.609,,420014.9745,False,3,0,0,0,False,0,1007,1038,2475211,2475212,2475211,0,0,272754,435584,11.40526,-0.454956,0.3671,-163.8495,-9.189453,-8.388672,979.1309,-0.3475,-0.92375,-0.21375,21,-7,-49,52.77778,True,169,3,37.2485735,-80.41747683,12,0.83,,,,1510606,4050,969
3,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561246.6736069,422490875000000,422490875000000,422491515000000,422491195000000,640.0,2476.196,2476.196,422491.515,422491.515,,420014.98675000004,False,4,0,0,0,False,0,1007,1039,2476196,2476197,2476196,0,0,272754,435584,11.4211,-0.11516,0.564627,-163.7328,-10.16602,-7.900391,979.6191,0.34,1.88875,0.09875,20,-6,-47,52.77778,True,162,3,37.2485735,-80.41747633,12,0.83,,,,1511163,4052,970
4,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561247.668227,422491875000000,422491875000000,422492515000000,422492195000000,640.0,2477.198,2477.198,422492.515,422492.515,,420014.99700000003,True,5,0,0,0,False,0,1007,1040,2477198,2477199,2477198,0,0,272754,435584,11.4211,-0.808927,0.718847,-164.2692,-7.236328,-8.876953,981.5723,-0.3475,-0.11125,-0.52625,21,-4,-49,52.77778,True,196,3,37.24857433,-80.4174755,12,0.83,,,,1511720,4054,971
5,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561248.6626296,422492859000000,422492859000000,422493421000000,422493140000000,562.0,2478.206,2478.206,422493.421,422493.421,,420014.98575,True,6,0,0,0,False,0,1007,1041,2478206,2478208,2478206,0,0,272754,435584,11.4211,-0.434861,0.377675,-164.204,-7.724609,-7.900391,981.5723,-0.535,-1.23625,-0.15125,21,-5,-47,52.77778,True,203,3,37.248575,-80.417475,12,0.83,,,,1512277,4056,972
6,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561249.656928,422493859000000,422493859000000,422494546000000,422494202500000,687.0,2479.22,2479.22,422494.546,422494.546,,420014.98250000004,True,7,0,0,0,False,0,1007,1042,2479220,2479221,2479220,0,0,272754,435584,11.4211,-0.727383,0.661895,-164.6192,-9.677734,-6.435547,980.5957,0.0275,0.95125,-0.27625,21,-5,-47,52.77778,True,330,3,37.24857517,-80.41747483,12,0.83,,,,1512963,4058,972
7,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561250.6651597,422494859000000,422494859000000,422495625000000,422495242000000,766.0,2480.264,2480.264,422495.625,422495.625,,420014.98025,True,8,0,0,0,False,0,1007,1043,2480264,2480265,2480264,-0.064484025,-0.064484025,272787,435615,11.4211,-0.179922,-2.076937,-163.0982,41.10352,3.818359,1033.818,-2.5975,2.70125,-1.77625,19,-7,-48,52.77778,True,238,3,37.2485755,-80.41747483,12,0.83,,,,1513520,4060,973
8,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561251.5472476,422495750000000,422495750000000,422496406000000,422496078000000,656.0,2481.076,2481.076,422496.406,422496.406,,420014.98250000004,True,9,0,0,0,False,0,1007,1044,2481076,2481077,2481076,-0.107473375,-0.107473375,273306,436126,11.4211,0.379002,-4.988407,-162.0209,100.6738,-87.49023,977.666,2.09,-1.79875,2.66125,18,-9,-48,52.77778,True,51,3,37.24857583,-80.41747467,12,0.83,,,,1513948,4062,974
9,True,,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-3,square0p5x3,rough_permeable_concrete,rough,low,wifi_baseline,3,none,0.5,3,rough,0.064,-0.064,1.65,2.1;2.1;2.1;2.1,-0.14,-0.14,1784561252.6509264,422496859000000,422496859000000,422497531000000,422497195000000,672.0,2482.179,2482.179,422497.531,422497.531,,420014.98975000007,True,10,0,0,0,False,0,1007,1045,2482179,2482180,2482179,-0.126865704,-0.126812242,274276,437111,11.4211,-1.422062,-3.541853,-162.8268,177.8223,-26.94336,978.1543,1.84,4.57625,-5.40125,18,-6,-48,52.77778,True,296,3,37.24857633,-80.41747383,12,0.83,,,,1514634,4064,974
