sample_idx,cycle_ok,error,run_id,route,surface,surface_profile,speed_label,network_condition,trial_id,attack_type,square_side_length_m,square_repeats,square_turn_profile,square_turn_left_cmd,square_turn_right_cmd,square_turn_seconds,square_turn_schedule_s,square_straight_left_cmd,square_straight_right_cmd,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649430.3206484,510674515000000,510674515000000,510675312000000,510674913500000,797.0,2010.391,2010.391,510675.312,510675.312,,508664.5225,False,1,0,0,0,False,0,1007,1270,2010391,2010392,2010391,0,0,423803,611429,11.11338,-0.456924,-0.311054,-132.8281,2.96875,-5.019531,980.7227,-0.235,0.46,-0.09875,39,-42,-33,47.77778,True,61,3,37.24881417,-80.41806317,11,1.07,,,,1061690,3562,600
1,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649431.6459208,510675843000000,510675843000000,510676562000000,510676202500000,719.0,2011.568,2011.568,510676.562,510676.562,,508664.5785,False,2,0,0,0,False,0,1007,1271,2011568,2011569,2011568,0,0,423803,611429,11.14526,-0.369096,0.57899,-133.1401,2.96875,-5.996094,981.6992,-0.6725,15.8975,0.08875,39,-42,-33,47.77778,True,231,3,37.24881567,-80.41806317,11,1.07,,,,1062464,3564,600
2,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649432.8742254,510677078000000,510677078000000,510677796000000,510677437000000,718.0,2012.814,2012.814,510677.796,510677.796,,508664.62299999996,False,3,0,0,0,False,0,1007,1272,2012814,2012815,2012814,0,0,423803,611429,11.14526,-0.566516,0.036176,-132.7715,1.015625,-5.019531,980.7227,-0.11,-0.54,-0.03625,40,-41,-34,48.33333,True,445,3,37.24881767,-80.41806417,11,1.07,,,,1063102,3566,600
3,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649433.6799135,510677875000000,510677875000000,510678609000000,510678242000000,734.0,2013.597,2013.597,510678.609,510678.609,,508664.62875,False,4,0,0,0,False,0,1007,1273,2013597,2013599,2013597,0,0,423803,611429,11.14526,-0.58547,-0.024108,-132.7932,5.410156,-6.484375,977.793,-1.235,-0.04,-0.22375,40,-42,-34,47.77778,True,38,3,37.24881867,-80.41806617,11,1.07,,,,1063482,3568,601
4,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649434.7203293,510678921000000,510678921000000,510679640000000,510679280500000,719.0,2014.644,2014.644,510679.64,510679.64,,508664.6345,True,5,0,0,0,False,0,1007,1274,2014644,2014646,2014644,0,0,423803,611429,11.14526,-0.531216,-0.269371,-132.7514,4.433594,-8.4375,980.2344,-0.2975,-0.7275,-0.09875,41,-43,-33,47.77778,True,247,3,37.2488205,-80.4180675,11,1.07,,,,1064120,3570,601
5,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649435.4857945,510679687000000,510679687000000,510680359000000,510680023000000,672.0,2015.411,2015.411,510680.359,510680.359,,508664.62875,True,6,0,0,0,False,0,1007,1275,2015411,2015413,2015411,0,0,423803,611429,11.14526,-0.4269,-0.400923,-133.6842,1.992188,-7.949219,979.7461,-0.735,-1.7275,-0.41125,40,-43,-33,47.77778,True,132,3,37.248821,-80.41806883,11,1.07,,,,1064513,3572,602
6,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649436.3337514,510680531000000,510680531000000,510681265000000,510680898000000,734.0,2016.251,2016.251,510681.265,510681.265,,508664.6345,True,7,0,0,0,False,0,1007,1276,2016251,2016253,2016251,0,-0.019821199,423803,611432,11.14526,-0.884867,-0.997548,-133.6116,36.17188,-44.08203,967.0508,-1.0475,-4.415,-3.22375,42,-47,-31,47.77778,True,36,3,37.248822,-80.41806983,11,1.07,,,,1064997,3574,602
7,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649437.193546,510681390000000,510681390000000,510682031000000,510681710500000,641.0,2017.106,2017.106,510682.031,510682.031,,508664.62875,True,8,0,0,0,False,0,1007,1277,2017106,2017108,2017106,-0.122683643,-0.158567275,423945,612036,11.14526,-3.019139,-1.146697,-139.9851,87.92969,-67.03125,1162.363,-0.86,-0.6025,-12.34875,44,-30,-33,47.77778,True,27,3,37.2488215,-80.4180685,11,1.07,,,,1065495,3576,602
8,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649437.8759713,510682078000000,510682078000000,510682812000000,510682445000000,734.0,2017.793,2017.793,510682.812,510682.812,,508664.6345,True,9,0,0,0,False,0,1007,1278,2017793,2017794,2017793,-0.171932838,-0.171932838,424644,612888,11.14526,-4.100396,1.279178,-144.827,2.96875,-205.2148,1047.617,26.64,-3.4775,-3.59875,47,-26,-34,47.77778,True,713,3,37.2488215,-80.4180685,11,1.07,,,,1065776,3576,603
9,True,,speed-medium_surface-smooth_kitchen_floor_latency-wifi_baseline_route-square0p5x3_attack-none_trial-5,square0p5x3,smooth_kitchen_floor,smooth,medium,wifi_baseline,5,none,0.5,3,smooth,0.076,-0.076,1.59,,-0.2,-0.2,1784649438.647706,510682843000000,510682843000000,510683515000000,510683179000000,672.0,2018.565,2018.565,510683.515,510683.515,,508664.62875,True,10,0,0,0,False,0,1007,1279,2018565,2018566,2018565,-0.193452075,-0.193590354,425560,613881,11.14526,-1.366491,-1.670483,-150.0429,87.44141,150.7422,903.0859,-8.2975,-1.1025,-7.41125,48,-21,-39,47.77778,True,36,3,37.2488225,-80.4180665,10,1.31,,,,1066165,3578,604
