sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1783617451.4333444,516714171000000,516714171000000,516714812000000,516714491500000,641.0,67.618,67.618,516714.812,516714.812,,516646.8735,False,1,0,False,0,1007,0,67618,67620,67618,0,0,0,0,12.35681,0.172506,-0.3658,-136.9221,8.378906,4.736328,977.1582,0.30375,1.73375,0.8475,32,-30,-47,47.22222,True,313,3,37.24890317,-80.4181065,8,1.48,,,,30152,112,1
1,True,,1783617453.075849,516715828000000,516715828000000,516716421000000,516716124500000,593.0,69.311,69.311,516716.421,516716.421,,516646.84349999996,False,2,0,False,0,1007,1,69311,69313,69311,0,0,0,0,12.35681,-0.333675,0.309947,-136.5336,1.542969,-1.123047,979.1113,0.17875,0.35875,0.3475,32,-28,-45,47.22222,True,11,3,37.24890333,-80.41810717,8,1.48,,,,30960,116,1
2,True,,1783617454.6750157,516717421000000,516717421000000,516717937000000,516717679000000,516.0,70.84,70.84,516717.937,516717.937,,516646.839,False,3,0,False,0,1007,2,70840,70841,70840,0,0,0,0,12.35681,-0.024104,-0.08547,-136.9575,1.542969,0.830078,980.0879,-0.69625,0.73375,0.0975,31,-28,-45,47.22222,True,536,3,37.24890383,-80.41810733,8,1.48,,,,31873,118,1
3,True,,1783617456.1872466,516718937000000,516718937000000,516719453000000,516719195000000,516.0,72.364,72.364,516719.453,516719.453,,516646.83499999996,False,4,0,False,0,1007,3,72364,72366,72364,0,0,0,0,12.37285,-0.365662,0.251873,-136.9605,1.054688,-1.123047,982.041,-0.25875,0.79625,-0.09,31,-28,-46,47.22222,True,59,3,37.24890383,-80.418109,8,1.48,,,,32659,122,1
4,True,,1783617457.7108455,516720453000000,516720453000000,516720968000000,516720710500000,515.0,73.874,73.874,516720.968,516720.968,,516646.8365,True,5,0,False,0,1007,4,73874,73876,73874,0,0,0,0,12.37285,-0.042454,-0.005065,-137.2459,-0.898438,-0.146484,982.5293,-0.69625,-2.32875,-0.09,31,-28,-46,47.22222,True,570,3,37.24890383,-80.4181095,8,1.48,,,,33523,124,1
5,True,,1783617459.2360396,516721984000000,516721984000000,516722500000000,516722242000000,516.0,75.41,75.41,516722.5,516722.5,,516646.83425,True,6,0,False,0,1007,5,75410,75412,75410,0,0,0,0,12.37285,-0.120438,-0.606799,-136.9758,1.542969,-2.099609,981.5527,0.49125,-13.64125,-0.59,32,-29,-44,47.22222,True,108,3,37.248904,-80.4181095,8,1.48,,,,34353,128,1
6,True,,1783617460.7594893,516723500000000,516723500000000,516724031000000,516723765500000,531.0,76.937,76.937,516724.031,516724.031,,516646.83200000005,True,7,0,False,0,1007,6,76937,76938,76937,0,0,0,0,12.37285,-0.22597,0.080597,-136.9172,-0.410156,-3.564453,982.041,0.99125,-0.76625,-0.34,31,-28,-45,47.77778,True,632,3,37.24890317,-80.41811,8,1.48,,,,35173,130,1
7,True,,1783617462.2846904,516725031000000,516725031000000,516725546000000,516725288500000,515.0,78.458,78.458,516725.546,516725.546,,516646.83150000003,True,8,0,False,0,1007,7,78458,78460,78458,0,0,0,0,12.37285,0.045876,-0.752192,-137.2125,-2.851563,-1.123047,980.5762,-0.50875,0.10875,-0.0275,30,-29,-46,47.22222,True,151,3,37.24890183,-80.41810983,8,1.48,,,,36048,134,1
8,True,,1783617463.809217,516726562000000,516726562000000,516727093000000,516726827500000,531.0,79.999,79.999,516727.093,516727.093,,516646.831,True,9,0,False,0,1007,8,79999,80001,79999,0,0,0,0,12.37285,0.01444,-0.022745,-136.7987,-1.875,0.341797,980.5762,0.74125,-0.57875,0.035,30,-28,-46,47.77778,True,695,3,37.24890217,-80.41811017,8,1.48,,,,36845,136,1
9,True,,1783617465.3519375,516728093000000,516728093000000,516728640000000,516728366500000,547.0,81.543,81.543,516728.64,516728.64,,516646.83075,True,10,0,False,0,1007,9,81543,81545,81543,0,0,0,0,12.37285,0.245994,0.220054,-136.6191,-10.66406,1.806641,984.4824,0.05375,1.23375,0.66,30,-28,-46,47.77778,True,242,3,37.2489015,-80.4181105,8,1.48,,,,37813,140,1
10,True,,1783617466.899109,516729640000000,516729640000000,516730171000000,516729905500000,531.0,83.085,83.085,516730.171,516730.171,,516646.83050000004,True,11,0,False,0,1007,10,83085,83086,83085,0,0,0,0,12.38093,-0.134842,-0.580629,-137.1211,10.33203,-6.494141,975.6934,-0.44625,0.29625,-0.1525,31,-29,-46,47.22222,True,778,3,37.24890067,-80.4181105,8,1.48,,,,38530,142,1
11,True,,1783617468.4331195,516731171000000,516731171000000,516731750000000,516731460500000,579.0,84.605,84.605,516731.75,516731.75,,516646.83075,True,12,0,False,0,1007,11,84605,84607,84605,0,0,0,0,12.38093,0.179812,0.126678,-136.1563,-4.804688,-0.634766,982.041,-0.13375,0.98375,0.16,31,-30,-43,47.22222,True,298,3,37.24889983,-80.41811033,8,1.48,,,,39431,146,2
12,True,,1783617470.0097926,516732750000000,516732750000000,516733312000000,516733031000000,562.0,86.221,86.221,516733.312,516733.312,,516646.83050000004,True,13,0,False,0,1007,12,86221,86222,86221,0,0,0,0,12.38093,-0.244909,0.09205,-136.6728,2.519531,-4.052734,983.5059,0.11625,-0.32875,0.285,30,-26,-45,47.22222,True,30,3,37.24890133,-80.4181115,8,1.48,,,,40188,149,2
13,True,,1783617471.5681694,516734312000000,516734312000000,516734859000000,516734585500000,547.0,87.771,87.771,516734.859,516734.859,,516646.8295,True,14,0,False,0,1007,13,87771,87772,87771,0,0,0,0,12.38093,-0.14193,-0.157341,-136.6777,0.078125,-1.123047,980.5762,-0.00875,-0.45375,-0.1525,30,-29,-45,47.22222,True,464,3,37.248902,-80.41811167,8,1.48,,,,41087,152,3
14,True,,1783617473.11985,516735859000000,516735859000000,516736390000000,516736124500000,531.0,89.304,89.304,516736.39,516736.39,,516646.8285,True,15,0,False,0,1007,14,89304,89305,89304,0,0,0,0,12.38093,-0.054859,0.132575,-137.7085,5.449219,0.830078,979.1113,0.42875,1.42125,0.41,31,-27,-47,47.22222,True,2,3,37.248901,-80.41811133,8,1.48,,,,41828,156,3
15,True,,1783617474.656002,516737406000000,516737406000000,516737937000000,516737671500000,531.0,90.848,90.848,516737.937,516737.937,,516646.8285,True,16,0,False,0,1007,15,90848,90849,90848,0,0,0,0,12.38093,-0.594057,0.307602,-135.2797,10.82031,11.57227,981.0645,0.99125,-2.70375,0.91,29,-29,-44,47.77778,True,543,3,37.24889983,-80.41811033,8,1.48,,,,42776,158,3
16,True,,1783617476.194939,516738937000000,516738937000000,516739484000000,516739210500000,547.0,92.388,92.388,516739.484,516739.484,,516646.8285,True,17,0,False,0,1007,16,92388,92389,92388,0,0,0,0,12.35301,-0.625945,-0.369381,-136.9276,2.519531,1.806641,983.0176,0.55375,1.04625,-0.2775,31,-27,-46,47.22222,True,86,3,37.24889933,-80.41810917,8,1.48,,,,43599,162,3
17,True,,1783617477.7350454,516740484000000,516740484000000,516741015000000,516740749500000,531.0,93.92,93.92,516741.015,516741.015,,516646.8285,True,18,0,False,0,1007,17,93920,93921,93920,0,0,0,0,12.35301,-0.232539,-0.548936,-136.5127,10.33203,4.248047,970.3223,0.80375,1.04625,-1.1525,30,-29,-45,47.77778,True,618,3,37.24889933,-80.41810933,8,1.48,,,,44465,164,3
18,True,,1783617479.2685785,516742015000000,516742015000000,516742578000000,516742296500000,563.0,95.485,95.485,516742.578,516742.578,,516646.8285,True,19,0,False,0,1007,18,95485,95486,95485,0,0,0,0,12.35301,-0.32238,0.243226,-137.1542,6.425781,-0.634766,981.0645,0.24125,1.98375,0.2225,32,-28,-47,47.22222,True,184,3,37.248897,-80.41810833,8,1.48,,,,45381,168,3
19,True,,1783617480.8327656,516743578000000,516743578000000,516744109000000,516743843500000,531.0,97.018,97.018,516744.109,516744.109,,516646.82700000005,True,20,0,False,0,1007,19,97018,97019,97018,0,0,0,0,12.35301,-0.317053,0.611402,-137.1132,1.542969,0.830078,981.0645,-0.25875,0.17125,-0.09,32,-27,-45,47.77778,True,715,3,37.24889667,-80.41810833,8,1.48,,,,46154,170,3
20,True,,1783617482.3654237,516745109000000,516745109000000,516745640000000,516745374500000,531.0,98.551,98.551,516745.64,516745.64,,516646.82550000004,True,21,0,False,0,1007,20,98551,98553,98551,0,0,0,0,12.35301,0.095885,-0.211943,-136.1477,1.542969,-4.052734,980.5762,-0.38375,-1.32875,-0.0275,31,-30,-46,47.77778,True,248,3,37.2488965,-80.41810967,8,1.48,,,,47003,174,4
21,True,,1783617483.9001632,516746640000000,516746640000000,516747171000000,516746905500000,531.0,100.083,100.083,516747.171,516747.171,,516646.8245,True,22,0,False,0,1007,21,100083,100084,100083,0,0,0,0,12.35301,-0.038557,0.104211,-136.7417,-1.386719,-0.146484,980.0879,-0.32125,-0.39125,-0.34,31,-29,-46,47.22222,True,778,3,37.24889617,-80.41810983,8,1.48,,,,47714,176,4
22,True,,1783617485.4305034,516748171000000,516748171000000,516748703000000,516748437000000,532.0,101.618,101.618,516748.703,516748.703,,516646.8235,True,23,0,False,0,1007,22,101618,101619,101618,0,0,0,0,12.35301,0.113028,-0.273657,-136.9716,2.519531,1.806641,979.5996,0.61625,-1.14125,0.2225,31,-29,-45,47.22222,True,311,3,37.24889517,-80.41810933,8,1.48,,,,48628,180,5
23,True,,1783617486.9647105,516749703000000,516749703000000,516750250000000,516749976500000,547.0,103.152,103.152,516750.25,516750.25,,516646.824,True,24,0,False,0,1007,23,103152,103153,103152,0,0,0,0,12.3851,-0.049747,-0.762503,-136.5414,0.078125,-3.076172,981.0645,0.11625,-15.07875,-0.215,31,-30,-47,47.22222,True,849,3,37.24889533,-80.41810917,8,1.48,,,,49306,182,5
24,True,,1783617488.5100565,516751250000000,516751250000000,516751765000000,516751507500000,515.0,104.683,104.683,516751.765,516751.765,,516646.8245,True,25,0,False,0,1007,24,104683,104685,104683,0,0,0,0,12.3851,-0.003455,-0.324411,-136.6063,0.566406,0.341797,980.5762,-0.25875,-0.01625,-0.1525,31,-30,-46,47.77778,True,381,3,37.24889583,-80.41810867,8,1.47,,,,50251,186,5
25,True,,1783617490.0310836,516752781000000,516752781000000,516753296000000,516753038500000,515.0,106.208,106.208,516753.296,516753.296,,516646.8245,True,25,0,False,0,1007,25,106208,106210,106208,0,0,0,0,12.3851,-0.173501,0.11762,-136.7292,0.078125,-0.634766,981.0645,0.49125,0.79625,-0.34,32,-28,-46,47.77778,True,17,3,37.24889633,-80.4181085,8,1.47,,,,50920,189,5
