sample_idx,cycle_ok,error,t_wall_unix_s,t_cycle_start_ns,t_edge_send_ns,t_edge_rx_ns,t_edge_mid_ns,http_latency_ms,rover_millis_s,source_sample_time_s,edge_arrival_time_s,estimate_time_s,alarm_time_s,clock_offset_s,clock_calibrated,clock_calibration_samples,packet_loss_count,request_failure_count,sequence_gap_count,stale_packet,queue_depth,T,seq,sample_ms,send_ms,millis,L,R,enc_left,enc_right,v,r,p,y,ax,ay,az,gx,gy,gz,mx,my,mz,temp,gps_valid,gps_age_ms,gps_fix_type,lat,lon,sat,hdop,alt_m,speed_mps,course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,True,,1784155823.5870008,17074421000000,17074421000000,17075531000000,17074976000000,1110.0,2246.897,2246.897,17075.531,17075.531,,14828.078999999998,False,1,0,0,0,False,0,1007,804,2246897,2246898,2246897,0,0,212459,295849,11.68522,-0.489263,0.003603,-105.986,8.056641,-7.607422,982.4902,-0.77125,2.9575,0.0975,5,-18,-58,47.22222,True,281,3,37.24887883,-80.418103,11,1.14,,,,1336635,3810,528
1,True,,1784155825.0426576,17075875000000,17075875000000,17076609000000,17076242000000,734.0,2247.894,2247.894,17076.609,17076.609,,14828.213499999998,False,2,0,0,0,False,0,1007,805,2247894,2247895,2247894,0,0,212459,295849,11.68522,-0.381151,-0.26406,-106.0162,8.544922,-4.677734,980.5371,0.16625,-1.105,0.2225,6,-19,-59,47.22222,True,198,3,37.24887733,-80.41810433,11,1.14,,,,1337215,3812,529
2,True,,1784155826.0388453,17076875000000,17076875000000,17077625000000,17077250000000,750.0,2248.878,2248.878,17077.625,17077.625,,14828.347999999998,False,3,0,0,0,False,0,1007,806,2248878,2248879,2248878,0,0,212459,295849,11.68522,-0.150057,-0.692502,-105.6601,8.056641,-7.607422,980.0488,0.10375,0.8325,-0.1525,3,-19,-57,47.77778,True,184,3,37.2488755,-80.4181045,11,1.14,,,,1337795,3814,530
3,True,,1784155826.9022157,17077734000000,17077734000000,17078453000000,17078093500000,719.0,2249.75,2249.75,17078.453,17078.453,,14828.345749999999,False,4,0,0,0,False,0,1007,807,2249750,2249752,2249750,0,0,212459,295849,11.68522,-0.285636,-0.719212,-105.7418,9.033203,-5.654297,980.5371,0.10375,1.2075,-0.0275,5,-18,-58,47.22222,True,80,3,37.24887367,-80.41810383,11,1.14,,,,1338312,3816,531
4,True,,1784155828.1322227,17078968000000,17078968000000,17079671000000,17079319500000,703.0,2250.968,2250.968,17079.671,17079.671,,14828.347999999998,True,5,0,0,0,False,0,1007,808,2250968,2250969,2250968,0,0,212459,295849,11.68522,-0.206691,-0.7588,-105.7619,7.568359,-5.166016,981.0254,0.16625,-0.105,-0.2775,4,-20,-58,47.22222,True,351,3,37.24887133,-80.41810267,11,1.14,,,,1339088,3818,531
5,True,,1784155829.1209514,17079953000000,17079953000000,17080687000000,17080320000000,734.0,2251.986,2251.986,17080.687,17080.687,,14828.345749999999,True,6,0,0,0,False,0,1007,809,2251986,2251988,2251986,0,0,212459,295849,11.68522,-0.193564,-0.529976,-105.7116,9.033203,-5.166016,982.4902,-0.14625,0.2075,-0.09,6,-20,-58,47.22222,True,217,3,37.24887083,-80.41810167,11,1.14,,,,1339670,3820,532
6,True,,1784155829.9357796,17080765000000,17080765000000,17081515000000,17081140000000,750.0,2252.784,2252.784,17081.515,17081.515,,14828.347999999998,True,7,0,0,0,False,0,1007,810,2252784,2252786,2252784,0,-0.042909661,212459,295856,11.72101,-2.157428,-1.618633,-107.4608,69.0918,-69.13086,946.3574,0.22875,2.27,-12.1525,6,-20,-55,47.22222,True,53,3,37.2488695,-80.4181,11,1.14,,,,1340091,3822,533
7,True,,1784155831.097698,17081921000000,17081921000000,17082640000000,17082280500000,719.0,2253.938,2253.938,17082.64,17082.64,,14828.345749999999,True,8,0,0,0,False,0,1007,811,2253938,2253939,2253938,-0.086027859,-0.10770417,212659,296609,11.72101,-0.177581,-7.242006,-110.2486,123.291,8.994141,984.9316,4.04125,2.3325,-17.84,-5,-24,-60,47.22222,True,320,3,37.24886733,-80.41809967,10,1.16,,,,1340830,3824,533
8,True,,1784155832.0869236,17082921000000,17082921000000,17083671000000,17083296000000,750.0,2254.927,2254.927,17083.671,17083.671,,14828.347999999998,True,9,0,0,0,False,0,1007,812,2254927,2254928,2254927,-0.128912802,-0.1501624,213294,297443,11.72101,1.345592,-9.930112,-106.7258,35.40039,65.63477,919.0137,-6.52125,-2.23,-2.4025,-15,-36,-59,47.22222,True,187,3,37.2488685,-80.41809933,10,1.16,,,,1341408,3826,534
