sequence,service,family,horizon_s,pos_tol_m,heading_tol_deg,aoi_limit_s,rate_hz,interval_s,delay_ms,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,failure_duration_s,max_failure_episode_s,mean_aoi_s,max_aoi_s,calibration_coverage,calibration_physical_satisfaction,calibration_freshness_satisfaction,calibration_joint_satisfaction,speed_mean,speed_p95,yaw_abs_mean,yaw_abs_p95,accel_abs_p95,turn_fraction,qualified
building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,0,1.0,0.1456144845845076,1.0,0.1456144845845076,1000.4000000000001,225.5666666666667,0.4499615680242326,0.8999999999996362,1.0,0.851111111111111,1.0,0.851111111111111,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,25,1.0,0.16539983488484636,1.0,0.16539983488484636,977.2333333333332,225.53333333333333,0.5499701084632113,1.0,0.9966666666666667,0.8784838350055741,1.0,0.8784838350055741,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,50,1.0,0.16539983488484636,1.0,0.16539983488484636,977.2333333333332,225.53333333333333,0.5499701084632113,1.0,0.9966666666666667,0.8784838350055741,1.0,0.8784838350055741,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,100,1.0,0.16539983488484636,1.0,0.16539983488484636,977.2333333333332,225.53333333333333,0.5499701084632113,1.0,0.9966666666666667,0.8784838350055741,1.0,0.8784838350055741,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,1.0,1.0,200,1.0,0.19420958237253394,0.7999829191220429,0.15714407720556833,986.9,225.53333333333333,0.7499871893411684,1.1999999999989086,0.9899999999999999,0.89337822671156,0.8047138047138048,0.7575757575757575,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,0,1.0,0.0824721724029948,1.0,0.0824721724029948,1074.3333333333333,284.90000000000003,0.199982919121679,0.3999999999996362,1.0,0.7688888888888888,1.0,0.7688888888888888,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,25,1.0,0.12278304438181453,1.0,0.12278304438181453,1027.1333333333334,226.30000000000004,0.2999914595606576,0.5,0.9966666666666667,0.8372352285395763,1.0,0.8372352285395763,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,50,1.0,0.12278304438181453,1.0,0.12278304438181453,1027.1333333333334,226.30000000000004,0.2999914595606576,0.5,0.9966666666666667,0.8372352285395763,1.0,0.8372352285395763,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,100,1.0,0.12278304438181453,1.0,0.12278304438181453,1027.1333333333334,226.30000000000004,0.2999914595606576,0.5,0.9966666666666667,0.8372352285395763,1.0,0.8372352285395763,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,2.0,0.5,200,1.0,0.19059412987160873,1.0,0.19059412987160873,947.7333333333332,225.4333333333333,0.5000085404386148,0.6999999999989086,0.9899999999999999,0.9663299663299664,1.0,0.9663299663299664,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,0,1.0,0.008141885159563834,1.0,0.008141885159563834,1161.366666666667,879.9000000000001,0.04999572978051061,0.1000000000003638,1.0,0.6222222222222222,1.0,0.6222222222222222,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,25,1.0,0.041962023514675234,1.0,0.041962023514675234,1121.7666666666667,368.6666666666667,0.1500042702194892,0.2000000000007276,0.9966666666666667,0.6321070234113711,1.0,0.6321070234113711,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,50,1.0,0.041962023514675234,1.0,0.041962023514675234,1121.7666666666667,368.6666666666667,0.1500042702194892,0.2000000000007276,0.9966666666666667,0.6321070234113711,1.0,0.6321070234113711,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,100,1.0,0.05574059840009107,1.0,0.05574059840009107,1105.6333333333334,354.4333333333334,0.17000597830735767,0.2999999999992724,0.9966666666666667,0.6700111482720178,1.0,0.6700111482720178,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,5.0,0.2,200,1.0,0.1320636547385202,1.0,0.1320636547385202,1016.2666666666668,285.3,0.2899991459562477,0.3999999999996362,0.9899999999999999,0.8866442199775534,1.0,0.8866442199775534,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,0,1.0,0.0018788965752839666,1.0,0.0018788965752839666,1168.7,993.1333333333333,0.0,0.0,1.0,0.6188888888888889,1.0,0.6188888888888889,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
building00,global,global,0.0,1.0,5.0,1.0,10.0,0.1,25,1.0,0.0143479374839866,1.0,0.0143479374839866,1154.1000000000001,879.9000000000001,0.09999999999999991,0.1000000000003638,0.9966666666666667,0.620958751393534,1.0,0.620958751393534,1.3143264915510755,1.5847519374997916,0.0270467116969358,0.108896777084937,0.7292533706494261,0.0598006644518272,0
