epoch,train_loss,train_mean_loss,train_nll,validation_loss,validation_mean_loss,validation_nll
1,0.3402613778328585,0.33787735481095993,-4.006084438828473,0.20373937318539778,0.28843397180848057,-4.33272877464371
2,0.21639015624598362,0.21457627249722447,-4.396097313749393,0.16805560134366218,0.2568946000359516,-4.521870645157396
3,0.20187982730157672,0.20046202572083016,-4.59370524521241,0.15771885068904998,0.2513452032034235,-4.741594426355313
4,0.19610863971196146,0.19500509543633965,-4.776310206408084,0.15143064454936842,0.2491524997292607,-4.932712443166256
5,0.19355934408690173,0.1927092747839087,-4.957702657031088,0.14625383033858153,0.2485270496158261,-5.147877397747915
6,0.06500957927614362,0.19435688255804187,-6.472253533584381,0.11107285409433736,0.24821224268635186,-6.856977976909952
7,0.05324129275413257,0.1914392465351789,-6.909918109080827,0.11110623495418175,0.24840644233518078,-6.865012297622207
8,0.05185838297135333,0.19051565613976373,-6.932874646452569,0.10932354974991643,0.2470223021581159,-6.884939213954148
9,0.05037621007100661,0.18941705895606634,-6.952049786595529,0.1097748358517991,0.24748460760850285,-6.885489757363402
10,0.04971027955420848,0.18906946374571365,-6.96797673353582,0.10883509116251612,0.2466502268539525,-6.8907615685930725
11,0.04884346984039354,0.18849091891212982,-6.982415331975826,0.10964416729856934,0.24730984596324063,-6.883295426898369
12,0.04828320681720631,0.1880563925849592,-6.988746807869747,0.10935303416214198,0.24706643515388918,-6.885689758587782
13,0.0483730537036277,0.1881967248243253,-6.991284453041452,0.10845544385740603,0.24633036719212992,-6.893768041358192
14,0.04780854178686813,0.1877457559744344,-6.996975018572171,0.10823346738761531,0.2461608308334771,-6.896400463859172
15,0.04726604220575225,0.18729491631742587,-7.001569725036056,0.10797876103084939,0.24596357506216573,-6.899265787536277
16,0.04680344001777158,0.1869326733310151,-7.0065717814984465,0.10832889136631964,0.24634377368389593,-6.900774143601466
17,0.04650075023441534,0.1867657011720047,-7.013360596706512,0.10787536520669178,0.24597570451152598,-6.905060626100245
18,0.04633869214738076,0.18659649309908224,-7.0130255728552715,0.10823636705919965,0.24637312391157357,-6.906884123231866
19,0.04625664558044002,0.1865879874630392,-7.016709385063666,0.10704039885302369,0.2453990898326571,-6.917997536953166
20,0.045115171708437096,0.1857651461835629,-7.032652067238825,0.10689785584828114,0.24534471309328734,-6.922394735087903
