trial,policy,requests,requests_per_s,response_bytes_per_s,p95_delivery_age_s,repeated_source_fraction,rate_switches,service_id,windows,pass,fail,unobservable,observable_fraction,satisfaction_given_observable
1,static-low,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_1s_tight,140,3,136,1,0.9928571428571429,0.02158273381294964
1,static-low,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_5s_moderate,140,25,107,8,0.9428571428571428,0.1893939393939394
1,static-low,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_10s_preview,140,91,33,16,0.8857142857142857,0.7338709677419355
1,static-low,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,global_state_tracking,140,21,119,0,1.0,0.15
1,static-high,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_1s_tight,140,3,136,1,0.9928571428571429,0.02158273381294964
1,static-high,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_5s_moderate,140,25,107,8,0.9428571428571428,0.1893939393939394
1,static-high,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,local_10s_preview,140,91,33,16,0.8857142857142857,0.7338709677419355
1,static-high,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,0,global_state_tracking,140,21,119,0,1.0,0.15
1,aoi-only,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_1s_tight,140,3,136,1,0.9928571428571429,0.02158273381294964
1,aoi-only,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_5s_moderate,140,25,107,8,0.9428571428571428,0.1893939393939394
1,aoi-only,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_10s_preview,140,91,33,16,0.8857142857142857,0.7338709677419355
1,aoi-only,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,global_state_tracking,140,21,119,0,1.0,0.15
1,contract-aware,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_1s_tight,140,3,136,1,0.9928571428571429,0.02158273381294964
1,contract-aware,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_5s_moderate,140,25,107,8,0.9428571428571428,0.1893939393939394
1,contract-aware,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,local_10s_preview,140,91,33,16,0.8857142857142857,0.7338709677419355
1,contract-aware,140,1.5408150911832361,949.4832766533498,1.3765814208984466,0.06428571428571428,1,global_state_tracking,140,21,119,0,1.0,0.15
2,static-low,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
2,static-low,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_5s_moderate,139,13,119,7,0.9496402877697842,0.09848484848484848
2,static-low,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_10s_preview,139,49,73,17,0.8776978417266187,0.4016393442622951
2,static-low,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,global_state_tracking,139,32,107,0,1.0,0.2302158273381295
2,static-high,139,1.5343687562782193,951.3638220132253,1.3284786643982898,0.05755395683453238,0,local_1s_tight,139,1,137,1,0.9928057553956835,0.007246376811594203
