cycle_ok,source_sample_time_s,enc_left,enc_right,gz,y,L,R,sample_ms,send_ms,gps_valid,gps_age_ms,gps_fix_type,gps_lat,gps_lon,gps_sat,gps_hdop,gps_alt_m,gps_speed_mps,gps_course_deg,gps_chars,gps_sentences,gps_failed_checksums,v,r,p,ax,ay,az,gx,gy,mx,my,mz,temp,pc_time,seq,T,millis,lat,lon,sat,hdop
True,2441.38,75652,164869,0.37375,-163.9261,0,0,2441380,2441381,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.47714,2.443511,0.61017,-9.179688,161.4746,1000.225,-24.69625,-0.43,28,-9,-48,48.33333,2026-08-29T20:15:20.760Z,3788,1007,2441380,,,4294967295,-1
True,2442.626,75652,164869,0.74875,-164.0954,0,0,2442626,2442627,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.47714,2.672628,0.670699,-9.667969,160.498,999.7363,-24.88375,-0.3675,28,-10,-47,48.33333,2026-08-29T20:15:21.993Z,3790,1007,2442626,,,4294967295,-1
True,2443.417,75653,164870,0.93625,-164.6621,0,0,2443417,2443419,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,2.673233,0.699508,-1.855469,146.8262,1000.713,-24.25875,-0.2425,28,-10,-48,48.33333,2026-08-29T20:15:22.653Z,3791,1007,2443417,,,4294967295,-1
True,2444.649,76519,165701,0.49875,-164.9051,-0.144699204,-0.137429598,2444649,2444650,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,3.262717,0.744328,-4.296875,209.8145,989.9707,-23.88375,-5.305,35,-12,-48,48.33333,2026-08-29T20:15:23.882Z,3793,1007,2444649,,,4294967295,-1
True,2445.226,77286,166455,6.49875,-164.6262,-0.209281975,-0.1982236,2445226,2445228,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,1.398416,0.709729,-48.24219,169.7754,1009.014,-26.94625,-22.2425,25,-7,-49,48.88889,2026-08-29T20:15:24.594Z,3794,1007,2445226,,,4294967295,-1
True,2446.458,78746,167908,6.68625,-164.354,-0.119845923,-0.120135055,2446458,2446460,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,2.920157,-0.173482,0.585938,176.6113,1047.1,-23.07125,-4.9925,31,-13,-49,48.88889,2026-08-29T20:15:25.825Z,3796,1007,2446458,,,4294967295,-1
True,2447.852,78970,168172,1.68625,-163.7713,0,0,2447852,2447854,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,3.671028,0.471009,0.585938,162.4512,996.3184,-24.32125,-0.6175,30,-13,-51,48.33333,2026-08-29T20:15:27.084Z,3798,1007,2447852,,,4294967295,-1
True,2448.451,79042,168227,3.49875,-163.4313,0,0.022692516,2448451,2448453,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,3.590322,2.728642,-30.66406,176.6113,986.0645,-24.75875,-2.43,31,-14,-51,48.33333,2026-08-29T20:15:27.686Z,3799,1007,2448451,,,4294967295,-1
True,2449.697,79041,168073,1.06125,-162.4505,0,0,2449697,2449699,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,4.050778,1.191058,-15.03906,161.9629,998.2715,-24.38375,-1.3675,33,-14,-47,48.33333,2026-08-29T20:15:28.931Z,3801,1007,2449697,,,4294967295,-1
True,2450.943,78693,167462,21.37375,-161.5383,0.075211402,0.131892948,2450943,2450945,false,4294967295,0,,,4294967295,-1,-1,-1,-1,0,0,0,11.54072,2.47613,1.863712,-58.00781,96.5332,1009.014,-28.88375,3.6325,38,-16,-45,48.33333,2026-08-29T20:15:30.178Z,3803,1007,2450943,,,4294967295,-1
