sequence,experiment,ate_rmse_m,position_mae_m,position_p95_m,final_position_error_m,heading_mae_deg,heading_final_error_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,ate_reduction_vs_fixed_pct
building00,fixed_measured,4.808238669368226,3.625046413256309,8.872692371905941,18.703469538000878,2.7581271401750866,9.990990388988795,0.029943728161367564,0.1265654810599168,0.24462675031759587,0.0
building00,oracle_gt_yaw,1.7466741698506112,1.6327306242319017,2.9936067991044744,2.475532095469686,0.06803985633110475,2.001968338700396e-10,0.029630782529344535,0.12342373417688576,0.23671759641179763,63.67330554994862
building00,oracle_gt_forward_speed,4.697257657284443,3.2971695688674845,9.545744042491993,19.530330053998092,2.7581271401750866,9.990990388988795,0.015443236019045648,0.04954219931649768,0.09284269439373077,2.308142746548912
building00,oracle_gt_speed_and_yaw,0.4338483749111133,0.3850759257527113,0.7735556179014198,0.8039519360922398,0.06803985633110475,2.001968338700396e-10,0.014815761146673349,0.04084406763440398,0.06989947939869452,90.97697920706341
building00,oracle_full_planar_pose_motion,0.009981850195484834,0.008455086550896445,0.018219199063621908,0.020128622072532368,0.06803985633110475,2.001968338700396e-10,0.003921879964623683,0.014580448588167406,0.028433788126657308,99.79240110814224
building01,fixed_measured,16.766575013324662,12.792161168630814,36.80398668218927,40.70829329941358,21.66354018333189,46.286996653999445,0.0317750578842977,0.12242591266910793,0.2287505734891848,0.0
building01,oracle_gt_yaw,2.393682767461871,2.234288447141437,3.6971587720540153,3.0838580625273733,0.06001810255995919,1.0930930329253815e-10,0.03152143864367232,0.11980718880068972,0.22291926379858984,85.72348398191298
building01,oracle_gt_forward_speed,16.57348343861295,12.520973457756087,36.56436205041921,41.955744709280665,21.66354018333189,46.286996653999445,0.014814308272582103,0.047733693533173756,0.08392879876260656,1.1516459059662392
building01,oracle_gt_speed_and_yaw,0.8770623408538711,0.8301826701532938,1.2127548743022152,0.9521410011687942,0.06001810255995919,1.0930930329253815e-10,0.014260566161570181,0.04084170075653283,0.06852583155409488,94.76898328873453
building01,oracle_full_planar_pose_motion,0.008964407400088944,0.008197425050669503,0.01377763382856126,0.0068738967149842645,0.06001810255995919,1.0930930329253815e-10,0.003671724414602617,0.012063041884189794,0.023180758553807218,99.94653405723611
building02,fixed_measured,45.241589061304104,32.81208745199123,101.52788240681691,3.1130576611774083,17.04521170500176,43.6458922476663,0.02757633533313679,0.12668602223095415,0.24422234113920216,0.0
building02,oracle_gt_yaw,2.146698802974286,1.9205047334711731,3.601524707086594,0.529491266179193,0.061512907568296325,9.086412169504589e-09,0.02730044531370437,0.1253905761932709,0.24510385085216127,95.25503226673708
building02,oracle_gt_forward_speed,44.817652185710806,32.12748721953249,100.63038039850343,2.910762857403691,17.04521170500176,43.6458922476663,0.01662635989800517,0.06277482222218261,0.10972744331424171,0.9370512495015322
building02,oracle_gt_speed_and_yaw,0.9168817034122313,0.8374250559888782,1.491779278754175,0.5607428070906644,0.061512907568296325,9.086412169504589e-09,0.016155881773670916,0.0599600805524603,0.11109422422264031,97.97336538694559
building02,oracle_full_planar_pose_motion,0.010059568360800856,0.008758714672417645,0.01734729403220188,0.012395104320796095,0.061512907568296325,9.086412169504589e-09,0.003777082429915755,0.015132035042958706,0.029607258899599052,99.97776477668108
parking00,fixed_measured,9.932231703665334,7.627207241178564,20.820650727221963,20.851232106583016,11.183524793367656,26.570654329464567,0.03149466701959918,0.12549733320507556,0.23501566275786107,0.0
parking00,oracle_gt_yaw,1.2372044237692355,1.0785797271299296,2.1631150511435435,1.097101334441259,0.06000790154325931,9.803029305894497e-09,0.031231101620625663,0.12433183173010852,0.23526081890703593,87.5435404581564
parking00,oracle_gt_forward_speed,9.800392830632664,7.463951710121514,20.06768996409288,19.28443383800493,11.183524793367656,26.570654329464567,0.01723558036861214,0.06548654348063386,0.11819516653376336,1.3273841868189322
parking00,oracle_gt_speed_and_yaw,0.48437441959243416,0.4340656067373724,0.8665649277260119,0.33435697230454126,0.06000790154325931,9.803029305894497e-09,0.016742314447152386,0.06277657434517894,0.11913109777551625,95.12320660608749
parking00,oracle_full_planar_pose_motion,0.006168142283626255,0.005656289970444163,0.009554268960959846,0.0024023886368413523,0.06000790154325931,9.803029305894497e-09,0.003846777885986559,0.013452947903086843,0.025734341640412935,99.93789772059637
parking01,fixed_measured,15.718181644384622,12.419289196629457,30.855064704664485,20.011418553556407,21.668530152165733,45.22194173476956,0.02851171168547069,0.11788489371684459,0.22088652151840027,0.0
parking01,oracle_gt_yaw,0.8488752031472868,0.7468417243469235,1.5862863470394661,1.14014995054558,0.0482095568516603,9.070840173784143e-09,0.028555226271941132,0.12086729854442159,0.23171161934315018,94.59940581962576
parking01,oracle_gt_forward_speed,15.515226037914264,12.203863802596834,30.82145827436225,20.208898409159833,21.668530152165733,45.22194173476956,0.015871094025495056,0.06050296797370162,0.10275410619733343,1.2912155557310558
parking01,oracle_gt_speed_and_yaw,0.5050561237468288,0.46791196896375,0.7693284227354426,0.12672343669180033,0.0482095568516603,9.070840173784143e-09,0.015959537393436328,0.06608039996429933,0.12502037153293283,96.786803110096
parking01,oracle_full_planar_pose_motion,0.011302041681866918,0.010240666582016602,0.017046021926503126,0.011355278454633601,0.0482095568516603,9.070840173784143e-09,0.0032744920562397563,0.00998496005351709,0.018746026715692272,99.92809574327636
parking02,fixed_measured,24.471245693270344,19.78611688388527,47.747249749350836,46.380433089755286,36.24380307982836,72.0705084301597,0.025461452671061497,0.10514004367985189,0.20432468803688944,0.0
parking02,oracle_gt_yaw,1.3406008057128045,1.291199544298852,1.8660166054950527,0.7361709925646008,0.047828124670944806,1.4725204842052531e-09,0.025260395118437248,0.10179349639727893,0.19274997491843524,94.5217304320496
parking02,oracle_gt_forward_speed,24.250362568195612,19.592631135080328,46.843267987370155,45.530142009807136,36.24380307982836,72.0705084301597,0.011369595589171529,0.044019981659914595,0.08840691106363763,0.9026231351004541
parking02,oracle_gt_speed_and_yaw,0.4630080400069328,0.4553564188002541,0.5830616613915849,0.4957838531972061,0.047828124670944806,1.4725204842052531e-09,0.010932106569914883,0.036140530188345885,0.061111193939614165,98.10795067071611
parking02,oracle_full_planar_pose_motion,0.00812331743829209,0.00757693651197455,0.01280028151245556,0.006157814723639445,0.047828124670944806,1.4725204842052531e-09,0.003258514610743933,0.0099028974595469,0.018995474961518457,99.96680464272185
playground00,fixed_measured,6.804176014644561,5.367288729296846,13.18800918753013,11.831378802385556,4.381743176462901,12.897168617614774,0.02837535145966273,0.136268657042262,0.270171856911352,0.0
playground00,oracle_gt_yaw,1.777887317168776,1.6044485947963807,2.7080683571733344,0.5829208853294564,0.04968790260930954,6.712039044260992e-09,0.028057036027295805,0.13414412178780377,0.2666196565429929,73.8706448313176
playground00,oracle_gt_forward_speed,6.254377124576091,4.607001156079225,12.025154391963335,10.837130664592184,4.381743176462901,12.897168617614774,0.01369700451981802,0.04432092648822817,0.0781553725714646,8.080315513372136
playground00,oracle_gt_speed_and_yaw,0.36576533641097664,0.33359026364386357,0.540849003273989,0.49847453094635114,0.04968790260930954,6.712039044260992e-09,0.013028893751386113,0.03738889997643421,0.0660382809129887,94.62439925681312
playground00,oracle_full_planar_pose_motion,0.006902942271002612,0.006276699363090923,0.011602530997316493,0.0066303524751862184,0.04968790260930954,6.712039044260992e-09,0.002959750347974397,0.01130260838561899,0.02226874723700848,99.89854844648131
street00,fixed_measured,7.423772050204602,5.809437044539419,15.087685878617936,6.814910685356559,4.3772503222172565,11.091836434433903,0.02218118946997444,0.10220466840667566,0.20025753218382283,0.0
street00,oracle_gt_yaw,1.8152330333927353,1.6360100652143725,2.9457510220261747,1.193097830383226,0.036382402792460904,1.8090995028164484e-09,0.02200871346490573,0.10044060780488163,0.1972418116884206,75.54837323779752
street00,oracle_gt_forward_speed,7.502942840982585,5.6288589205149995,15.716929000565539,6.908267970906243,4.3772503222172565,11.091836434433903,0.011598247898102224,0.04032079237398035,0.07281205359210143,-1.0664496463869884
street00,oracle_gt_speed_and_yaw,0.451268653989092,0.41271491790950954,0.7415882414505436,0.29052554511731654,0.036382402792460904,1.8090995028164484e-09,0.011263425706072888,0.03558761235435061,0.06356295480541872,93.92130239267442
street00,oracle_full_planar_pose_motion,0.0036274208040185103,0.0032599688235436094,0.005744238153736043,0.004823091517280771,0.036382402792460904,1.8090995028164484e-09,0.0020307019812970833,0.00697091620058022,0.013535262421284437,99.95113776689954
street01,fixed_measured,36.078621330108966,26.98511020585989,69.67527720183833,64.89869151049794,11.577643511535538,31.98065518873413,0.02830522842870213,0.12398468553768746,0.2384525736167368,0.0
street01,oracle_gt_yaw,3.1103653262560234,2.8422394365096526,4.6631411956437665,1.4932480269219381,0.07047216816397624,6.229001843677765e-09,0.027782755249747475,0.12042487928768997,0.2333013662513771,91.37892410633688
street01,oracle_gt_forward_speed,34.53050570748729,25.076977709832242,67.94797971270195,64.62675552871798,11.577643511535538,31.98065518873413,0.01633444008864421,0.06434056151338173,0.11760304904736217,4.2909500572565165
street01,oracle_gt_speed_and_yaw,0.9282017340797895,0.8315061679888252,1.452241898745854,0.2322752209374623,0.07047216816397624,6.229001843677765e-09,0.015390195020944648,0.05683274486216188,0.10536288015732502,97.42728047841126
street01,oracle_full_planar_pose_motion,0.008892330840409428,0.007644790638465883,0.017952244834651437,0.01838327778947139,0.07047216816397624,6.229001843677765e-09,0.005032881953540839,0.02165073821640202,0.04218884857058544,99.97535290841896
street02,fixed_measured,22.565096062498625,17.010899731182025,42.62174365385241,21.900710234766926,8.020516781742382,20.421027781061653,0.027974799157373834,0.12127794137205668,0.23184785349943546,0.0
street02,oracle_gt_yaw,2.4091541965658267,1.9535569823685557,4.5827113408789275,0.7493913135093424,0.07433806708642499,4.4562878864172595e-09,0.02739744609584701,0.11642484793024714,0.22464382180824666,89.3235367139888
street02,oracle_gt_forward_speed,21.64253571542579,16.111608173282935,41.72633667512298,21.540914526385762,8.020516781742382,20.421027781061653,0.014679107001331152,0.06189801460932141,0.11485383308946584,4.088439705807662
street02,oracle_gt_speed_and_yaw,0.8549918544771148,0.7394800856881936,1.486894627013819,0.41565547366185407,0.07433806708642499,4.4562878864172595e-09,0.013507372269126646,0.05103196023712946,0.09663997653943433,96.21099838392428
street02,oracle_full_planar_pose_motion,0.016135537448595423,0.015063466727436916,0.022934445926280796,0.020545362855712897,0.07433806708642499,4.4562878864172595e-09,0.004934543880508156,0.02189296842859504,0.04274072663595874,99.92849338020142
