metric,n_folds,macro_mean,macro_median,fold_std,bootstrap95_low,bootstrap95_high,sequence_rms
ate_rmse_m,10,2.832843665094024,1.631920959596648,4.243308444699249,0.9109490371385156,5.680176874892638,4.922408265476738
rpe_1s_trans_rmse_m,10,0.06062291762326063,0.0401113112591949,0.04608927103728264,0.03418493343442176,0.08823295037503445,0.07474581563826792
rpe_5s_trans_rmse_m,10,0.166967892007741,0.11548260455235687,0.11300328305607275,0.10233574052485696,0.23469285716902116,0.19842138177327182
rpe_10s_trans_rmse_m,10,0.2714505674348705,0.1957934100002397,0.16829964545794027,0.17525024551105806,0.37250285428415,0.3149249182834771
heading_mae_deg,10,3.3341200571161287,0.7486802215637113,6.486570360579315,0.5476760965430918,7.473587613366219,6.998885060760429
