epoch,train_loss,train_mean_loss,train_nll,validation_loss,validation_mean_loss,validation_nll
1,-5.142142969449659,0.44828089342053495,-5.142837710214305,-5.409884207314375,0.5315466147224062,-5.410435732862585
2,-5.743074105590945,0.44828089458661335,-5.743540587932108,-5.819906440463971,0.5315466147224062,-5.820426646044979
3,-5.9852318838931,0.44828089358566586,-5.985630191649818,-5.988491893119945,0.5315466147224062,-5.989036367880452
4,-6.165586592484268,0.4482808924246684,-6.165997989463659,-6.093491843915236,0.5315466147224062,-6.094113370971621
5,-6.223001280034984,0.4482808919775446,-6.223438733598174,-6.124087108638705,0.5315466147224062,-6.124631141015713
6,-6.244789210195869,0.4482808936898254,-6.24520092743781,-6.143307201428426,0.5315466147224062,-6.14386572488112
7,-6.261752192702361,0.4482808921274327,-6.262150774911769,-6.149756692591035,0.5315466147224062,-6.150317628391963
8,-6.274610040702231,0.44828089664947973,-6.274996310586809,-6.164431103930993,0.5315466147224062,-6.164968511065541
9,-6.2807245981702415,0.4482808949829276,-6.281109456607076,-6.1662202258141505,0.5315466147224062,-6.166757837709272
10,-6.288914412084763,0.44828089473396093,-6.289298539108434,-6.17148218665606,0.5315466147224062,-6.172061441848571
11,-6.295089554496052,0.44828089327064685,-6.295471631213432,-6.173661316370937,0.5315466147224062,-6.174182374596734
12,-6.30106656974706,0.4482808942665134,-6.301450984433894,-6.181389669988985,0.5315466147224062,-6.1819279393531765
13,-6.303825614296072,0.44828089435543006,-6.304208499331901,-6.182946822973569,0.5315466147224062,-6.183493732101565
14,-6.308648485548407,0.44828089206138033,-6.309033611568483,-6.1816305141648815,0.5315466147224062,-6.182172784409321
15,-6.311316461150944,0.4482808947390419,-6.311700965465766,-6.1770224233722795,0.5315466147224062,-6.177553116891289
16,-6.314422869802223,0.44828089454596576,-6.314808455465517,-6.18762720986582,0.5315466147224062,-6.188177141330942
17,-6.318293939536312,0.44828089469839427,-6.318677922139011,-6.186911953906472,0.5315466147224062,-6.187456068069286
18,-6.3207734971489105,0.4482808949524419,-6.321158523948162,-6.189413120268295,0.5315466147224062,-6.189975474738408
19,-6.323775914652087,0.4482808936872849,-6.324160303934162,-6.183347530942302,0.5315466147224062,-6.1838879284397965
20,-6.325348882558918,0.4482808959483084,-6.3257357097222835,-6.189928672532957,0.5315466147224062,-6.190462198098316
21,-6.329721837120586,0.4482808956053442,-6.330107488673662,-6.194058649938699,0.5315466147224062,-6.194604715636686
22,-6.331996583438633,0.44828089433002527,-6.332382813895026,-6.191442750598462,0.5315466147224062,-6.1919970804006494
23,-6.333590978166045,0.4482808940861396,-6.333976792390873,-6.1953031132098175,0.5315466147224062,-6.195863995091324
24,-6.336170121091232,0.448280894413861,-6.336555837111424,-6.188464647196132,0.5315466147224062,-6.189016245611425
25,-6.337961467897055,0.44828089454596576,-6.338350720910015,-6.19183926724814,0.5315466147224062,-6.19239997948886
26,-6.340082928120414,0.44828089360598966,-6.340472512655313,-6.187919996984716,0.5315466147224062,-6.188477239101767
27,-6.3409916494683465,0.4482808934510206,-6.3413804605604485,-6.195511085745619,0.5315466147224062,-6.196062497385815
28,-6.344186983839364,0.4482808955291299,-6.344575817084416,-6.196738217790135,0.5315466147224062,-6.197287125785452
29,-6.346054576504374,0.4482808956637751,-6.346443254597483,-6.194776943630149,0.5315466147224062,-6.195320884414453
30,-6.347987176776288,0.44828089396673726,-6.348377186322637,-6.190538383168586,0.5315466147224062,-6.191082295938476
31,-6.34822754038436,0.44828089356788253,-6.348618487061447,-6.189291065313763,0.5315466147224062,-6.189827222124661
32,-6.350911539885996,0.4482808946958538,-6.351300859804928,-6.194130232540452,0.5315466147224062,-6.194684676250654
33,-6.352238607898452,0.4482808930750302,-6.35263134969611,-6.193093060355433,0.5315466147224062,-6.193630584099518
34,-6.3538450954942265,0.4482808942207848,-6.354234371147907,-6.191756057998308,0.5315466147224062,-6.19231347371591
35,-6.355072724606799,0.4482808926863374,-6.3554646751580055,-6.1928536444335744,0.5315466147224062,-6.193430781151649
36,-6.3546290632587255,0.4482808949473609,-6.355020525347555,-6.191142986484124,0.5315466147224062,-6.191719172599476
37,-6.355716791576502,0.44828089467298954,-6.356108916668562,-6.1872318787772755,0.5315466147224062,-6.187776426404865
38,-6.358402960929061,0.44828089472379906,-6.358794943510587,-6.187321473722269,0.5315466147224062,-6.187865184359094
