sequence,environment_category,condition_variable,condition_bin,n_seed_rows,n_supported_seed_rows,supported,n_samples,n_samples_seed_sd,duration_s_approx,duration_s_approx_seed_sd,time_start_s,time_start_s_seed_sd,time_end_s,time_end_s_seed_sd,Dp_mean_m,Dp_mean_m_seed_sd,Dp_p95_m,Dp_p95_m_seed_sd,Dp_max_m,Dp_max_m_seed_sd,Dtheta_mean_deg,Dtheta_mean_deg_seed_sd,Dtheta_p95_deg,Dtheta_p95_deg_seed_sd,Dtheta_max_deg,Dtheta_max_deg_seed_sd,Dv_rmse_mps,Dv_rmse_mps_seed_sd,Dv_p95_mps,Dv_p95_mps_seed_sd,Domega_rmse_radps,Domega_rmse_radps_seed_sd,Domega_p95_radps,Domega_p95_radps_seed_sd,persistent_yaw_residual_signed_mean_radps,persistent_yaw_residual_signed_mean_radps_seed_sd,persistent_yaw_residual_abs_deg_per_min,persistent_yaw_residual_abs_deg_per_min_seed_sd,Iomega_start_deg,Iomega_start_deg_seed_sd,Iomega_end_deg,Iomega_end_deg_seed_sd,Iomega_delta_deg,Iomega_delta_deg_seed_sd,Iomega_p95_abs_deg,Iomega_p95_abs_deg_seed_sd,Iomega_max_abs_deg,Iomega_max_abs_deg_seed_sd,RPE1_m,RPE1_m_seed_sd,RPEtheta1_deg,RPEtheta1_deg_seed_sd,RPE1_n_pairs,RPE1_n_pairs_seed_sd,RPE5_m,RPE5_m_seed_sd,RPEtheta5_deg,RPEtheta5_deg_seed_sd,RPE5_n_pairs,RPE5_n_pairs_seed_sd,RPE10_m,RPE10_m_seed_sd,RPEtheta10_deg,RPEtheta10_deg_seed_sd,RPE10_n_pairs,RPE10_n_pairs_seed_sd
building00,building,acceleration,high,3,3,True,3533.0,0.0,353.3000000012853,0.0,9064.1,0.0,10260.2,0.0,1.7729682222060255,0.054357213226678906,3.5788576379393415,0.39316529795662386,4.0758140512077725,0.25229833015019953,0.7023572695738293,0.08485597736648023,1.9483066501780357,0.26974614071028474,3.3424337865139626,0.5280841360921906,0.061253961444887706,0.00033856580250148837,0.11846653108174587,0.0005454149285539678,0.033607221576830465,0.0001564137363352797,0.0764836356043815,0.00012167831927488207,-0.00011521653108252754,0.0001303799983660435,0.3960852576700016,0.44821341835781164,-0.0094537462055495,0.0,-23.510789334475145,14.153258485818561,-23.501335588269594,14.153258485818561,23.47853144244071,13.624621911698426,24.580172387137214,13.792392479749603,0.14637424932115636,0.010989824352250974,0.17445900502165598,0.004938101837365252,3533.0,0.0,0.33807532830653947,0.0015742399527009928,0.41417653465419746,0.006932812655123037,3530.0,0.0,0.5018438160687293,0.025913128158409793,0.5556924551139072,0.034035924556136084,3517.0,0.0
building00,building,acceleration,low,3,3,True,4103.0,0.0,410.30000000149266,0.0,9064.8,0.0,10264.9,0.0,1.6954402090184955,0.06401604120226345,3.569606211313706,0.39331894269184786,4.074955509733918,0.24964103566176818,0.6762864932076225,0.06751420470093525,1.9868622364983757,0.22136714003339925,3.3592533101694486,0.523795797994406,0.05111172445775649,9.84055321211731e-05,0.10284753721207368,0.0004933298474942601,0.03103649760887611,0.00019362656483791677,0.06935220435261719,6.0459902786328745e-05,-0.0008299700547225666,0.0003755092633137083,2.8532268754707033,1.2909057573565321,-0.1405332165766796,0.0,-23.45254973838038,14.200547744812202,-23.3120165218037,14.200547744812203,23.543312161029917,13.681999537871626,24.647474666728723,13.653267711034232,0.11193157033895035,0.016627949963471722,0.17597104416175957,0.0028192687163623577,4093.0,0.0,0.2959249570202123,0.027776661232945428,0.40051273756903366,0.008246367148631547,4059.0,0.0,0.4709728891739935,0.03206843875820077,0.5585933305216272,0.015615330634396525,4037.0,0.0
building00,building,acceleration,medium,3,3,True,4373.0,0.0,437.3000000015909,0.0,9064.2,0.0,10260.5,0.0,1.6939084758414868,0.053743218632659226,3.561679253702296,0.39266461943053577,4.076695257305762,0.25218179367733895,0.6527721382729718,0.06871242436462949,1.9461719842052247,0.25503529191265784,3.432005959941075,0.525643556003105,0.05449393051017535,0.00016400807855005548,0.10572918243706213,0.0005196414287105839,0.033482505706318354,0.00016085824379322085,0.07479191565265254,0.0001312493996119881,-6.421563466009131e-05,0.00021442284179568175,0.5277767540877825,0.4456914116192886,-0.0312305690704697,0.0,-23.52574150348306,14.161263625992614,-23.49451093441259,14.161263625992618,23.48445884973725,13.640199695868647,24.282597307851137,13.585972287810144,0.12028857719890944,0.024250609528135597,0.17909427074263196,0.00045768583498130355,4373.0,0.0,0.31248567779213154,0.027768117222509506,0.41318521608543896,0.00801855044769055,4370.0,0.0,0.4804703316062491,0.03843152920933467,0.5590553804419613,0.01117975672998751,4355.0,0.0
building00,building,curvature,high,3,3,True,4848.0,0.0,484.8000000017637,0.0,9064.7,0.0,10260.1,0.0,1.6559676555818799,0.04202350154258764,3.4531084559311425,0.32241283174920443,4.0647433315240695,0.24632213394266556,0.7535991151448465,0.0519950107305409,2.0546275032875543,0.18444844127156806,3.432005959941075,0.525643556003105,0.06720703512755095,0.00022789171518216168,0.1329215428869549,0.00015374353777386807,0.04813272173850924,0.0001970310532358263,0.10749857320139794,2.1541016661846842e-05,-0.0007284074261968879,0.0002594340294681075,2.5040802772241206,0.8918684970357111,-0.0149526861496221,0.0,-23.526204342722774,14.159665556506328,-23.51125165657315,14.15966555650633,23.35889166148658,13.48378493525075,24.665910611811892,13.679821530176486,0.12732030579851908,0.028130076906939236,0.24960564216641937,0.0017908484608314761,4848.0,0.0,0.3141690218008451,0.043328050396672,0.49362051502316406,0.006357534722033127,4846.0,0.0,0.4609402742770179,0.05765139785826427,0.6125591898208945,0.015303724195353125,4809.0,0.0
building00,building,curvature,low,3,3,True,3361.0,0.0,336.1000000012227,0.0,9064.1,0.0,10257.8,0.0,1.7644325730963082,0.06936952051480894,3.5821203869231986,0.3985950059040011,4.073852453074235,0.2569500085978009,0.5930060437654712,0.08240083998603628,1.8781103800157954,0.3251919134156013,3.275474674708587,0.5950285185825747,0.04404783491605115,0.00016277993241416413,0.08585880339766529,0.0004957784535099068,0.013421914968680483,6.08543835614349e-05,0.019980970459679667,0.0006067514805188826,-8.067924077084951e-05,0.0001834976295319703,0.49036178561140525,0.3906895682835282,-0.0094537462055495,0.0,-23.519388725623486,14.150555141920565,-23.509934979417935,14.150555141920565,23.62082603645483,13.773579738973142,23.92846678339808,13.671989387380222,0.11240654356078372,0.01364615757348627,0.12047207880291612,0.0019791371347550996,3361.0,0.0,0.2947216746703043,0.009812827941518727,0.33999558345318226,0.01154819439950643,3361.0,0.0,0.47772696805202464,0.013841679006850549,0.5030867979871222,0.025075463389068946,3357.0,0.0
building00,building,curvature,medium,3,3,True,3752.0,0.0,375.20000000136497,0.0,9064.4,0.0,10259.4,0.0,1.7495808586185573,0.05988270571891642,3.588282797518682,0.379807482056444,4.076448268187776,0.2528327251413554,0.6414057117533438,0.09925896385139793,1.9024911977050383,0.28021845611099555,3.323211027508241,0.5374563672389552,0.047707705117394555,0.0001750399132098361,0.09290638673507294,0.0003469899703938938,0.016388849519740834,0.00029549133532439574,0.024840683722868476,0.0004605909927609747,-8.092087748580473e-05,0.000162295473264785,0.4843513131633435,0.2747237960924107,-0.0428829251554069,0.0,-23.50332696716355,14.168260963634388,-23.460444042008138,14.168260963634392,23.49882753472467,13.655466898765173,24.33932023391313,13.620881708211284,0.13554433653661443,0.003996526069783264,0.13420670753635908,0.003688495036125816,3752.0,0.0,0.33176899089791273,0.01351459172005739,0.36208251375985984,0.01561230178221643,3752.0,0.0,0.5154946084881772,0.025182003872809305,0.5368523369181705,0.027623326769766855,3743.0,0.0
building00,building,elapsed_time,early,3,3,True,4003.0,0.0,400.3000000014563,0.0,9064.1,0.0,9464.3,0.0,1.4223018011713842,0.00853046136802659,1.7942721396318033,0.017127546661399946,2.0112771422856164,0.06043208169764989,0.4089002155169337,0.03223787098514978,1.3605625563528723,0.24998060996708787,2.483419999209646,0.07788970158950209,0.05121242938833346,3.5915964833105796e-05,0.09808226395398369,9.04745673486269e-05,0.029809953788848303,0.00017356623851736647,0.06532728321229393,0.0006953549978475095,-0.0004265042721539372,0.00022323478983766857,1.4662136843231786,0.7674246778913,-0.0094537462055495,0.0,-9.782088963945062,5.120001642683417,-9.772635217739513,5.120001642683417,9.211186850987014,4.550641181882122,10.423658452848425,4.947542338979194,0.08491023742209275,0.0033668648138290703,0.16504936019143612,0.002516499186708365,4003.0,0.0,0.22163776398161186,0.01631499803813395,0.3969470142778107,0.006767535442604073,4003.0,0.0,0.35030642847475707,0.026222698542890038,0.517723345363078,0.017205711752702316,4003.0,0.0
building00,building,elapsed_time,late,3,3,True,4003.0,0.0,400.3000000014563,0.0,9864.7,0.0,10264.9,0.0,2.251596900527398,0.1877409649137275,3.820914477359071,0.2673206983189909,4.077147718636371,0.25201609784620893,0.9224024964299921,0.14728600587580573,2.2296228099971582,0.577518484122913,2.9877666498958213,0.9144902716080843,0.05614937210357752,0.00029474301182130986,0.11076017690356808,0.0014976447233647258,0.035678134228870007,0.0001668508712587299,0.08067164923995727,0.00010737631932639155,-0.0002714151665239661,0.00021153732036398605,0.9330566122598211,0.7272117399817922,-17.226237811434988,9.350818974096718,-23.45254973838038,14.200547744812202,-6.226311926945388,4.849730306540688,23.801850915009595,13.696569109764628,24.665910611811892,13.679821530176486,0.1285040105373617,0.020621137378967983,0.18868124739789863,0.007549139418565719,3993.0,0.0,0.3312341396196904,0.03371507434642772,0.401410745916927,0.04519808432589835,3953.0,0.0,0.5126161862666546,0.06683498133893405,0.5669923442216845,0.09368282298554402,3903.0,0.0
building00,building,elapsed_time,middle,3,3,True,4003.0,0.0,400.3000000014563,0.0,9464.4,0.0,9864.6,0.0,1.4791739117190534,0.01216329811647234,2.0993731758634246,0.13106673639613028,2.587114280713255,0.24063734494090971,0.6948787209041659,0.07799401426400795,1.8591184190874752,0.24244057947676234,3.0557480224460924,0.2824406279373731,0.058802948674414386,0.00022895194816220738,0.11626700342167157,0.001094972435111321,0.03236203147628847,0.00017078258430986717,0.07391412692765391,0.00023315684204901945,-0.00032462418090986573,0.00018620718123434006,1.1159757296415969,0.6401331359853185,-9.823790260815631,5.1223456846705435,-17.22750704023099,9.34884354998868,-7.403716779415358,4.267293302022655,16.749850608427266,8.692944916009813,18.168766230489506,9.262203466697782,0.15538662940279455,0.01210265744429909,0.176291677428677,0.006976632022211186,4003.0,0.0,0.3721877943183291,0.022971099451322995,0.42907524023275156,0.029146227854245487,4003.0,0.0,0.5614730086463052,0.03327668856681816,0.5892281166101739,0.0544423207641194,4003.0,0.0
building00,building,environment,building,3,3,True,12009.0,0.0,1200.9000000043688,0.0,9064.1,0.0,10264.9,0.0,1.7176908711392789,0.057312964147920704,3.5696561606868613,0.3929725673491034,4.077147718636371,0.25201609784620893,0.675393810950364,0.07187232926090757,1.9612152823345133,0.25008852036216267,3.432005959941075,0.525643556003105,0.05547754369485584,0.00018952920490136624,0.10878493227064605,0.000260443692290533,0.032705066746178714,0.00016971009369929537,0.07325086730221908,0.00019145663195511446,-0.0003408478731959231,0.00020638380692208197,1.171748675408199,0.7094952657886897,-0.0094537462055495,0.0,-23.45254973838038,14.200547744812202,-23.44309599217483,14.2005477448122,23.507074274470842,13.653886942577032,24.665910611811892,13.679821530176486,0.12656482362501761,0.009974621355319308,0.17666408821177781,0.0019723816384143236,11999.0,0.0,0.3150781804151357,0.01857889516575371,0.4091766672309886,0.007686785573145328,11959.0,0.0,0.4837512811271149,0.03236635209260502,0.5579056026346597,0.018810420585924362,11909.0,0.0
