policy,trials,requests_per_s_mean,requests_per_s_min,requests_per_s_max,response_bytes_per_s_mean,response_bytes_per_s_min,response_bytes_per_s_max,repeated_source_fraction_mean,repeated_source_fraction_min,repeated_source_fraction_max,aoi_at_delivery_p95_s_mean,aoi_at_delivery_p95_s_min,aoi_at_delivery_p95_s_max,rate_switches_mean,rate_switches_min,rate_switches_max
static-low,5,1.5359555258407638,1.527220787782236,1.5425637409374373,951.7644168293963,949.2940724056488,954.9901937019322,0.05311408016443988,0.02142857142857143,0.06474820143884892,1.3040332431030413,1.239592198657931,1.3771113434791629,0.0,0.0,0.0
static-high,5,1.5359555258407638,1.527220787782236,1.5425637409374373,951.7644168293963,949.2940724056488,954.9901937019322,0.05311408016443988,0.02142857142857143,0.06474820143884892,1.3040332431030413,1.239592198657931,1.3771113434791629,0.0,0.0,0.0
aoi-only,5,1.5359555258407638,1.527220787782236,1.5425637409374373,951.7644168293963,949.2940724056488,954.9901937019322,0.05311408016443988,0.02142857142857143,0.06474820143884892,1.3040332431030413,1.239592198657931,1.3771113434791629,1.0,1.0,1.0
contract-aware,5,1.5359555258407638,1.527220787782236,1.5425637409374373,951.7644168293963,949.2940724056488,954.9901937019322,0.05311408016443988,0.02142857142857143,0.06474820143884892,1.3040332431030413,1.239592198657931,1.3771113434791629,1.0,1.0,1.0
