service,target_acceptance,method,accepted,conditions,false_qualified,achieved_acceptance,false_qualification,ci_low,ci_high
local_5s,0.4,aoi_only,90,200,13,0.45,0.14444444444444443,0.05555555555555555,0.24444444444444444
local_5s,0.4,kinematic_staleness,47,200,4,0.235,0.0851063829787234,0.0,0.20689655172413793
local_5s,0.4,motion_logistic,75,200,16,0.375,0.21333333333333335,0.020822704081632656,0.422680412371134
local_5s,0.4,service_empirical,88,200,11,0.44,0.125,0.023255813953488372,0.24719101123595505
local_5s,0.4,service_identity_only,0,200,0,0.0,,,
local_5s,0.5,aoi_only,110,200,25,0.55,0.22727272727272727,0.11818181818181818,0.34545454545454546
local_5s,0.5,kinematic_staleness,65,200,10,0.325,0.15384615384615385,0.0,0.3243412162162163
local_5s,0.5,motion_logistic,96,200,26,0.48,0.2708333333333333,0.06554732945531466,0.43221390792162523
local_5s,0.5,service_empirical,92,200,13,0.46,0.14130434782608695,0.04395604395604396,0.25274725274725274
local_5s,0.5,service_identity_only,0,200,0,0.0,,,
