sequence,service,classification,rate_hz,delay_ms,age_mean,age_p95,corr_age_increment_heading,corr_age_increment_position,corr_hold_heading_increment_heading,corr_hold_position_increment_position,delivery_gained_pass_fraction,delivery_lost_pass_fraction,held_discrepancy_pass_fraction,held_heading_fail_fraction,held_heading_mean,held_heading_p95,held_position_fail_fraction,held_position_mean,held_position_p95,hold_heading_mean,hold_heading_p95,hold_position_mean,hold_position_p95,ideal_discrepancy_pass_fraction,ideal_heading_fail_fraction,ideal_heading_mean,ideal_heading_p95,ideal_position_fail_fraction,ideal_position_mean,ideal_position_p95,increment_heading_mean,increment_heading_negative_fraction,increment_heading_p95,increment_position_mean,increment_position_negative_fraction,increment_position_p95,persistent_ideal_fail_fraction,samples,configuration
building00,global,persistent_under_ideal,2.0,200,0.4000000000000001,0.6,0.1874366342944405,0.0978127969606474,0.9586575141761128,0.0698065775661444,0.1608449340962792,2.8468129928545e-05,0.1626953625416346,0.0975887493950522,1.8463215064909155,7.402306135894123,0.8269422381643751,1.8159728672280604,3.917141452507291,1.5364569878647245,7.492948153130335,0.5599570749322942,0.9259512713287822,0.0018788965752839,0.0,0.688651634351567,1.967458173927361,0.998121103424716,1.7425766721172515,3.572289632832508,1.1576698721393484,0.3319953312266917,6.609359461675964,0.073396195110809,0.4328009793036695,0.7438174357456656,0.998121103424716,11709.0,frozen_v2
building00,global,persistent_under_ideal,5.0,50,0.1500042702194892,0.2,0.1686842714839138,0.0397649947896784,0.7914580995640135,0.0368004057731062,0.0401115950693198,2.8468129928545e-05,0.0419620235146753,0.0120420189597745,1.0042364120926166,3.2142187426059663,0.9580379764853246,1.7573164540525603,3.69295497658854,0.6110070812136518,3.127263258406135,0.2116204973216023,0.3285585614059684,0.0018788965752839,0.0,0.688651634351567,1.967458173927361,0.998121103424716,1.7425766721172515,3.572289632832508,0.3155847777410496,0.4035072736071967,2.3546345709508816,0.0147397819353087,0.4919008170353289,0.2755634282033463,0.998121103424716,11709.0,frozen_v2
building00,global,persistent_under_ideal,10.0,0,0.0,0.0,,,,,0.0,0.0,0.0018788965752839,0.0,0.688651634351567,1.967458173927361,0.998121103424716,1.7425766721172515,3.572289632832508,0.0,0.0,0.0,0.0,0.0018788965752839,0.0,0.688651634351567,1.967458173927361,0.998121103424716,1.7425766721172515,3.572289632832508,0.0,0.0,0.0,0.0,0.0,0.0,0.998121103424716,11709.0,frozen_v2
building00,local_10s,delivery_remediable,2.0,200,0.4000000000000001,0.6,0.2615601639747651,0.2351440304037797,0.6209187971952503,0.1765573034349707,0.0251241852585637,0.2618657937806874,0.6142360812013669,0.0474631751227495,2.649673316022911,9.80323825865332,0.3797054009819967,0.5509503058105598,1.7942392605137805,1.5416609726783828,7.522065958890768,0.5596286623542172,0.926464777408422,0.8509776897234905,0.0,0.5674056249299325,1.6973649165884908,0.1490223102765095,0.2827291217359995,1.0984957966113802,2.0822676910929783,0.2327217388807534,9.03047923637076,0.2682211840745602,0.2645361357567404,1.2371599150737314,0.1490223102765095,11609.0,frozen_v2
building00,local_10s,delivery_remediable,5.0,50,0.1500043070031871,0.2,0.2421656335670777,0.1806788246018024,0.5271248862352594,0.0107660738168199,0.0194676544060642,0.0709794125247652,0.7994659316047894,0.000143566772906,1.1378746813030929,3.993766367840525,0.2005340683952106,0.3480827012221834,1.1964279172644523,0.6131430352118529,3.142316897088375,0.2115105122281889,0.3287167462316613,0.8509776897234905,0.0,0.5674056249299325,1.6973649165884908,0.1490223102765095,0.2827291217359995,1.0984957966113802,0.5704690563731601,0.3489246848709335,3.2594210218820803,0.0653535794861837,0.3923392769977316,0.4264285762671708,0.1490223102765095,11609.0,frozen_v2
building00,local_10s,delivery_remediable,10.0,0,0.0,0.0,,,,,0.0,0.0,0.8509776897234905,0.0,0.5674056249299325,1.6973649165884908,0.1490223102765095,0.2827291217359995,1.0984957966113802,0.0,0.0,0.0,0.0,0.8509776897234905,0.0,0.5674056249299325,1.6973649165884908,0.1490223102765095,0.2827291217359995,1.0984957966113802,0.0,0.0,0.0,0.0,0.0,0.0,0.1490223102765095,11609.0,frozen_v2
building00,local_1s,delivery_remediable,2.0,200,0.4000000000000001,0.6,0.2158355646292738,0.1201950552765626,0.5414322728450002,0.0005466870546846,0.0056700002849246,0.2914209191668804,0.6776362652078526,0.2667179531014046,1.5793925772935948,6.190994991212626,0.1179587998974271,0.0620854251547163,0.1587098202944067,1.5377400084785997,7.495693798682353,0.559908843697878,0.9259559874430968,0.9633871840898084,0.0024503518819272,0.1786004023551386,0.5708000455073626,0.0366128159101917,0.0358576877143867,0.073433462419801,1.4007921749384564,0.155340912328689,5.869043980624617,0.0262277374403296,0.2042624725760036,0.1055295172490932,0.0366128159101917,11699.0,frozen_v2
building00,local_1s,delivery_remediable,5.0,50,0.1500042738695614,0.2,0.2285428152576356,0.0544156736271639,0.5192102642838269,-0.2900603803548193,0.0061543721685614,0.0907484970225375,0.8787930592358322,0.0873294013733367,0.6372703327441608,2.687984516478916,0.0443342735846368,0.0412207703456063,0.0911700997323552,0.6115083183113038,3.128689507035693,0.2116040094111832,0.3285697811595793,0.9633871840898084,0.0024503518819272,0.1786004023551386,0.5708000455073626,0.0366128159101917,0.0358576877143867,0.073433462419801,0.4586699303890221,0.2559762942701655,2.335767305205239,0.0053630826312196,0.400119668347722,0.0385005289140576,0.0366128159101917,11699.0,frozen_v2
building00,local_1s,delivery_remediable,10.0,0,0.0,0.0,,,,,0.0,0.0,0.9633871840898084,0.0024503518819272,0.1786004023551386,0.5708000455073626,0.0366128159101917,0.0358576877143867,0.073433462419801,0.0,0.0,0.0,0.0,0.9633871840898084,0.0024503518819272,0.1786004023551386,0.5708000455073626,0.0366128159101917,0.0358576877143867,0.073433462419801,0.0,0.0,0.0,0.0,0.0,0.0,0.0366128159101917,11699.0,frozen_v2
building00,local_5s,delivery_remediable,2.0,200,0.4000000000000001,0.6,0.2501138129996377,0.2335649645241629,0.620636982524115,0.1213162020628016,0.0212139405895302,0.3010549789861909,0.5637132973096607,0.1476684678503016,2.3221811131657,8.860212489114517,0.4114418046144609,0.2726684265924941,0.9181727337860732,1.5385728971738946,7.508093265343388,0.5597717059768538,0.926357558229302,0.8435543357063212,0.0,0.415411405718618,1.2904703902855217,0.1564456642936787,0.1494798148434794,0.6502263731602785,1.906769707447082,0.2129685221717128,8.205723753472592,0.1231886117490146,0.2364124996426223,0.5734059039000855,0.1564456642936787,11659.0,frozen_v2
building00,local_5s,delivery_remediable,5.0,50,0.1500042885324641,0.2,0.2447753526471114,0.1480590965293557,0.5623274545795708,-0.1291247261411762,0.0224433198959316,0.097864310832833,0.7681333447694199,0.0168110472596277,0.9506949081024384,3.5002324290432223,0.2281213368785201,0.1788504844398141,0.6688731562118256,0.6119212047190564,3.130480974155527,0.2115593234241764,0.3286470553947473,0.8435543357063212,0.0,0.415411405718618,1.2904703902855217,0.1564456642936787,0.1494798148434794,0.6502263731602785,0.5352835023838202,0.3277868313463133,2.952757613163772,0.0293706695963347,0.3813648969322698,0.2054962234397734,0.1564456642936787,11659.0,frozen_v2
