context,condition_bin,component,units,n_sequences,n_sequence_condition_rows,support_label,sequence_mean_of_median,sequence_median_of_median,sequence_p95_of_median,sequence_sd_of_median,sequence_mean_of_mean,sequence_median_of_mean,sequence_p95_of_mean,sequence_sd_of_mean,sequence_mean_of_p90,sequence_median_of_p90,sequence_p95_of_p90,sequence_sd_of_p90,sequence_mean_of_p95,sequence_median_of_p95,sequence_p95_of_p95,sequence_sd_of_p95,sequence_mean_of_max,sequence_median_of_max,sequence_p95_of_max,sequence_sd_of_max
acceleration,high,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004780277508689266,0.00464051385764225,0.0071266956928108145,0.0016329711402460886,0.014911952066099044,0.014618873371874754,0.02040237888109233,0.004220977594349762,0.04040348360838836,0.03771148451293507,0.057887253320465536,0.012677611478053281,0.07369807959844664,0.06016755852227401,0.13181043958601843,0.033513543173505224,0.28128266272445523,0.2668770508219799,0.3877535477280617,0.07758405532331474
acceleration,high,Dp_m,m,10,10,descriptive_broad_support,1.6873700537320482,0.8972140156058003,5.5175015756563885,2.293913994044229,2.0198839776301596,1.244080523077781,6.627467222840831,2.7507973021193552,4.050006208717411,2.157391928964533,13.718963133405017,5.789953793150855,4.606402647937726,2.543688597182646,15.743647870531067,6.652001245821518,5.63183214905898,4.190527673609696,17.977535467628083,7.509235802005942
acceleration,high,Dtheta_deg,deg,10,10,descriptive_broad_support,2.3435824071550764,0.4526282650843274,10.856920349667352,4.999145445653593,2.5463267284467994,0.6665677908433697,11.249888363793655,5.077286434539523,4.611147960266733,1.6281302852922677,19.398415088877197,8.785812854751729,5.142412271611248,2.253237631141022,20.28254961400458,9.10623343465398,6.828764665747829,3.8360166864009555,22.061097226942678,9.35469022530668
acceleration,high,Dv_mps,m/s,10,10,descriptive_broad_support,0.021770563319053776,0.0211945900470406,0.027387556732477007,0.004054472996146672,0.03263609429784621,0.03344078181081712,0.04068093711319477,0.006053450170957171,0.06421156854213524,0.06149626593881588,0.0841579561633989,0.01347149869982872,0.08867305507428672,0.08405005386254422,0.11742983549057182,0.019326201184204746,0.5764031969631712,0.6321458283346146,0.7810900048973659,0.18863374133029479
acceleration,high,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.811652249199089,8.404614502225362,16.440331427565653,4.930121607114723,9.726196802974417,8.750510952648707,16.759520966250378,4.841537845826439,16.315415906728685,14.685265791363435,28.997230222302136,8.36214272163749,17.138579014165316,15.197938916358542,30.768780369044546,8.867693063400713,19.038191935126854,17.58417592223688,33.17456368246088,9.276188974840476
acceleration,low,Domega_radps,rad/s,10,10,descriptive_broad_support,0.0038497084834791797,0.0034292833103487168,0.0061189698080851415,0.0014606862302490456,0.013254837985476702,0.013205411601305065,0.019143029872877564,0.0040682992457772415,0.035583071891063196,0.0354441551025957,0.051862924761759716,0.011133541348247032,0.06765864840863883,0.05743583361618218,0.12473916508723014,0.03208555312312488,0.2676212100312113,0.23786027450114489,0.3684168086076776,0.06724384034736242
acceleration,low,Dp_m,m,10,10,descriptive_broad_support,1.597898394316575,0.8498504108954207,5.141784287298889,2.1297382987187725,1.9420857645563068,1.0584438531993927,6.525782416600176,2.731843774040745,3.738233449867515,1.9557444691153678,13.564226739407982,5.670788049293056,4.514768577671417,2.5113049296871166,15.746248673945278,6.618533250939012,5.628333113736254,4.181631236017479,17.976939387992417,7.51100670189549
acceleration,low,Dtheta_deg,deg,10,10,descriptive_broad_support,2.29480967027419,0.44522034702376334,10.609045881552662,4.8638683273751955,2.587021876511396,0.6413264472229587,11.488529083119552,5.2202489002499775,4.6597267043943855,1.561510997505927,19.71588270851249,8.957784592685558,5.1424999041830635,2.164896749007393,20.5468699358254,9.214081730925612,6.8697939069156275,4.012004420482877,22.12943131725448,9.381914242243719
acceleration,low,Dv_mps,m/s,10,10,descriptive_broad_support,0.018321520367559633,0.016689807487030833,0.024214870916330216,0.004195585347537481,0.02594938532392786,0.023768252222803876,0.03400979274666932,0.005378134437476188,0.055496095807757176,0.05402780234192797,0.0723675552569329,0.012168620186879994,0.0723672005364399,0.06861496078781776,0.09603449505753803,0.01739610370735338,0.5038860699307407,0.5151045775855891,0.7639588487489767,0.18135355184100777
acceleration,low,Iomega_abs_deg,deg,10,10,descriptive_broad_support,9.171060982412031,7.658315419262809,16.01792939310971,5.035799831638855,9.239151041653601,8.47647314129954,16.56705039502844,4.824683232781435,16.619879273165775,14.6715040150406,30.43454769446145,8.757194663474763,17.493293764237013,15.227725917940944,31.906832036551435,9.105184653203143,18.927429197920723,16.61153013504874,33.491565996054746,9.352554860141492
acceleration,medium,Domega_radps,rad/s,10,10,descriptive_broad_support,0.004663941066246441,0.004530882986728066,0.0074707741623569615,0.0018611764950391975,0.014786885679297377,0.015178018057797373,0.02004244669675238,0.0042193556895931145,0.04004937478185941,0.03856142241662988,0.05732197140653938,0.012881884541369373,0.07288343413732941,0.062481507278668275,0.12872035196671877,0.031871686413825574,0.32406274570773047,0.29797099251300097,0.4879940055621167,0.12086967659352782
acceleration,medium,Dp_m,m,10,10,descriptive_broad_support,1.7038328351539231,0.8834681747627876,5.647515399044909,2.3586981537261256,2.0126200252480957,1.1718583554687063,6.741927746614724,2.805199808391344,3.9183951391794976,2.0870885574169433,13.672768317464374,5.679056864892105,4.597578219904603,2.488938645716681,15.825959125948096,6.669581345241421,5.627186780351117,4.19153676843906,17.986452865804925,7.5114861372336055
acceleration,medium,Dtheta_deg,deg,10,10,descriptive_broad_support,2.3986635305480504,0.42809479694883246,11.203145132277234,5.154941501103158,2.5788473024999634,0.6232357521968919,11.517470940231817,5.219800444840983,4.612087872430163,1.5317305030097124,19.76105385202539,9.002065091081402,5.1016267107418525,2.0837249421672905,20.40450456953135,9.184374423924835,6.863939712554538,3.9346764660678444,22.10942577722976,9.384862448298877
