context,condition_bin,component,units,full_sequence_level_p95,loo_min_p95,loo_max_p95,loo_max_abs_delta,loo_most_influential_sequence,without_parking01_02_p95,parking01_02_influence_delta,parking01_02_max_sequence_p95,mean_seed_sd_of_sequence_p95,n_sequences,support_label
acceleration,high,Domega_radps,rad/s,0.13181043958601843,0.10486281535277754,0.1328052056456605,0.02694762423324089,street02,0.13379997170530253,-0.0019895321192840987,0.05831917275985071,0.00043097630822743404,10,descriptive_broad_support
acceleration,high,Dp_m,m,15.743647870531067,6.518942150784863,16.480018305867603,9.224705719746204,parking02,4.393397413520607,11.35025045701046,22.370981788559817,1.2934179014164375,10,descriptive_broad_support
acceleration,high,Dtheta_deg,deg,20.28254961400458,6.007446487462141,21.394002904017892,14.27510312654244,parking02,2.8521904813427628,17.430359132661817,30.285629224124268,1.7856650307568995,10,descriptive_broad_support
acceleration,high,Dv_mps,m/s,0.11742983549057182,0.11049468702990743,0.11754502388959116,0.006935148460664384,building00,0.1176602122886105,-0.00023037679803868116,0.0831896780990062,0.0011598068036705455,10,descriptive_broad_support
acceleration,high,Iomega_abs_deg,deg,30.768780369044546,27.51252802670161,30.82031866778718,3.256252342342936,street00,28.51869229237762,2.250088076666927,30.201859082875547,7.191850240746588,10,descriptive_broad_support
acceleration,low,Domega_radps,rad/s,0.12473916508723014,0.10142466209828829,0.12491488004103266,0.023314502988941846,street02,0.12509059499483519,-0.000351429907605047,0.05172654241323466,0.0004865918683122786,10,descriptive_broad_support
acceleration,low,Dp_m,m,15.746248673945278,6.339069980290294,16.461442667296446,9.407178693654984,parking02,3.868214013526007,11.87803466041927,22.182994614105695,1.3339869810005756,10,descriptive_broad_support
acceleration,low,Dtheta_deg,deg,20.5468699358254,6.046506509960542,21.661047293058886,14.500363425864856,parking02,2.5764834072427876,17.970386528582612,30.574466150926654,1.8211324991620832,10,descriptive_broad_support
acceleration,low,Dv_mps,m/s,0.09603449505753803,0.08769724390159042,0.09679149974137534,0.008337251155947606,building00,0.09754850442521262,-0.0015140093676745958,0.057355235005767634,0.0011239291631072739,10,descriptive_broad_support
acceleration,low,Iomega_abs_deg,deg,31.906832036551435,27.676187490304127,32.040958793527,4.230644546247309,street00,29.76424160842593,2.142590428125505,30.431437709820273,7.547066854116219,10,descriptive_broad_support
acceleration,medium,Domega_radps,rad/s,0.12872035196671877,0.10502362507084997,0.12908569581806653,0.023696726895868797,street02,0.12945103966941432,-0.0007306877026955483,0.054852647396425334,0.00047859910385810166,10,descriptive_broad_support
acceleration,medium,Dp_m,m,15.825959125948096,6.579326355478725,16.5545630395078,9.246632770469372,parking02,4.32195989157706,11.503999234371037,22.38339434798537,1.3031853484219915,10,descriptive_broad_support
acceleration,medium,Dtheta_deg,deg,20.40450456953135,5.986529223074832,21.523136680288506,14.417975346456519,parking02,2.7043282393764425,17.70017633015491,30.47219356634562,1.7783510109293175,10,descriptive_broad_support
acceleration,medium,Dv_mps,m/s,0.10202612493478212,0.09608579481563831,0.1024375757683688,0.0059403301191438135,building00,0.10284902660195547,-0.0008229016671733452,0.0656125196876624,0.0008716992230660672,10,descriptive_broad_support
acceleration,medium,Iomega_abs_deg,deg,31.32915099635739,27.618667675309677,31.41590955126643,3.7104833210477146,street00,29.091046291258216,2.2381047050991754,30.374806892357963,7.149647777846804,10,descriptive_broad_support
curvature,high,Domega_radps,rad/s,0.24110605030320592,0.1884077121503651,0.24154040129855284,0.052698338152840835,street01,0.24197475229389975,-0.000868701990693832,0.08839644767964872,0.0004150868329116125,10,descriptive_broad_support
curvature,high,Dp_m,m,16.54239003125076,6.7845698482216825,17.314594722343024,9.757820183029079,parking02,4.386578994430997,12.155811036819763,23.49223225108102,1.3647307032043772,10,descriptive_broad_support
curvature,high,Dtheta_deg,deg,20.75522104296532,6.23783313976698,21.886555319616683,14.51738790319834,parking02,3.0039973999199123,17.751223643045407,30.937229532827462,1.8028547249657827,10,descriptive_broad_support
curvature,high,Dv_mps,m/s,0.14375356793015545,0.13145281382312518,0.14473829747953734,0.01230075410703027,parking01,0.1316364049561039,0.012117162974051549,0.1526161338745923,0.0009640559427041891,10,descriptive_broad_support
curvature,high,Iomega_abs_deg,deg,31.18945921276413,27.84030427704258,31.22232707870512,3.3491549357215504,street00,28.64103758557177,2.5484216271923614,30.82791268741325,7.152774183607919,10,descriptive_broad_support
curvature,low,Domega_radps,rad/s,0.020460317320733567,0.020042840453485568,0.020494520066616364,0.00041747686724799907,street01,0.020528722812499157,-6.84054917655906e-05,0.012419238492536032,0.0009312909513924286,10,descriptive_broad_support
curvature,low,Dp_m,m,15.554453750835208,6.483914815884832,16.27123281265212,9.070538934950376,parking02,4.311966742157895,11.242487008677312,22.005465307187336,1.2609111674051119,10,descriptive_broad_support
curvature,low,Dtheta_deg,deg,19.910542040140108,5.874585021235658,20.994171042768905,14.03595701890445,parking02,2.590793987595312,17.319748052544796,29.663203063799163,1.78464474116372,10,descriptive_broad_support
curvature,low,Dv_mps,m/s,0.0821309808727042,0.07753562848083666,0.08254518337547767,0.004595352391867549,building00,0.08295938587825112,-0.0008284050055469144,0.05818523184085874,0.0010933854720252313,10,descriptive_broad_support
curvature,low,Iomega_abs_deg,deg,31.096556955345367,27.24956791246124,31.226359481910205,3.8469890428841254,street00,29.23939591413796,1.8571610412074087,29.668729163132188,7.191592372689653,10,descriptive_broad_support
curvature,medium,Domega_radps,rad/s,0.03092745351760334,0.029827782131420996,0.03102436399708188,0.001099671386182343,building02,0.031121274476560424,-0.00019382095895708468,0.018302553392034723,0.0009160845851003275,10,descriptive_broad_support
curvature,medium,Dp_m,m,15.579386533986652,6.547310773949386,16.29311573400331,9.032075760037266,parking02,4.360122786340866,11.219263747645787,22.00294933413652,1.2828075615090917,10,descriptive_broad_support
curvature,medium,Dtheta_deg,deg,19.963693370358072,5.915368379261683,21.052254954821926,14.04832499109639,parking02,2.716090400142916,17.247602970215155,29.76074763053261,1.7842412561758423,10,descriptive_broad_support
curvature,medium,Dv_mps,m/s,0.09432929613278244,0.09158207264185568,0.09445865153257421,0.0027472234909267645,building02,0.09458800693236599,-0.0002587107995835475,0.06273345419516163,0.0010629463415093474,10,descriptive_broad_support
curvature,medium,Iomega_abs_deg,deg,31.183949510927476,27.27092251613862,31.311067420671073,3.913026994788858,street00,29.237796591256526,1.9461529196709506,29.785652503747922,7.173267218843272,10,descriptive_broad_support
elapsed_time,early,Domega_radps,rad/s,0.12109154325211423,0.09192818788190679,0.12224262322920068,0.029163355370207436,street02,0.12339370320628712,-0.0023021599541728915,0.05050515222052731,0.00048398384000043965,10,descriptive_broad_support
