sequence,base_seed,replicate,ATE_m,heading_MAE_deg,RPE1_m,RPE5_m,RPE10_m,persistent_signed_yaw_residual_radps,persistent_abs_yaw_mismatch_deg_per_min,Iomega_max_abs_deg,Dp_p95_m,Dp_max_m,Dtheta_p95_deg,Dtheta_max_deg
building00,42,replicate_01_base42,1.9650204520600905,0.6456319775493063,0.1204421592133324,0.3014631715998994,0.4605869607719869,-0.0003587110884109,1.2331578858296175,25.6858366591507,3.8167693241152016,4.3092947667909005,1.9176098080183583,2.9351831738296097
building00,1042,replicate_02_base1042,1.8185551729402625,0.7573665055960633,0.138074694554119,0.3362435745284468,0.5207330760391831,-0.0005377194602095,1.8485433379237024,37.80722336152536,3.7756883409690234,4.113037757950084,2.23023895302004,3.982371798845714
building00,2042,replicate_03_base2042,1.823313068026828,0.6231829497057222,0.1211776171076012,0.3075277951170607,0.4699338065701747,-0.0001261130709672,0.4335448024712772,10.504671814759623,3.11651081697636,3.809110631168128,1.7357970859651417,3.378462907147901
building01,42,replicate_01_base42,1.5178267651348287,0.7125047334398943,0.0896096934945049,0.2342870292977767,0.3629531705718307,0.000135492319435,0.4657882836041377,10.789828084381998,2.013991241417524,4.003321748430061,2.490679962596023,4.527154966686052
building01,1042,replicate_02_base1042,1.497673747196674,0.7583737399303906,0.0901482719306633,0.2359060082576554,0.3726349959343153,0.0001723617175114,0.5925359377819801,13.999642571252272,2.024433938988373,4.245127987572982,2.627765943611046,4.338864974118555
building01,2042,replicate_03_base2042,1.5260031236690943,0.7250439538764905,0.0947348441703271,0.2553610060549044,0.3969237284516626,0.0001866474688776,0.6416467334092684,14.857500796216096,1.8433259705989635,4.675696614313713,2.5157616845568467,4.974950841009039
building02,42,replicate_01_base42,1.647140726206558,0.8262706476352099,0.1210383378099643,0.2990968051927214,0.4695172213431636,3.87096960190614e-05,0.1330741324875949,7.683447994125405,4.592905289741189,5.316674725969484,3.181332414380317,5.547041616894269
building02,1042,replicate_02_base1042,1.7131476248827302,0.8484849961569504,0.1215619664319569,0.3128500286359681,0.4844754103665811,0.0001655944079112,0.5692716410567906,17.755582485594868,4.466644026118748,5.560601810150578,3.2692622344679974,5.911780908644987
building02,2042,replicate_03_base2042,1.6292025454447487,0.5541069293670307,0.1133116369989004,0.2702702699422074,0.4271282743100149,-3.723491443308898e-05,0.1280042068528051,10.170801546488184,5.145966686354951,5.727904777602159,2.064990350180349,4.875275605314689
parking00,42,replicate_01_base42,1.9889231291662064,0.5347313824358313,0.0980383478161011,0.2455831693318656,0.3514230722821631,-0.0001676561719414,0.5763594636940103,11.961448388366884,2.7075395551800194,3.953225389943637,1.6743979974915897,4.079317690113622
parking00,1042,replicate_02_base1042,2.219061648853487,0.6930853829346487,0.1645762402958046,0.3892515182679542,0.5540092891795476,-0.0003193955315431,1.0980009571655387,21.44495985876447,3.433305629975236,6.44235270367529,2.9985644979457278,5.014854707286816
