packet_id,source_elapsed_s,send_monotonic_ns,receive_monotonic_ns,datagram_bytes
162,81.0,2458266926368,2458387225459,1127
163,81.5,2458785757020,2459137183182,1127
164,82.0,2459259718000,2459521555317,1127
165,82.5,2459759799847,2459985869125,1127
167,83.5,2460760438970,2460890581826,1127
168,84.0,2461260188215,2461473654775,1127
169,84.5,2461760180686,2461970980151,1127
171,85.5,2462759824836,2462996409602,1127
172,86.0,2463270600150,2463530173752,1127
173,86.5,2463768494320,2464122635979,1127
174,87.0,2464264758147,2464470657949,1127
175,87.5,2464761058437,2465041766677,1127
176,88.0,2465266392376,2465458883149,1127
177,88.5,2465779193547,2466011764064,1127
178,89.0,2466261673310,2466470904705,1127
179,89.5,2466768058647,2466944715075,1127
180,90.0,2467263932041,2467539955804,1127
182,91.0,2468269442656,2468444778529,1127
183,91.5,2468760943178,2468909018771,1127
184,92.0,2469262745837,2469424341481,1127
185,92.5,2469769553560,2469906010126,1127
186,93.0,2470269398406,2470496855273,1127
187,93.5,2470764966496,2471065762595,1127
188,94.0,2471292836931,2471451885797,1127
189,94.5,2471759905738,2472027715432,1127
190,95.0,2472262364552,2472355800690,1127
191,95.5,2472770405363,2472887948510,1127
192,96.0,2473265689793,2473505554025,1127
194,97.0,2474263152261,2474532129442,1127
195,97.5,2474793339839,2474977310218,1127
196,98.0,2475262646064,2475620916099,1127
198,99.0,2476260504078,2476462721121,1127
199,99.5,2476761562434,2476941293958,1127
200,100.0,2477261860587,2477510735892,1128
201,100.5,2477769514957,2478012199548,1128
202,101.0,2478261970011,2478396600252,1128
203,101.5,2478760499942,2478960272271,1128
204,102.0,2479273843919,2479461049631,1128
205,102.5,2479760079256,2479994781444,1128
206,103.0,2480262263479,2480548505331,1128
207,103.5,2480767789435,2481005382450,1128
208,104.0,2481263823691,2481399149822,1128
209,104.5,2481760264683,2481924642522,1128
210,105.0,2482259913508,2482448995816,1128
213,106.5,2483763325848,2483973971203,1128
215,107.5,2484761502197,2484988738601,1128
216,108.0,2485271582582,2485486626336,1128
217,108.5,2485760731292,2485875251011,1128
218,109.0,2486305376519,2486487874569,1128
219,109.5,2486789958466,2487062635092,1128
220,110.0,2487655039295,2487913342688,1128
221,110.5,2487760278677,2487961266545,1128
222,111.0,2488262832328,2488507571711,1128
223,111.5,2488779415828,2489007172315,1128
224,112.0,2489259991688,2489458461153,1128
225,112.5,2489808682061,2489991583681,1128
