epoch,train_loss,train_mean_loss,train_nll,validation_loss,validation_mean_loss,validation_nll
1,0.33847801112873366,0.3363313905793262,-4.151207956779096,0.20985370857244762,0.2964993199494697,-4.420644562038145
2,0.21747291047538708,0.21589623973539504,-4.513980308604033,0.18780975057420465,0.2797909537296879,-4.664150007386182
3,0.2049970150033143,0.2038389143265451,-4.7427367707206365,0.17943333376740525,0.2761461794213773,-4.883957461314748
4,0.20038364717099041,0.19953247165365187,-4.959721057537149,0.17443786658795254,0.2760047553761899,-5.113133994286077
5,0.19904668039762768,0.19843278128720274,-5.183297204712929,0.16852080745931747,0.2755984027754582,-5.37704811356352
6,0.06818128453746124,0.19959320719429552,-6.573426835656009,0.14027647570484053,0.27521869249624475,-6.747115980863385
7,0.06019943483185589,0.1977538991392885,-6.877751537458552,0.14001572315442498,0.2751682825938204,-6.757629207884624
8,0.05880721012974302,0.1967163934333139,-6.895471114321299,0.14018516752198165,0.2752708235547957,-6.7542835007397715
9,0.05818408415587166,0.19630469290351793,-6.906037896807871,0.14002078304870094,0.2752804518303459,-6.7629838241791225
10,0.05765827488037479,0.19591744661431545,-6.912963904390701,0.1390066374067162,0.2743124693202396,-6.765291931363445
11,0.05717891056054161,0.195501726804711,-6.91614620892645,0.1390408641550565,0.274395010525699,-6.767707543287626
12,0.05684304109082427,0.19524342108460221,-6.920023892210498,0.1394356708610699,0.27461390416671405,-6.758911902367465
13,0.056272404471171475,0.19475709013284606,-6.9242390572531916,0.1398648355641081,0.27518479544625835,-6.765998137080846
14,0.055662082446561865,0.19425253597455913,-6.929526141799512,0.13897733316231964,0.27435352850243716,-6.768810023503292
15,0.05525559613967363,0.19391104944029564,-6.932775779682615,0.13839902742675106,0.2737980159378479,-6.769949501004891
16,0.05513015302955166,0.19385438110213013,-6.936214131782515,0.13861287894687055,0.2740339397280735,-6.77105314584793
17,0.05480979065480379,0.19373641841578254,-6.9463394124109366,0.13872550863972977,0.27441289818853676,-6.78437263454577
18,0.05382625241155789,0.19311662794770526,-6.964566358051287,0.13793641699424314,0.2736905003153804,-6.787718517261841
19,0.05330947064576954,0.19272411434299028,-6.970834901425966,0.1378455626225899,0.273759692930562,-6.795741906764446
20,0.053095461157267404,0.1926185175355385,-6.976283137908097,0.13636938851045058,0.2725963058398742,-6.811434564122165
