test_sequence,v2_ate_rmse_m,v2_heading_mae_deg,v2_rpe_1s_m,v2_rpe_5s_m,v2_rpe_10s_m,fidelity_Dp_p95_m,fidelity_Dtheta_p95_deg
building00,1.9867286209974377,1.1592445740699449,0.2038349316595327,0.5267364552568982,0.8506855449453319,3.729483725742385,4.65577150838081
building01,3.2671407532561396,2.1167107798986713,0.37927763222371036,0.9367005089740802,1.4101040576157244,6.612951685436205,11.21362704423875
building02,8.132133648207233,1.6119799961836225,0.5952295212670417,1.4002911817891617,2.019878520757944,24.144474907400607,6.930842099894902
parking00,2.1243101786299934,0.8397487289438991,0.16130712970058464,0.37342066573595556,0.5263828835129853,3.5212483410457267,3.420715943638936
parking01,5.688668715152535,7.357554902039162,0.021844989373655296,0.07575844272362929,0.1381487412290263,11.099521212180496,13.066641719719016
parking02,16.206562410166374,24.030480852927486,0.020305441267245507,0.06426541164406709,0.11931671853396426,32.21781877700335,44.79179194069201
playground00,0.2407706189534128,0.2243115202407624,0.012960167100221904,0.04116942258257092,0.07603098067817639,0.3692057017084154,0.48143208373569174
street00,0.29843506288566923,0.2651342989956463,0.019225023740821422,0.06726034734972743,0.11142936002062621,0.5166328324932543,0.7445433973687
street01,0.3970701581725531,0.36007305623367003,0.04371225432931678,0.11721625966398837,0.18858065987354186,0.7575140141717535,0.8271526260594881
street02,0.47422290497401876,0.4857227184148596,0.03760158183864015,0.10893955890093403,0.17861076822609814,0.8560628929623307,1.0976771528828493
