metric,label,centered_sequence_macro,causal_sequence_macro,causal_change_pct
v2_ate_rmse_m,ATE RMSE (m),2.3979393554148,3.8816043071395363,61.8724968325185
v2_heading_mae_deg,Heading MAE (deg),2.568934910137402,3.845096142794773,49.67666668475903
v2_rpe_1s_m,RPE1 RMSE (m),0.061148599050278585,0.14952986725007703,144.5352298703167
v2_rpe_5s_m,RPE5 RMSE (m),0.16029105278759512,0.37117582546210126,131.5636581125671
v2_rpe_10s_m,RPE10 RMSE (m),0.2532473054039135,0.5619168235393417,121.88462090173861
fidelity_Dp_p95_m,Dp p95 (m),4.596529965659483,8.382491409014452,82.3656425964751
fidelity_Dtheta_p95_deg,Dtheta p95 (deg),5.131776522887455,8.723019551661116,69.9805031017408
