base_L,base_R,base_T,base_p,base_r,base_temp,base_v,base_y,imu_T,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_p,imu_r,imu_temp,imu_y,t_edge_rx_ns,t_wall_unix_s
0,0,1001,-0.056323387,-1.003834844,50,12.38871956,-154.8026581,1002,0.078125,-17.80273438,981.8945313,-0.336250067,-0.533749998,-0.242500007,27,-13,-45,-0.079532236,-0.989867508,50,-154.7932892,353284828000000,1783454020.6151257
0,0,1001,-0.121955246,-0.811719954,50,12.38871956,-154.8468018,1002,2.51953125,-16.33789063,984.3359375,-0.148750067,0.528750002,-0.555000007,28,-12,-46,-0.094940789,-0.872688949,49.44444275,-155.0715027,353285125000000,1783454020.921235
0,0,1001,-0.19874157,-0.893493414,50,12.38871956,-154.7732697,1002,1.0546875,-18.29101563,980.9179688,0.038749933,0.153750002,-0.055000007,28,-11,-46,0.150453001,-1.464872956,50,-155.2069092,353285468000000,1783454021.2566729
-0.040147482,-0.020044325,1001,-3.336602688,1.297091246,50,12.38871956,-153.1376495,1002,-5.29296875,-14.38476563,986.7773438,0.101249933,-0.408749998,0.757499993,25,-12,-49,-0.000980689,-0.796031892,50,-154.7996216,353285796000000,1783454021.5861614
-0.073130522,-0.059547273,1001,2.99543643,-3.22595191,50,12.38871956,-144.0534821,1002,-39.47265625,-30.49804688,962.8515625,1.788749933,-9.15874958,1.507499933,26,-12,-48,3.152625084,-3.259941339,50,-143.7276001,353286125000000,1783454021.9186811
0,0,1001,-0.257115215,-3.115669489,50,12.37358952,-151.8086243,1002,13.26171875,-13.89648438,980.4296875,-0.273750067,-0.783749998,0.007499993,28,-11,-48,0.382354707,-2.80679369,50,-151.0853271,353286437000000,1783454022.2355497
0,0,1001,-0.464324266,-1.287743449,50,12.37358952,-156.7659454,1002,9.35546875,-16.82617188,978.4765625,-0.023750067,-0.283749998,0.007499993,28,-13,-46,-0.814831138,-0.824117124,50,-156.4645996,353286750000000,1783454022.53893
0,0,1001,-0.307571292,-1.162697554,50,12.37358952,-158.5131836,1002,10.8203125,-16.33789063,982.8710938,-0.148750067,-0.283749998,-0.117500007,28,-10,-47,-0.48252058,-1.313690066,50,-158.4446106,353287062000000,1783454022.862419
-0.060088948,0.040080641,1001,-4.121110916,1.995640516,50,12.37358952,-156.1929779,1002,23.515625,-9.990234375,981.8945313,0.038749933,-0.283749998,1.257499933,25,-13,-49,-1.213706374,0.182203934,50,-157.4313202,353287406000000,1783454023.1926744
-0.066499923,0.033106567,1001,19.06087685,-0.434950799,50,12.37358952,-69.40753174,1002,-14.08203125,-25.12695313,1008.75,0.226249933,-1.471250057,30.94499969,27,-21,-49,18.58382416,-0.621062219,50,-69.31258392,353287718000000,1783454023.513074
0,0,1001,5.821608067,-4.723756313,50,12.37358952,-123.0055084,1002,-22.3828125,-36.35742188,1008.261719,-0.148750067,2.841249943,-0.742500007,34,-24,-47,7.120684624,-5.654356956,50,-121.4069519,353288046000000,1783454023.8334107
0,0,1001,0.852628231,-1.857447743,50,12.37358952,-142.8120422,1002,-9.19921875,-24.15039063,987.7539063,-0.461250067,0.528750002,0.319999993,31,-20,-49,1.087564588,-2.118992329,49.44444275,-142.2326355,353288359000000,1783454024.1548426
0,0,1001,0.104772374,-1.305157185,50,12.37358952,-145.7030792,1002,5.9375,-9.501953125,979.9414063,-0.898750067,-0.783749998,-0.180000007,34,-22,-47,0.187069625,-1.262486696,50,-145.4478455,353288687000000,1783454024.4806428
0.218638042,-0.220825881,1001,-1.194495797,1.775634408,50,12.37358952,-177.5906067,1002,-11.640625,-63.21289063,980.9179688,2.163749933,-6.033750057,-78.43000031,30,-25,-48,-2.794033051,1.09526825,50,-163.8630676,353289015000000,1783454024.8032153
0.045477626,-0.068299013,1001,18.25242805,5.403885841,50,12.37358952,18.17889786,1002,-80.9765625,-30.98632813,934.0429688,3.226249933,0.216250002,-48.24250031,22,-8,-49,18.06722641,4.194869518,50,24.30547714,353289328000000,1783454025.120988
0,0,1001,13.4169569,3.706902266,50,12.37358952,1.638397574,1002,19.609375,-15.36132813,977.0117188,0.038749933,-0.783749998,0.007499993,19,-6,-51,13.62874508,3.604701042,50,2.247063875,353289640000000,1783454025.4369369
0,0,1001,16.13080597,2.904422283,50,12.37358952,-4.00211525,1002,14.7265625,-9.501953125,980.9179688,0.101249933,-15.40874958,-0.117500007,19,-7,-51,12.98882389,3.291522026,50,-3.028793573,353289984000000,1783454025.7782161
0.021488535,0.021522347,1001,21.65048599,2.888963223,50,12.37358952,-11.62651062,1002,16.6796875,-12.43164063,975.546875,-0.023750067,-0.471249998,-4.742499828,29,-7,-47,20.39155579,1.961134195,50,-10.96612072,353290312000000,1783454026.1120243
0.067150874,0,1001,11.96339989,-4.979405403,50,12.37358952,-82.68759918,1002,106.5234375,5.146484375,981.8945313,0.163749933,3.403749943,-21.18000031,21,-7,-46,12.27909279,-5.183885574,50,-76.19594574,353290625000000,1783454026.421658
0.27313406,0.259671545,1001,14.52715111,-4.380608082,50,12.37358952,-128.1686249,1002,-2.36328125,-62.72460938,981.8945313,1.788749933,15.71625042,-17.30500031,26,-4,-51,5.386861324,-10.33736038,50.55555725,-123.9281998,353290953000000,1783454026.752667
0.251075542,0.228146664,1001,-8.187405586,-0.638835728,50,12.37358952,-143.7585297,1002,-36.0546875,-19.75585938,1016.074219,-0.586250067,-22.40875053,-8.930000305,21,-19,-46,2.171596527,0.855209172,50,-142.8406982,353291312000000,1783454027.1055868
0.154976413,0.156365524,1001,-5.133099079,-1.73625505,50,12.37358952,-150.1374359,1002,97.734375,-49.05273438,996.5429688,0.476249933,6.591249943,-0.367500007,18,-14,-49,-5.968350887,-1.563117623,50,-150.0081482,353291625000000,1783454027.420758
0.225818288,0.203266966,1001,6.648564816,2.489588737,50,12.37358952,-155.1054382,1002,-366.6210938,10.02929688,1122.519531,0.413749933,18.40374947,-1.930000067,26,-5,-51,19.64335442,-0.515243709,50,-155.9947968,353291953000000,1783454027.7502913
0,0,1001,-1.243539691,-1.464234829,50,12.37358952,-153.9064331,1002,17.16796875,-30.00976563,1016.074219,-0.211250067,4.153749943,8.069999695,15,-6,-45,-2.242347717,-1.94042635,50,-154.1442413,353292328000000,1783454028.1183155
0.113814467,0.113745634,1001,-3.15914464,0.871734619,50,12.37358952,-156.3131409,1002,-22.3828125,25.65429688,1028.28125,0.788749933,15.65375042,3.257499933,20,-11,-46,-2.103040457,0.408438057,50,-157.7977448,353292671000000,1783454028.4627097
0.439132389,0.423214201,1001,2.515348434,2.843344688,50,12.37358952,-144.5442047,1002,-158.6132813,-23.17382813,974.0820313,-3.273750067,3.466249943,-2.805000067,22,-24,-51,4.287547112,2.754348278,50,-146.3466187,353293015000000,1783454028.8032823
0.322420125,0.322466192,1001,-11.47364521,-2.067020893,50,12.37358952,-148.5693054,1002,195.390625,-10.47851563,922.8125,-0.023750067,-7.221250057,3.007499933,16,-12,-48,-8.98177433,-0.57186234,50,-149.0747833,353293328000000,1783454029.1274185
0,0,1001,1.038639545,-1.842905641,50,12.37358952,-152.4842682,1002,26.93359375,-24.63867188,970.6640625,-0.586250067,0.341250002,0.694999993,18,-7,-47,-0.065530628,-1.70410943,50,-152.0651245,353293703000000,1783454029.4886773
0,0,1001,-0.34055382,-1.116917491,50,12.37358952,-153.3370819,1002,-4.8046875,-21.70898438,975.546875,-0.023750067,0.403750002,0.007499993,20,-8,-46,0.648408294,-1.523772597,50,-153.4703217,353294046000000,1783454029.8335187
0,0,1001,0.704471469,-1.242053747,50,12.37358952,-154.8601532,1002,-5.29296875,-21.22070313,983.359375,-0.023750067,0.091250002,0.069999993,17,-7,-46,0.97387594,-1.190404654,50,-154.7859955,353294375000000,1783454030.1612968
0,0,1001,0.565896869,-1.351812124,50,12.37358952,-154.7281799,1002,-4.31640625,-20.24414063,982.8710938,-0.398750067,0.091250002,-0.117500007,19,-7,-46,0.583609581,-1.278363347,51.11111069,-154.6241913,353294687000000,1783454030.4730318
0,0,1001,0.355113834,-1.273362875,50,12.37358952,-155.2734833,1002,-6.26953125,-19.75585938,980.4296875,-0.461250067,0.216250002,-0.180000007,17,-9,-48,0.149551317,-0.79798907,50,-155.0984344,353295000000000,1783454030.7893863
-0.060265444,-0.060613425,1001,2.226632118,-1.880441785,50,12.37358952,-151.2653046,1002,-28.73046875,1.240234375,937.9492188,-1.461250067,0.028750002,3.444999933,19,-7,-47,0.921222806,-0.87986666,50,-150.9151306,353295312000000,1783454031.100992
-0.160164093,-0.183100365,1001,5.477018356,-2.992996454,50,12.37358952,-149.7937012,1002,-17.01171875,-41.24023438,1046.347656,0.913749933,26.90374947,-0.742500007,18,-9,-45,-1.468922973,-2.443627596,50,-150.3968506,353295625000000,1783454031.4113624
-0.229014802,-0.228423751,1001,-7.008876324,0.590529561,50.55555725,12.37358952,-153.7251434,1002,372.1484375,-31.47460938,953.0859375,3.288749933,-34.97124863,2.757499933,9,-11,-53,-19.33357048,0.641035378,50,-152.1629944,353295953000000,1783454031.7401667
-0.091341767,-0.091355631,1001,1.967026591,3.429978371,50,12.36059952,-138.5203857,1002,-134.1992188,-167.7050781,961.3867188,1.101249933,1.466249943,-2.305000067,14,-19,-47,0.774177372,0.775863945,50,-142.1230774,353296312000000,1783454032.1120439
0,0,1001,-0.976775885,-0.332804292,50,12.36059952,-123.5795212,1002,4.9609375,-19.26757813,994.1015625,-0.648750067,-0.471249998,-0.305000007,12,-22,-46,-1.294846654,-0.297965705,50,-124.4119492,353296656000000,1783454032.4552493
0,0,1001,-0.087367706,-0.947385728,49.44444275,12.36059952,-119.1203308,1002,-8.22265625,-19.75585938,979.9414063,-0.273750067,-0.596249998,-0.117500007,14,-21,-45,0.479529858,-1.286646008,49.44444275,-119.5394897,353296984000000,1783454032.7718914
0,0,1001,0.350790441,-1.150272846,50,12.36059952,-117.4985123,1002,-5.78125,-21.22070313,975.546875,-0.461250067,-0.283749998,-0.242500007,12,-22,-46,0.296776623,-1.158934951,50,-117.5738754,353297328000000,1783454033.1186242
-0.320669531,-0.320816045,1001,2.423543692,-4.123939991,50,12.36059952,-130.1813812,1002,134.3554688,-30.49804688,980.4296875,1.288749933,-5.721250057,-0.992500007,19,-24,-50,-4.36768198,-2.37462306,50,-125.4730301,353297640000000,1783454033.4398308
-0.018482094,-0.018596308,1001,4.834665298,-2.709683657,49.44444275,12.36059952,-141.7454529,1002,-36.0546875,-0.712890625,970.1757813,0.851249933,-2.096250057,-2.555000067,17,-7,-43,3.881774902,-2.290364742,50,-141.3981171,353298000000000,1783454033.7910125
0,0,1001,0.26518923,-2.494075775,50,12.36059952,-148.8805237,1002,-6.26953125,-22.68554688,977.9882813,0.351249933,-0.033749998,0.132499993,18,-6,-45,0.689130008,-2.636728048,50,-148.1951752,353298312000000,1783454034.108347
0,0,1001,-0.0175623,-1.592743516,50,12.36059952,-151.2531586,1002,2.51953125,-16.82617188,972.6171875,0.101249933,0.403750002,-0.055000007,17,-7,-46,0.018268911,-1.662362695,49.44444275,-151.0440674,353298671000000,1783454034.4572804
0.041911623,0.06283243,1001,-3.06448555,-0.280620158,50,12.36059952,-149.4617157,1002,33.28125,-31.47460938,995.078125,-4.211250305,-3.721250057,2.507499933,19,-13,-47,-2.013121367,0.088120356,50,-149.6083984,353299000000000,1783454034.79214
0.217918364,0.206923198,1001,12.47668266,1.90606904,50,12.36059952,-146.5926361,1002,-356.3671875,-17.31445313,1047.324219,-1.711250067,20.15374947,-0.242500007,25,-9,-47,18.14808083,0.041361503,49.44444275,-147.8695679,353299312000000,1783454035.1002462
0.022880585,0,1001,-3.362677574,0.764828444,50,12.36059952,-134.8056641,1002,63.06640625,-8.037109375,973.1054688,-0.211250067,-1.596250057,-9.180000305,19,-23,-45,-4.945068359,-0.382403255,50,-135.089386,353299625000000,1783454035.4233027
0,0,1001,0.096119039,-0.872945547,50.55555725,12.36059952,-125.5436401,1002,-6.7578125,-19.26757813,983.359375,-0.273750067,-0.721249998,0.257499993,16,-24,-46,-0.25492385,-0.650680602,50,-125.9310837,353299968000000,1783454035.7600405
0,0,1001,0.312656075,-1.081374526,50,12.36059952,-122.9865189,1002,-10.17578125,-20.73242188,980.4296875,-0.086250067,0.028750002,-0.180000007,17,-24,-45,0.575310349,-1.098687768,50,-123.3540497,353300296000000,1783454036.0851207
-0.09581172,0.174595736,1001,10.8129406,0.275929391,50,12.36059952,-80.29336548,1002,-12.12890625,61.78710938,949.1796875,4.913749695,-6.721250057,117.1324997,17,-26,-52,6.065547943,3.26147604,50,-85.66159821,353300609000000,1783454036.408363
0,0.022735377,1001,16.95638657,-4.125761032,49.44444275,12.36059952,-88.8815918,1002,8.8671875,-5.107421875,974.5703125,0.788749933,-2.971250057,9.382499695,28,-24,-44,17.48557663,-2.290956974,50,-81.5304718,353300937000000,1783454036.7261682
0.030534274,-0.020294406,1001,-3.135411024,5.171210289,50,12.36059952,-155.3785706,1002,4.9609375,-11.45507813,971.1523438,0.601249933,-1.096250057,-20.80500031,23,-25,-44,-2.531792879,5.624378681,50,-156.1646118,353301265000000,1783454037.0608814
0,0,1001,-1.72048378,0.216246217,50,12.36059952,-133.0177917,1002,-12.12890625,-18.29101563,985.8007813,-0.148750067,0.653750002,0.194999993,22,-27,-46,-1.059309006,0.514177978,50,-134.5363312,353301593000000,1783454037.384743
0,0,1001,0.123184465,-0.814554095,50,12.36059952,-128.2532349,1002,-7.24609375,-18.77929688,978.4765625,-0.398750067,0.091250002,0.069999993,18,-26,-47,-0.389226228,-0.354598194,50,-128.2763062,353301937000000,1783454037.7285528
0,0,1001,0.564296007,-1.166977525,50,12.36059952,-128.1924744,1002,-7.24609375,-18.29101563,977.9882813,-0.211250067,-0.033749998,0.132499993,21,-25,-48,0.232625157,-0.909098625,50,-128.0124969,353302265000000,1783454038.057476
0,0,1001,0.644503117,-1.091546416,49.44444275,12.36059952,-127.4051437,1002,-4.8046875,-16.33789063,982.8710938,-0.461250067,0.028750002,0.194999993,21,-24,-46,0.897343874,-1.393179059,49.44444275,-127.4011917,353302609000000,1783454038.394728
0,0,1001,-0.004697651,-0.753202021,50,12.36059952,-127.4106903,1002,-5.29296875,-16.82617188,979.9414063,-0.461250067,-0.908749998,0.069999993,20,-27,-46,-0.159071207,-0.63629657,49.44444275,-127.4687653,353302937000000,1783454038.7343633
0,0,1001,-0.503172755,-0.790899456,50,12.36059952,-127.2521362,1002,-6.7578125,-14.87304688,979.453125,-0.461250067,-0.533749998,-0.180000007,21,-24,-48,0.62995404,-1.191828251,50,-127.7871857,353303265000000,1783454039.0544736
0,0,1001,0.336944163,-1.019214034,50,12.36059952,-127.2342148,1002,-7.734375,-16.82617188,982.8710938,-0.148750067,-0.283749998,0.007499993,22,-24,-44,0.839226723,-1.398042321,50,-127.5354843,353303578000000,1783454039.372968
0,0,1001,0.420474529,-0.991631687,50,12.36059952,-128.1417694,1002,-8.7109375,-16.33789063,979.453125,0.038749933,0.278750002,0.194999993,22,-25,-47,0.486551344,-1.041414618,50,-128.122406,353303921000000,1783454039.7185397
0,0,1001,0.486567408,-1.112404585,50,12.36059952,-128.3495789,1002,-8.22265625,-17.31445313,982.3828125,-0.523750067,-0.283749998,-0.055000007,20,-25,-47,0.19924216,-0.918246448,50,-128.1442413,353304250000000,1783454040.049648
0,0,1001,0.401530653,-1.054906249,50,12.36059952,-127.8010635,1002,-5.78125,-19.26757813,980.4296875,-0.273750067,0.841250002,0.007499993,21,-26,-48,0.485171854,-1.04192245,50.55555725,-127.7102127,353304562000000,1783454040.3602304
0,0,1001,0.449401975,-1.126089215,50,12.36059952,-128.0730438,1002,-10.6640625,-16.82617188,979.9414063,-0.211250067,-0.096249998,-0.180000007,20,-27,-46,0.317709059,-0.99582243,50,-127.9479523,353304906000000,1783454040.6957717
0,0,1001,0.202210411,-0.903193712,50,12.36059952,-127.5830154,1002,-7.24609375,-17.80273438,983.8476563,-0.648750067,0.153750002,0.069999993,22,-26,-47,0.256685287,-0.977907717,50,-127.7204895,353305234000000,1783454041.0221817
0,0,1001,0.441251934,-1.126848459,50,12.36059952,-128.3166199,1002,-3.33984375,-20.24414063,979.9414063,-0.461250067,-0.658749998,-0.430000007,21,-24,-45,0.797929406,-1.410440803,50,-128.4708099,353305546000000,1783454041.343975
0,0,1001,0.014279824,-0.666853309,50,12.36059952,-127.5117264,1002,-8.22265625,-18.29101563,980.9179688,-0.648750067,-0.846249998,0.132499993,19,-25,-46,0.219280019,-0.794528484,50,-127.7986984,353305859000000,1783454041.6593633
0,0,1001,0.439496636,-1.176826477,50,12.38467979,-127.8186874,1002,-6.26953125,-18.77929688,978.4765625,-0.086250067,-0.408749998,-0.242500007,21,-25,-47,0.291739315,-1.156917334,50,-127.7566528,353306187000000,1783454041.9753942
0,0,1001,0.117063321,-0.956447721,49.44444275,12.38467979,-127.7077408,1002,-4.8046875,-15.84960938,982.3828125,-0.523750067,-0.033749998,-0.305000007,21,-27,-47,0.182853773,-0.924492598,50,-127.7762451,353306515000000,1783454042.3095505
0,0,1001,0.742748082,-1.313873529,51.11111069,12.38467979,-128.1459045,1002,-5.29296875,-17.80273438,980.4296875,-0.211250067,0.778750002,-0.117500007,22,-25,-47,0.513463497,-1.140122414,49.44444275,-127.9115295,353306828000000,1783454042.6202185
0,0,1001,0.447577685,-1.223066449,50,12.38467979,-127.9786758,1002,-4.31640625,-18.77929688,979.453125,-0.523750067,-0.721249998,-0.180000007,20,-26,-47,-0.020570029,-0.961479723,50,-127.7311172,353307156000000,1783454042.9445689
0,0,1001,1.251727104,-1.077043533,50,12.38467979,-128.8637238,1002,-5.78125,-18.29101563,978.9648438,-0.461250067,-0.408749998,0.007499993,21,-24,-48,0.395692974,-1.206074715,50,-128.7188568,353307468000000,1783454043.261618
0,0,1001,0.318694204,-0.910479963,50,12.38467979,-126.9075165,1002,-8.22265625,-18.77929688,977.9882813,-0.398750067,0.153750002,0.132499993,19,-27,-46,0.371767193,-1.003059745,50,-127.0330658,353307781000000,1783454043.5802453
0,0,1001,0.071632639,-0.846830785,50,12.38467979,-127.0848083,1002,-7.24609375,-19.26757813,981.8945313,-0.398750067,0.778750002,-0.180000007,21,-26,-46,0.396279901,-1.037086248,50.55555725,-127.3794327,353308109000000,1783454043.90183
0,0,1001,0.494239211,-1.163590908,50,12.38467979,-127.6851196,1002,-3.828125,-20.24414063,980.4296875,-0.023750067,0.153750002,-0.180000007,20,-24,-48,0.401703268,-1.153876662,50,-127.6758881,353308453000000,1783454044.2420082
0,0,1001,1.344611168,-1.266133666,50,12.38467979,-127.9907227,1002,-5.29296875,-19.26757813,981.8945313,-0.336250067,-1.158750057,0.257499993,23,-25,-47,0.805536449,-1.519164562,50,-128.0316315,353308765000000,1783454044.5657077
0,0,1001,0.063490123,-0.92388165,50,12.38467979,-127.7252426,1002,-5.78125,-17.80273438,983.359375,-0.336250067,-0.221249998,0.444999993,22,-26,-47,0.0853073,-1.203857541,50,-127.7737579,353309093000000,1783454044.8857005
0,0,1001,-0.038604289,-0.701644361,50,12.38467979,-127.2637863,1002,-7.24609375,-18.29101563,982.8710938,-0.398750067,0.153750002,-0.055000007,22,-25,-47,0.584209323,-1.212144256,50,-127.8035126,353309437000000,1783454045.2271032
0,0,1001,-0.049402308,-0.822393,50,12.38467979,-127.5874252,1002,-6.26953125,-15.36132813,979.9414063,-0.211250067,-15.53374958,0.007499993,21,-25,-47,-0.163461119,-1.152078629,50,-128.0585938,353309734000000,1783454045.5292225
0,0,1001,0.274225652,-0.930118382,50,12.38467979,-128.3795776,1002,-6.26953125,-16.33789063,980.4296875,0.038749933,0.903750002,-0.117500007,21,-25,-47,0.679073811,-1.235374093,50,-127.9029083,353310078000000,1783454045.8674798
0,0,1001,0.408609241,-0.813082457,50,12.38467979,-127.2578735,1002,-8.22265625,-17.80273438,980.9179688,-0.336250067,0.341250002,-0.180000007,19,-24,-47,0.588867724,-0.855807781,50,-127.3726578,353310421000000,1783454046.2195358
0,0,1001,0.306069613,-1.126525044,50,12.38467979,-127.9517593,1002,-7.24609375,-16.82617188,981.8945313,-0.523750067,0.403750002,0.007499993,20,-24,-47,0.287381709,-1.163880944,50,-127.939003,353310750000000,1783454046.5356688
0,0,1001,0.312912107,-0.985326827,50,12.38467979,-127.9634705,1002,-5.78125,-17.31445313,980.9179688,-0.273750067,0.341250002,-0.117500007,21,-24,-46,0.610829532,-1.186560392,49.44444275,-128.131485,353311046000000,1783454046.8430007
0,0,1001,-0.114998333,-1.10130322,50,12.38467979,-128.4956512,1002,-5.78125,-19.26757813,978.4765625,-0.086250067,-15.40874958,-0.430000007,19,-25,-46,-0.457020849,-0.982965231,50,-128.3976898,353311359000000,1783454047.1589003
0,0,1001,0.614974022,-1.190709591,50,12.38467979,-128.0768127,1002,-6.26953125,-15.84960938,981.8945313,-0.273750067,-0.096249998,-0.055000007,19,-26,-47,0.236087933,-0.925811231,50,-127.8095856,353311671000000,1783454047.4701579
0,0,1001,0.11136204,-0.820851266,50,12.38467979,-128.065155,1002,-7.24609375,-18.77929688,979.9414063,-0.273750067,-0.721249998,-0.242500007,20,-25,-47,0.317600816,-0.971574187,50,-128.3517303,353312000000000,1783454047.79781
