sample_idx,t_cycle_start_ns,t_edge_rx_ns,t_wall_unix_s,cycle_ok,error,imu_http_latency_ms,base_http_latency_ms,gps_http_latency_ms,imu_T,imu_r,imu_p,imu_y,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_temp,base_T,base_L,base_R,base_r,base_p,base_y,base_temp,base_v,gps_T,gps_valid,gps_age_ms,gps_lat,gps_lon,gps_sat,gps_hdop,gps_alt_m,gps_speed_mps,gps_course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,422711281000000,422711734000000,1783523447.0721467,True,,172.0,15.0,266.0,1002,0.22021,-0.706407,-119.6782,7.392578,2.558594,981.8066,0.5575,1.10125,0.35875,28,-46,-47,37.22222,1001,0,0,0.030203,0.176381,-119.9169,37.77778,12.38889,1006,False,4294967295,,,0,99.99,-1,-1,-1,2887,0,1
1,422713750000000,422714359000000,1783523449.54552,True,,203.0,78.0,328.0,1002,0.007424,0.059771,-119.4638,2.509766,0.605469,979.3652,-0.505,-1.21125,0.29625,26,-45,-48,37.77778,1001,0,0,0.059638,-0.335404,-119.6915,37.77778,12.38889,1006,False,4294967295,,,0,99.99,-1,-1,-1,3475,0,1
2,422716359000000,422716906000000,1783523452.157955,True,,141.0,187.0,219.0,1002,0.13825,-0.107909,-120.0644,-1.396484,-0.859375,980.8301,-0.1925,0.41375,0.23375,26,-46,-46,38.33333,1001,0,0,0.102398,0.847932,-120.1741,38.33333,12.38889,1006,False,4294967295,,,0,99.99,-1,-1,-1,4150,0,1
3,422718906000000,422719421000000,1783523454.6960635,True,,172.0,78.0,250.0,1002,0.104186,-0.233305,-120.2079,2.509766,-1.347656,977.9004,-0.63,-0.89875,0.35875,25,-45,-47,38.88889,1001,0,0,0.062296,0.060027,-120.9557,38.88889,12.38889,1006,False,4294967295,,,0,99.99,-1,-1,-1,4616,0,1
4,422721421000000,422722375000000,1783523457.2088487,True,,422.0,282.0,250.0,1002,0.098285,-0.131512,-120.5412,1.533203,1.582031,983.2715,-0.0675,-0.27375,0.29625,28,-45,-47,39.44444,1001,0,0,0.201201,-0.019944,-120.4392,38.88889,12.38922,1006,False,4294967295,,,0,99.99,-1,-1,-1,5315,0,1
5,422724375000000,422725125000000,1783523460.1689286,True,,328.0,187.0,235.0,1002,-0.047414,0.375572,-119.8471,2.509766,0.605469,979.8535,-0.1925,0.47625,-0.45375,27,-45,-47,39.44444,1001,0,0,-0.041175,-0.047452,-120.6103,38.88889,12.38922,1006,False,4294967295,,,0,99.99,-1,-1,-1,6114,0,1
6,422727140000000,422727546000000,1783523462.9260328,True,,141.0,47.0,218.0,1002,0.065311,-0.912709,-120.5986,2.509766,1.09375,979.8535,-0.13,-15.33625,-0.14125,26,-44,-46,39.44444,1001,0,0,0.089055,-0.585404,-120.639,39.44444,12.38922,1006,False,4294967295,,,0,99.99,-1,-1,-1,6821,0,1
7,422729546000000,422730031000000,1783523465.339664,True,,172.0,32.0,281.0,1002,0.254909,0.11531,-120.2319,3.974609,4.511719,967.6465,0.5575,1.85125,-0.07875,27,-45,-46,39.44444,1001,0,0,0.068974,-0.117849,-120.3254,39.44444,12.38922,1006,False,4294967295,,,0,99.99,-1,-1,-1,7357,0,1
8,422732031000000,422732500000000,1783523467.8287208,True,,156.0,31.0,282.0,1002,0.16406,-0.246584,-120.4259,2.021484,-0.859375,965.6934,0.245,-0.52375,-0.14125,27,-45,-47,40,1001,0,0,0.20232,-0.176425,-120.1982,40,12.37318,1006,False,4294967295,,,0,99.99,-1,-1,-1,8161,0,1
9,422734500000000,422734843000000,1783523470.2926667,True,,156.0,47.0,140.0,1002,1.081558,0.517266,-120.259,6.416016,19.16016,980.3418,0.12,-0.52375,0.42125,29,-47,-46,40,1001,0,0,0.918877,-0.036066,-120.6269,40,12.37318,1006,False,4294967295,,,0,99.99,-1,-1,-1,8697,0,1
