sample_idx,t_cycle_start_ns,t_edge_rx_ns,t_wall_unix_s,cycle_ok,error,imu_http_latency_ms,base_http_latency_ms,gps_http_latency_ms,imu_T,imu_r,imu_p,imu_y,imu_ax,imu_ay,imu_az,imu_gx,imu_gy,imu_gz,imu_mx,imu_my,imu_mz,imu_temp,base_T,base_L,base_R,base_r,base_p,base_y,base_temp,base_v,gps_T,gps_valid,gps_age_ms,gps_lat,gps_lon,gps_sat,gps_hdop,gps_alt_m,gps_speed_mps,gps_course_deg,gps_chars,gps_sentences,gps_failed_checksums
0,421538390000000,421538875000000,1783522274.1807454,True,,156.0,63.0,266.0,1002,0.031133,0.072259,-125.3648,2.714844,0.908203,981.25,0.5125,1.61375,0.0725,32,-43,-52,42.22222,1001,0,0,0.006746,0.043363,-125.4681,43.33333,12.37697,1006,True,643,37.24892583,-80.4181155,9,1.11,669.2,0.226355554,146.11,15444,46,1
1,421540890000000,421541343000000,1783522276.680668,True,,141.0,31.0,281.0,1002,0.238773,-0.038449,-125.2188,2.226563,2.861328,979.2969,0.325,-1.13625,0.0725,31,-42,-52,42.77778,1001,0,0,0.085172,0.081495,-125.266,42.77778,12.37697,1006,True,45,37.248931,-80.41812117,9,1.11,669.1,0.015433333,146.11,17099,52,1
2,421543343000000,421543781000000,1783522279.1321633,True,,141.0,16.0,281.0,1002,0.075552,0.028631,-125.3355,3.691406,0.908203,981.7383,0.5125,0.73875,0.01,31,-45,-54,42.77778,1001,0,0,0.137825,0.010295,-125.2449,42.77778,12.37697,1006,True,522,37.24893317,-80.418124,9,1.11,669.1,0.056588888,146.11,18920,56,1
3,421545781000000,421546218000000,1783522281.5747736,True,,140.0,32.0,265.0,1002,0.001842,0.193594,-125.3874,1.25,0.419922,979.7852,0.3875,0.61375,0.01,32,-44,-53,43.33333,1001,0,0,0.066634,-0.098967,-125.2597,43.33333,12.37697,1006,True,33,37.24893483,-80.4181275,9,1.11,669.1,0.056588888,146.11,20486,61,1
4,421548218000000,421548703000000,1783522284.013368,True,,141.0,47.0,297.0,1002,0.064777,0.059744,-125.5438,1.25,1.884766,978.8086,0.2625,1.23875,-0.0525,31,-43,-51,43.33333,1001,0,0,0.08291,0.002419,-125.5931,43.33333,12.35689,1006,True,451,37.2489335,-80.4181285,8,1.31,669.5,0.066877777,146.11,22337,66,1
5,421550703000000,421551140000000,1783522286.494467,True,,140.0,32.0,265.0,1002,0.416658,0.133029,-125.455,2.226563,8.232422,982.7148,0.45,2.23875,-0.0525,31,-43,-51,43.33333,1001,0,0,0.240666,0.292847,-125.5387,43.33333,12.35689,1006,True,10,37.24893433,-80.41813133,8,1.31,669.7,0.066877777,146.11,23892,71,1
6,421553156000000,421553625000000,1783522288.94221,True,,156.0,31.0,282.0,1002,0.137489,-0.647247,-124.9955,20.29297,8.720703,979.7852,-0.7375,-1.57375,0.0725,30,-43,-53,43.88889,1001,0,0,-0.138271,-0.354034,-125.3519,43.88889,12.35689,1006,True,381,37.24893433,-80.41813317,8,1.31,669.8,0.025722222,146.11,25749,76,1
7,421555625000000,421556046000000,1783522291.4200494,True,,140.0,141.0,140.0,1002,0.250227,-0.08128,-125.2485,-3.632813,-1.533203,982.7148,-0.425,-1.82375,0.01,30,-45,-52,43.88889,1001,0,0,0.323252,0.098734,-125.2013,43.88889,12.35689,1006,True,3,37.24893167,-80.41813183,7,1.5,669.7,0.097744444,146.11,27404,81,1
8,421558046000000,421558500000000,1783522293.8471437,True,,172.0,16.0,266.0,1002,0.031279,0.040686,-125.5556,1.738281,-0.068359,983.6914,0.075,-0.63625,0.01,31,-43,-52,43.88889,1001,0,0,-0.116677,0.273956,-125.7956,43.88889,12.36905,1006,True,256,37.24893083,-80.41813167,7,1.5,669.7,0.097744444,146.11,29105,86,1
9,421560500000000,421560953000000,1783522296.296938,True,,140.0,31.0,282.0,1002,0.255506,0.047284,-125.8046,3.691406,0.419922,979.7852,0.075,2.55125,-0.24,31,-43,-51,44.44444,1001,0,0,0.281674,-0.353684,-125.4842,44.44444,12.36905,1006,True,705,37.24892483,-80.418128,7,1.5,669.9,0.056588888,146.11,30758,90,1
