condition_variable,nominal_bin,comparison_bin,metric,n_sequences,mean_delta_vs_nominal,median_delta_vs_nominal,mean_ratio_vs_nominal,median_ratio_vs_nominal,n_sequences_degraded,fraction_sequences_degraded,sequences_degraded
wheel_imu_disagreement,low,medium,Domega_rmse_radps,10,0.00406957059911423,0.003415340151910795,1.1952117172837706,1.2069751161451667,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
wheel_imu_disagreement,low,medium,RPE1_m,10,0.006625679438538076,0.0010494193958742667,1.0789201039802037,1.071058052439888,6,0.6,"building00,building02,parking00,playground00,street00,street02"
wheel_imu_disagreement,low,medium,RPE5_m,10,0.009293908580944418,0.0019983831636981343,1.033780088045261,1.0365927600694351,7,0.7,"building00,building01,building02,parking00,parking01,playground00,street00"
wheel_imu_disagreement,low,medium,RPE10_m,10,0.011656486123149444,0.0041755739531803004,1.0357709725996243,1.0366911005582788,7,0.7,"building00,building01,building02,parking00,parking01,playground00,street00"
wheel_imu_disagreement,low,medium,persistent_yaw_residual_abs_deg_per_min,10,0.4631172419123944,0.3775797408159882,1.226533451083048,1.168134793426555,8,0.8,"building01,building02,parking00,parking01,playground00,street00,street01,street02"
wheel_imu_disagreement,low,medium,Iomega_p95_abs_deg,10,-0.4169096069191685,-0.18142398668061244,0.971215580860264,0.9842145084258629,1,0.1,parking01
wheel_imu_disagreement,low,high,Dp_mean_m,10,0.06617752614354125,0.024165543569496115,1.0678137034554869,1.036093826810565,6,0.6,"building02,parking00,parking02,playground00,street00,street01"
wheel_imu_disagreement,low,high,Dp_p95_m,10,0.0700977340892604,0.00857166201828008,1.0138764609022486,1.0077138805926538,6,0.6,"building02,parking01,parking02,street00,street01,street02"
wheel_imu_disagreement,low,high,Dtheta_mean_deg,10,-0.094223437461538,-0.005675623229308618,0.9994679967296533,0.9870417473385792,3,0.3,"building00,street00,street02"
wheel_imu_disagreement,low,high,Dtheta_p95_deg,10,-0.01566122220353482,-0.0035214322173644508,1.0259363487142044,0.9981865116259148,5,0.5,"building02,parking00,street00,street01,street02"
wheel_imu_disagreement,low,high,Dv_rmse_mps,10,0.027288734480713082,0.02191590853602086,1.7912310870888386,1.6727052846118662,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
wheel_imu_disagreement,low,high,Domega_rmse_radps,10,0.023100674503119,0.016727690278782695,2.087475313137344,2.1406849783841726,10,1.0,"building00,building01,building02,parking00,parking01,parking02,playground00,street00,street01,street02"
