run_id,source_rate_hz,high_rate_run1_diagnostic,service,horizon_s,position_tolerance_m,aoi_limit_s,rate_hz,delay_ms,eligible_samples,observable_samples,observable_fraction,physical_satisfaction,freshness_satisfaction,joint_satisfaction,position_discrepancy_p95_m,aoi_p95_s,physical_failure,freshness_failure,state
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,2.0,0,1563,1563,1.0,1.0,1.0,1.0,0.30186414342397905,0.3960040881763547,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,2.0,50,1563,1562,0.999360204734485,1.0,1.0,1.0,0.30157741153354856,0.4950051102204469,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,2.0,200,1563,1560,0.9980806142034548,1.0,1.0,1.0,0.29684396330374097,0.6930071543086171,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,1.0,0,1563,1563,1.0,1.0,1.0,1.0,0.29710168445356644,0.8910091983967945,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,1.0,50,1563,1562,0.999360204734485,1.0,1.0,1.0,0.29656202239293816,0.9900102204408796,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,local_10s,10.0,0.5,1.5,1.0,200,1563,1560,0.9980806142034548,1.0,1.0,1.0,0.2945521133734775,1.188012264529057,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,10.0,0,1563,1563,1.0,1.0,1.0,1.0,0.30748715372634244,0.0,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,10.0,50,1563,1562,0.999360204734485,1.0,1.0,1.0,0.30475436507627124,0.09900102204410643,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,10.0,200,1563,1560,0.9980806142034548,1.0,1.0,1.0,0.3000674636259551,0.29700306613227667,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,5.0,0,1563,1563,1.0,1.0,1.0,1.0,0.30558566341151977,0.09900102204409222,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,5.0,50,1563,1562,0.999360204734485,1.0,1.0,1.0,0.30437646508818134,0.19800204408818445,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,local_10s,10.0,0.5,1.5,5.0,200,1563,1560,0.9980806142034548,1.0,1.0,1.0,0.29974553876972987,0.3960040881763689,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,2.0,0,1664,1664,1.0,1.0,1.0,1.0,0.2942959810614915,0.3960040881763547,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,2.0,50,1664,1663,0.9993990384615384,1.0,1.0,1.0,0.293965534323171,0.4950051102204469,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,2.0,200,1664,1661,0.9981971153846154,1.0,1.0,1.0,0.2932520601119734,0.6930071543086171,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,1.0,0,1664,1664,1.0,1.0,1.0,1.0,0.2935144612433226,0.8910091983967945,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,1.0,50,1664,1663,0.9993990384615384,1.0,1.0,1.0,0.2932005859356218,0.9900102204408796,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,False,global,0.0,0.5,1.0,1.0,200,1664,1661,0.9981971153846154,1.0,0.8001204093919325,0.8001204093919325,0.29246181117054765,1.188012264529057,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,10.0,0,1664,1664,1.0,1.0,1.0,1.0,0.29543808620741047,0.0,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,10.0,50,1664,1663,0.9993990384615384,1.0,1.0,1.0,0.2952905429214583,0.09900102204410643,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,10.0,200,1664,1661,0.9981971153846154,1.0,1.0,1.0,0.29427038349338613,0.29700306613227667,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,5.0,0,1664,1664,1.0,1.0,1.0,1.0,0.29542595118635284,0.09900102204409222,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,5.0,50,1664,1663,0.9993990384615384,1.0,1.0,1.0,0.2950591348867595,0.19800204408818445,False,False,qualified
aug29_run1_153555_elevation_fitted,10.10090582251392,True,global,0.0,0.5,1.0,5.0,200,1664,1661,0.9981971153846154,1.0,1.0,1.0,0.2938595590598169,0.3960040881763689,False,False,qualified
aug29_run2_160114_elevation_baseline,2.0201787477066553,False,local_1s,1.0,0.1,0.6,2.0,0,622,622,1.0,1.0,1.0,1.0,0.07956878182706482,0.0,False,False,qualified
aug29_run2_160114_elevation_baseline,2.0201787477066553,False,local_1s,1.0,0.1,0.6,2.0,50,622,621,0.9983922829581994,1.0,1.0,1.0,0.08052421714179314,0.4950057024088892,False,False,qualified
aug29_run2_160114_elevation_baseline,2.0201787477066553,False,local_1s,1.0,0.1,0.6,2.0,200,622,621,0.9983922829581994,1.0,1.0,1.0,0.08052421714179314,0.4950057024088892,False,False,qualified
aug29_run2_160114_elevation_baseline,2.0201787477066553,False,local_1s,1.0,0.1,0.6,1.0,0,622,622,1.0,1.0,1.0,1.0,0.08000565063575345,0.4950057024088892,False,False,qualified
