sequence,model_replicate,transport_replicate,condition,requested_rate_hz,realized_arrival_rate_hz,requested_packets,delivered_packets,lost_packets,realized_loss_fraction,delay_p50_ms,delay_p95_ms,delay_max_ms,capture_packets,trace_repetitions
playground00,seed_2042,1,degraded,2.0,1.9046900919920995,2653,2526,127,0.04787033546928006,206.31173,314.31691675,390.21384,360,7.3694444444444445
street00,seed_42,1,degraded,2.0,1.9058018490208966,2748,2619,129,0.04694323144104803,206.52545,312.66191209999977,390.21384,360,7.633333333333334
street00,seed_1042,1,degraded,2.0,1.9058018490208966,2748,2619,129,0.04694323144104803,206.52545,312.66191209999977,390.21384,360,7.633333333333334
street00,seed_2042,1,degraded,2.0,1.9058018490208966,2748,2619,129,0.04694323144104803,206.52545,312.66191209999977,390.21384,360,7.633333333333334
street01,seed_42,1,degraded,2.0,1.9059445601666445,2497,2379,118,0.04725670804965959,206.039932,312.407296,390.21384,360,6.936111111111111
street01,seed_1042,1,degraded,2.0,1.9059445601666445,2497,2379,118,0.04725670804965959,206.039932,312.407296,390.21384,360,6.936111111111111
street01,seed_2042,1,degraded,2.0,1.9059445601666445,2497,2379,118,0.04725670804965959,206.039932,312.407296,390.21384,360,6.936111111111111
street02,seed_42,1,degraded,2.0,1.9060733439629092,2760,2630,130,0.04710144927536232,206.41859000000002,313.8076845499993,390.21384,360,7.666666666666667
street02,seed_1042,1,degraded,2.0,1.9060733439629092,2760,2630,130,0.04710144927536232,206.41859000000002,313.8076845499993,390.21384,360,7.666666666666667
street02,seed_2042,1,degraded,2.0,1.9060733439629092,2760,2630,130,0.04710144927536232,206.41859000000002,313.8076845499993,390.21384,360,7.666666666666667
building00,seed_42,2,degraded,2.0,1.8629247168554308,2402,2237,165,0.06869275603663613,206.737106,303.896435,506.87418299999996,360,6.6722222222222225
building00,seed_1042,2,degraded,2.0,1.8629247168554308,2402,2237,165,0.06869275603663613,206.737106,303.896435,506.87418299999996,360,6.6722222222222225
building00,seed_2042,2,degraded,2.0,1.8629247168554308,2402,2237,165,0.06869275603663613,206.737106,303.896435,506.87418299999996,360,6.6722222222222225
building01,seed_42,2,degraded,2.0,1.8629456458211582,2738,2550,188,0.06866325785244703,206.737106,303.896435,506.87418299999996,360,7.605555555555555
building01,seed_1042,2,degraded,2.0,1.8629456458211582,2738,2550,188,0.06866325785244703,206.737106,303.896435,506.87418299999996,360,7.605555555555555
building01,seed_2042,2,degraded,2.0,1.8629456458211582,2738,2550,188,0.06866325785244703,206.737106,303.896435,506.87418299999996,360,7.605555555555555
building02,seed_42,2,degraded,2.0,1.8666167904665032,3743,3493,250,0.0667913438418381,206.737106,303.896435,506.87418299999996,360,10.397222222222222
building02,seed_1042,2,degraded,2.0,1.8666167904665032,3743,3493,250,0.0667913438418381,206.737106,303.896435,506.87418299999996,360,10.397222222222222
building02,seed_2042,2,degraded,2.0,1.8666167904665032,3743,3493,250,0.0667913438418381,206.737106,303.896435,506.87418299999996,360,10.397222222222222
parking00,seed_42,2,degraded,2.0,1.866234221598897,2282,2129,153,0.06704645048203331,206.737106,303.896435,506.87418299999996,360,6.338888888888889
parking00,seed_1042,2,degraded,2.0,1.866234221598897,2282,2129,153,0.06704645048203331,206.737106,303.896435,506.87418299999996,360,6.338888888888889
parking00,seed_2042,2,degraded,2.0,1.866234221598897,2282,2129,153,0.06704645048203331,206.737106,303.896435,506.87418299999996,360,6.338888888888889
parking01,seed_42,2,degraded,2.0,1.8645027363653723,2120,1977,143,0.06745283018867924,207.147731,304.41625,506.87418299999996,360,5.888888888888889
