at_risk_fraction,dominant_unobservable_reason,observable_fraction,policy,qualified_fraction,samples,satisfied_given_observable,service_id,trial,withdrawn_fraction
0.0,GPS course unobservable at low speed,0.0,aoi-only,0.0,140,,local_10s_preview,4,0.0
0.0,GPS course unobservable at low speed,0.6214285714285714,aoi-only,0.014285714285714285,140,0.022988505747126436,global_state_tracking,4,0.6071428571428571
0.0,GPS course unobservable at low speed,0.06428571428571428,aoi-only,0.007142857142857143,140,0.1111111111111111,local_1s_tight,5,0.05714285714285714
0.0,GPS course unobservable at low speed,0.007142857142857143,aoi-only,0.0,140,0.0,local_5s_moderate,5,0.007142857142857143
0.0,GPS course unobservable at low speed,0.014285714285714285,aoi-only,0.0,140,0.0,local_10s_preview,5,0.014285714285714285
0.0,GPS course unobservable at low speed,0.85,aoi-only,0.02142857142857143,140,0.025210084033613446,global_state_tracking,5,0.8285714285714286
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,140,,local_1s_tight,1,0.0
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,140,,local_5s_moderate,1,0.0
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,140,,local_10s_preview,1,0.0
0.0,GPS course unobservable at low speed,0.8428571428571429,contract-aware,0.0,140,0.0,global_state_tracking,1,0.8428571428571429
0.0,GPS course unobservable at low speed,0.03597122302158273,contract-aware,0.0,139,0.0,local_1s_tight,2,0.03597122302158273
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,139,,local_5s_moderate,2,0.0
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,139,,local_10s_preview,2,0.0
0.0,GPS course unobservable at low speed,0.7553956834532374,contract-aware,0.014388489208633094,139,0.01904761904761905,global_state_tracking,2,0.7410071942446043
0.0,GPS course unobservable at low speed,0.050359712230215826,contract-aware,0.0,139,0.0,local_1s_tight,3,0.050359712230215826
0.0,GPS course unobservable at low speed,0.02877697841726619,contract-aware,0.0,139,0.0,local_5s_moderate,3,0.02877697841726619
0.0,GPS course unobservable at low speed,0.02158273381294964,contract-aware,0.0,139,0.0,local_10s_preview,3,0.02158273381294964
0.0,GPS course unobservable at low speed,0.35251798561151076,contract-aware,0.014388489208633094,139,0.04081632653061224,global_state_tracking,3,0.3381294964028777
0.0,GPS course unobservable at low speed,0.014388489208633094,contract-aware,0.0,139,0.0,local_1s_tight,4,0.014388489208633094
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,139,,local_5s_moderate,4,0.0
0.0,GPS course unobservable at low speed,0.0,contract-aware,0.0,139,,local_10s_preview,4,0.0
0.0,GPS course unobservable at low speed,0.6690647482014388,contract-aware,0.0,139,0.0,global_state_tracking,4,0.6690647482014388
0.0,GPS course unobservable at low speed,0.057971014492753624,contract-aware,0.0,138,0.0,local_1s_tight,5,0.057971014492753624
0.0,GPS course unobservable at low speed,0.021739130434782608,contract-aware,0.0,138,0.0,local_5s_moderate,5,0.021739130434782608
0.0,GPS course unobservable at low speed,0.014492753623188406,contract-aware,0.0,138,0.0,local_10s_preview,5,0.014492753623188406
0.014492753623188406,GPS course unobservable at low speed,0.7318840579710145,contract-aware,0.0,138,0.019801980198019802,global_state_tracking,5,0.717391304347826
