time_s,method,pred_v_T_mps,pred_omega_T_radps,x_T_m,y_T_m,theta_T_rad
0.0,nominal_physics,-0.0086845960468053,-0.000306824889299,0.0,0.0,0.8436911294387738
0.0999999046325683,nominal_physics,0.0024076373390968,-0.0002638358646633,0.00016003783937280764,0.00017987483140076657,0.8436647458774686
0.1999998092651367,nominal_physics,0.0022854201961308,0.0005010837569103,0.00031195629909589904,0.0003506147994827674,0.8437148542053725
0.2999997138977051,nominal_physics,0.0040691839314877,0.0002777777845039,0.0005824314360497337,0.0006546303634741969,0.8437426319573325
0.3999996185302734,nominal_physics,0.003653477783541,0.0005157421044311,0.000825267362607992,0.000927594568691664,0.8437942061185906
0.4999995231628418,nominal_physics,0.0030472269281744,0.0007567471294609,0.0010277958351581826,0.0011552740807604313,0.8438698807593674
0.5999994277954102,nominal_physics,0.0039613950066268,-0.0003351741958742,0.0012910604502847061,0.0014512773697525484,0.8438363633717447
0.6999993324279785,nominal_physics,0.0039929839734721,0.0005555555690079,0.001556434391043844,0.0017496321545038603,0.8438919188756637
0.7999992370605469,nominal_physics,0.0047232015058398,-0.0013888889225199,0.0018703190233761928,0.00210256605303171,0.8437530301158662
0.8999991416931152,nominal_physics,-0.0205687806010246,-0.0009841696391554,0.0005031886314058147,0.0005657857252114175,0.8436546132458087
0.9999990463256836,nominal_physics,0.0039613950066268,-0.0003173599773394,0.0007665169603240181,0.0008617323350264547,0.8436228772783405
1.099998950958252,nominal_physics,0.0057340553206253,0.0002777777845039,0.0011476940601430102,0.0012900981782600052,0.8436506550302996
1.1999988555908203,nominal_physics,0.0047232015058398,-0.0011111111380159,0.0014616638335287146,0.0016429563375033613,0.843539544022462
1.299998760223389,nominal_physics,0.0006094453856348,0.0002147434446583,0.0015021811229935264,0.0016884819231755862,0.8435610183464481
1.399998664855957,nominal_physics,-0.0160142047225003,-6.986093960743432e-05,0.0004375467399157715,0.000492197564076022,0.8435540322591502
