test_sequence,fixed_ate_m,dual_3seed_ate_m,dual_minus_fixed_m,improvement_pct
building00,1.7546528751688029,1.8807364373319777,0.12608356216317484,-7.185669823784675
building01,1.6456396936637265,1.6021969540384269,-0.04344273962529965,2.6398694557848232
building02,3.246992821935315,1.661644965154869,-1.585347856780446,48.82511122508507
parking00,2.0079633718016123,2.078572747582164,0.07060937578055171,-3.5164673206762034
parking01,15.720691669478096,5.694203414623537,-10.02648825485456,63.7789256710702
parking02,24.466268468105135,14.00597101483315,-10.460297453271984,42.75395517264229
playground00,0.2516552007033211,0.24061407495080175,-0.011041125752519337,4.387402176335643
street00,0.302292925458786,0.29768275275737627,-0.0046101727014097316,1.5250680095847209
street01,1.1242790934823121,0.40236056139489973,-0.7219185320874124,64.21168340428363
street02,0.4750301325419272,0.46445372827303694,-0.010576404268890283,2.2264701845954553
