run,samples,position_ate_rmse_m,heading_mae_deg,global_contract_satisfaction,contract_position_tolerance_m,contract_heading_tolerance_deg
calibration,1664,0.148621696756131,21.152888563359685,0.20733173076923078,1.0,5.0
holdout_1,624,0.5048018004565287,76.33005371700636,0.027243589743589744,1.0,5.0
holdout_2,635,1.1359563509954569,108.7232165314302,0.029921259842519685,1.0,5.0
