t_wall_unix_s,http_latency_ms,L,R,millis,enc_left,enc_right,v_forward_mps,omega_rad_s,delta_v_asymmetry,ax,ay,az,gx,gy,gz,temp,vibration_rms,gps_valid,lat,lon,alt_m,speed_mps,surface,speed_setting,turn_type,vibration_level,log_file
1784559300.679179,734.0,0.042229224,-0.063308299,530203.0,4005.0,5110.0,0.19936311072540172,6.135891270820608,0.8651606691857057,33.29102,-66.00586,942.998,-2.3475,-4.92375,-28.65125,46.11111,11.75550879431765,True,37.248565,-80.41747917,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559301.715366,719.0,0.0,0.0,531225.0,3841.0,5357.0,0.062442030906446566,4.385828369230034,0.6184018000614347,21.57227,7.724609,971.8066,0.465,2.01375,-0.40125,46.11111,11.855599811957196,True,37.24856517,-80.41747967,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559302.7408943,719.0,0.0,0.0,532263.0,3841.0,5357.0,0.0,0.0,0.0,11.31836,12.11914,981.084,0.0275,-0.04875,-0.08875,46.11111,13.690502068999493,True,37.24856517,-80.41747983,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559303.4970276,656.0,0.0,0.0,533004.0,3841.0,5357.0,0.0,0.0,0.0,6.923828,12.60742,982.0605,-0.285,-1.04875,-0.65125,46.11111,18.25108900197242,True,37.24856533,-80.41747967,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559304.7903578,719.0,0.0,-0.042952534,534295.0,3842.0,5374.0,0.013541645256819742,0.17073784405761688,0.024074036012123982,-46.29883,60.94727,987.9199,2.09,1.70125,-13.27625,46.11111,73.57324285192107,True,37.24856567,-80.41747967,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559305.7098773,719.0,-0.086027859,-0.129226503,535217.0,3943.0,5887.0,0.46192056598262893,4.396499484483636,0.6199064273121926,4.970703,58.01758,1006.963,0.2775,-10.23625,-10.52625,46.11111,144.6568270102261,True,37.24856583,-80.41747967,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559306.732606,719.0,-0.150462725,-0.150462725,536248.0,4621.0,6848.0,1.2330420319959752,3.0199256167690995,0.42580951196444294,59.16992,-53.79883,895.6348,-0.41,-16.67375,-9.21375,46.11111,144.89421598529103,True,37.2485665,-80.41747983,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559307.500255,656.0,-0.12896805,-0.150462725,537008.0,5268.0,7577.0,1.0351835485213312,0.8750314507952868,0.12337943456213543,-56.06445,178.623,1341.924,0.59,2.38875,-2.83875,46.11111,146.23236419876116,True,37.2485675,-80.4174805,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559308.7844057,719.0,-0.150462725,-0.12896805,538311.0,6435.0,8802.0,1.7995341919062675,0.6189246847088615,0.08726838054394948,-19.44336,128.8184,1042.607,-9.0975,2.26375,-11.90125,46.11111,145.38848502085273,True,37.24856867,-80.41748117,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559309.7042224,781.0,-0.0859787,-0.107473375,539221.0,7277.0,9635.0,1.2601253225096147,-0.09604003728240859,0.013541645256819612,-133.7012,48.25195,1029.424,0.0275,-11.42375,-2.08875,46.11111,126.74995040101092,True,37.24857017,-80.41748267,,,ROUGH,LOW,STRAIGHT,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559310.7073522,734.0,0.0,0.0,540219.0,7646.0,10016.0,0.5642352190341557,0.12805338304321262,0.018055527009092978,-92.19727,5.283203,998.1738,0.965,2.51375,-1.21375,46.66667,34.672173760731035,True,37.248571,-80.417484,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559311.7470095,718.0,0.0,-0.046281982,541315.0,7646.0,10049.0,0.024826349637502857,0.3521468033688349,0.049652699275005714,34.26758,-31.82617,971.8066,-0.4725,-0.73625,-11.27625,46.11111,34.30435775091329,True,37.24857267,-80.41748467,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559312.6732154,718.0,0.021153202,-0.063423939,542181.0,7632.0,10307.0,0.18356452459244535,2.902543348979487,0.40925861220610765,52.33398,-76.74805,909.7949,0.715,7.07625,-20.58875,46.11111,27.342158449240312,True,37.2485735,-80.41748533,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559313.6973584,656.0,0.021494675,-0.04298935,543216.0,7369.0,10866.0,0.22268483311214685,8.771656738460068,1.2368036001228695,-47.27539,4.794922,981.084,0.59,3.45125,-26.71375,46.11111,27.877679386202924,True,37.2485745,-80.41748533,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559314.6956854,672.0,0.022835442,-0.022863201,544213.0,7222.0,11094.0,0.06093740365568881,4.001668220100396,0.5642352190341557,-16.02539,-3.505859,975.7129,0.7775,-3.04875,-11.65125,46.11111,30.94203481363958,True,37.24857483,-80.4174855,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559315.7457802,703.0,0.0,0.0,545261.0,7189.0,11099.0,-0.021064781510608484,0.40550237963684016,0.05717583552879446,-26.2793,5.283203,990.8496,-0.41,-0.29875,-0.27625,46.11111,19.78415962446321,True,37.24857533,-80.417486,,,ROUGH,LOW,GENTLE_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559316.512518,672.0,0.0,-0.02036307,546041.0,7190.0,11112.0,0.010532390755304244,0.1280533830432127,0.01805552700909299,20.5957,6.748047,971.8066,0.59,3.76375,-14.77625,46.66667,57.83015692590985,True,37.24857517,-80.4174865,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559317.7125237,703.0,-0.0859787,-0.107473375,547213.0,7396.0,11794.0,0.6680544993364405,5.079450860714103,0.7162025713606884,32.31445,34.58008,962.5293,-4.8475,6.26375,-16.27625,46.11111,67.03912636619363,True,37.24857483,-80.41748667,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559318.66878,656.0,-0.107473375,-0.12896805,548185.0,8026.0,12608.0,1.0863408750470946,1.9634852066625936,0.2768514141394257,-54.59961,-80.16602,1111.455,2.7775,-10.92375,-5.58875,46.11111,69.94227390069267,True,37.24857467,-80.41748617,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559319.6441476,813.0,-0.138931417,-0.138931417,549220.0,8899.0,13601.0,1.4038172249569796,1.2805338304321272,0.18055527009092992,21.57227,-20.10742,885.3809,-3.8475,-5.23625,4.03625,46.11111,81.09892246784392,True,37.2485755,-80.41748533,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559320.6780283,687.0,-0.126758825,-0.147843778,550184.0,9806.0,14556.0,1.4008079704554643,0.5122135321728505,0.07222210803637191,-35.55664,-0.576172,1013.799,3.2775,1.70125,-2.33875,46.11111,82.76831586653965,True,37.248576,-80.41748467,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559321.6382897,750.0,-0.107473375,-0.12896805,551159.0,10702.0,15473.0,1.3639446028118996,0.2240934203256227,0.0315971722659128,-13.0957,-43.05664,836.0645,10.0275,12.13875,-0.46375,46.66667,62.06113905567833,True,37.24857667,-80.4174835,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559322.6131356,719.0,0.0,-0.042152325,552124.0,11026.0,15820.0,0.5048024426292247,0.24543565083282473,0.03460642676742828,-71.68945,-40.12695,987.9199,0.215,-1.61125,-11.46375,46.11111,52.78028803176811,True,37.24857683,-80.4174825,,,ROUGH,LOW,GENTLE_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559323.3779943,687.0,0.0,-0.066507761,552918.0,11018.0,16064.0,0.17754601558941435,2.689121043907466,0.37916606719095275,-15.53711,-9.853516,941.0449,-1.0975,-2.23625,-26.71375,46.11111,48.65113542508547,True,37.24857733,-80.417482,,,ROUGH,LOW,SHARP_TURN,HIGH,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559324.6458638,719.0,0.021099807,-0.042175957,554162.0,10809.0,16637.0,0.27384215963791025,8.344812128316027,1.1766185100925597,10.83008,29.69727,945.9277,-0.8475,-3.04875,-23.33875,46.11111,22.967384062883664,True,37.24857767,-80.41748167,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559325.6213405,672.0,0.0,0.0,555135.0,10790.0,16763.0,0.08049755791553956,1.5473117117721535,0.2181709513598736,1.552734,1.376953,987.9199,-0.66,-3.61125,-0.33875,46.11111,17.696435521858046,True,37.248578,-80.41748217,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559326.494338,718.0,0.0,0.0,556012.0,10790.0,16763.0,0.0,0.0,0.0,4.482422,11.63086,980.5957,-0.0975,0.45125,-0.52625,46.11111,17.689970287084122,True,37.24857867,-80.41748233,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559327.6351306,672.0,0.0,-0.023148112,557163.0,10790.0,16770.0,0.005266195377652121,0.07469780677520739,0.010532390755304242,55.26367,-50.38086,1033.33,1.4025,1.45125,-10.77625,46.66667,15.884006000872672,True,37.24857883,-80.417482,,,ROUGH,LOW,STRAIGHT,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559328.6176767,750.0,-0.064484025,-0.107473375,558129.0,10907.0,17349.0,0.5236102832636966,4.930055247163689,0.69513778985008,-86.33789,77.06055,1020.146,0.0275,-4.73625,-25.52625,46.11111,30.909995294988942,True,37.24857867,-80.4174815,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559329.4297464,687.0,-0.110439464,-0.154388607,558977.0,11461.0,18103.0,0.9840262219955678,2.134223050720211,0.3009254501515497,43.05664,-43.54492,1005.498,8.6525,12.57625,-8.33875,46.11111,32.444075395965896,True,37.24857833,-80.41748133,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
1784559330.627817,656.0,-0.12896805,-0.12896805,560138.0,12522.0,19231.0,1.6468145259543558,0.7149647219912703,0.10081002580076909,-8.212891,162.998,1064.58,-5.4725,-1.92375,-4.77625,46.11111,34.20852596409028,True,37.24857783,-80.41748117,,,ROUGH,LOW,SHARP_TURN,LOW,speed-low_surface-rough_permeable_concrete_latency-wifi_baseline_route-square0p5x3_attack-none_trial-1_20260720_105445.csv
