run_id,full_dataset_name,category,physical_recording,surface,speed,route,has_aligned_gt,data_available,duration_s,rows,used_for_calibration,notes
apriltag_trial1_squa,apriltag_trial1_square_1p5_landscape_corrected,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_trial1_squa,apriltag_trial1_square_1p5_landscape_fidelity,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_trial1_squa,apriltag_trial1_square_1p5_tracking,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_trial1_trac,apriltag_trial1_tracker_smoke,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_trial1_usef,apriltag_trial1_useful_frames,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_trial1_vali,apriltag_trial1_validation_tracking,APRILTAG_DEV,N/A,unknown,unknown,square_1.5m,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,
apriltag_turn_event_,apriltag_turn_event_audit,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
bench_telemetry,bench_telemetry,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
camera_calibration,camera_calibration,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
camera_calibration_0,camera_calibration_0p6x,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
camera_calibration_l,camera_calibration_landscape,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_1428_2x1_cont,carpet_1428_2x1_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_1428_2x1_trac,carpet_1428_2x1_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_1433_2x1_cont,carpet_1433_2x1_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_1433_2x1_elev,carpet_1433_2x1_elevation_corrected,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_1433_2x1_trac,carpet_1433_2x1_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_2x1_rect_cont,carpet_2x1_rect_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_2x1_rect_elev,carpet_2x1_rect_elevation_corrected,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_2x1_rect_trac,carpet_2x1_rect_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_low_speed_2m_,carpet_low_speed_2m_continuity_repaired,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
carpet_low_speed_2m_,carpet_low_speed_2m_tracked_full,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
covariance_poisoning,covariance_poisoning,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
digital_twin_accurac,digital_twin_accuracy,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
digital_twin_accurac,digital_twin_accuracy_current_no_slip,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
digital_twin_accurac,digital_twin_accuracy_slip_aware,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
hardware_replay_revi,hardware_replay_review,OTHER_DEV,N/A,unknown,unknown,unknown,NO,METADATA_ONLY,N/A,N/A,UNKNOWN,Development/calibration
i2nav_parking00,i2nav_parking00,OTHER_DEV,N/A,unknown,unknown,unknown,YES,CSV-GT;NPZ-GT,1140.8000000664033,11409,UNKNOWN,Development/calibration
i2nav_playground00,i2nav_playground00,OTHER_DEV,N/A,unknown,unknown,unknown,YES,CSV-GT;NPZ-GT,1325.0000000771252,13251,UNKNOWN,Development/calibration
