method,domain,mad,metric_a,metric_b,n_sequences,spearman,bootstrap_ci_low,bootstrap_ci_high,valid_bootstrap_replicates,interpretation
LWOI-IMU adaptation (sparse RBF residual),heading,5.0,dtheta_p95_deg,pct_matched,10,-0.49090909090909085,-0.9620253164556963,0.20987654320987656,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,5.0,heading_mae_deg,ed_mean_deg,10,0.10303030303030303,-0.6556291390728477,0.8374999999999999,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,5.0,dtheta_p95_deg,fd_max_deg,10,-0.06666666666666665,-0.708333333333333,0.6226415094339623,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,10.0,heading_mae_deg,pct_matched,10,-0.7575757575757575,-0.9874999999999999,-0.2,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,10.0,dtheta_p95_deg,pct_matched,10,-0.6121212121212121,-0.9480519480519479,-0.01886792452830189,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,10.0,heading_mae_deg,ed_mean_deg,10,0.2727272727272727,-0.6874999999999999,0.9245283018867925,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),heading,10.0,dtheta_p95_deg,fd_max_deg,10,-0.16363636363636364,-0.802469135802469,0.6075949367088608,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,ate_m,pct_matched,10,0.43030303030303024,-0.2546644744854464,0.8471337579617836,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,rpe10_m,pct_matched,10,-0.2121212121212121,-0.8124999999999999,0.5432098765432098,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,dp_p95_m,pct_matched,10,0.38181818181818183,-0.36645962732919257,0.8385093167701864,20000,exploratory sequence-level correlation
LWOI-IMU adaptation (sparse RBF residual),position_xy,0.25,ate_m,ed_mean_m,10,-0.7333333333333332,-1.0,-0.006211180124223603,20000,exploratory sequence-level correlation
