sequence,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
building00,-0.005,-0.2864788975654116,112.64100774107249,98.23908883886305,207.12017392358476,171.5575496266985,0.019206875276727823,0.07974192514608834,0.29350653215076083
building00,-0.0025,-0.1432394487827058,84.00836294550898,72.36303146458616,167.97737881435168,139.88215355318908,0.01940903155935363,0.05607909542476706,0.14204910044850222
building00,-0.001,-0.057295779513082325,28.029964032622562,20.7625630125964,59.054425308894544,41.784531894911886,0.01960532991614797,0.05526515406203553,0.09697966631638218
building00,-0.0005,-0.028647889756541162,8.95415799446215,6.022951089073016,19.198158391926754,12.572384383054867,0.019682925173460694,0.05770520244750182,0.10285252326882088
building00,0.0,0.0,17.110537956932973,13.6423153188762,31.117283023246074,23.502756973439627,0.01976648697651344,0.06130754033788056,0.11890324533993146
building00,0.0005,0.028647889756541162,38.304912685889754,30.83857215099611,72.80222299414585,56.185035395142656,0.019855939992393264,0.0658827177099579,0.1417680881633067
building00,0.001,0.057295779513082325,57.78585295267046,48.03846859736262,109.63893138085886,88.83567803424596,0.019951204975047973,0.07124416720461905,0.16871025351592514
building00,0.0025,0.1432394487827058,97.79269890874446,97.62590273748502,170.16514044383018,174.4590209355939,0.020271027274727158,0.09056116576602423,0.26071111187118656
building00,0.005,0.2864788975654116,106.96105711961972,88.21737942742728,211.7147257057663,171.0235021831924,0.02091200829774484,0.12836234813688185,0.42636131551569684
building01,-0.005,-0.2864788975654116,72.19783558436382,82.2733226272661,139.3640127415048,169.45084105342696,0.023687319743455355,0.08593721927422143,0.2980283918046153
building01,-0.0025,-0.1432394487827058,59.819603188302665,100.2448668205011,112.82361435732376,174.97963847052935,0.023846601379041793,0.06533891177034656,0.15943610186419332
building01,-0.001,-0.057295779513082325,32.4421335773071,45.25148131484619,67.91627807639014,86.04887111361249,0.023993905497522006,0.06276670686266785,0.10598729938926349
