metric,sequence,v1,v2,difference_v2_minus_v1,relative_change_pct
ate_m,building00,1.8807819415969824,1.8689628976757269,-0.011819043921255545,-0.6284111762164161
ate_m,building01,1.6021777583497845,1.5138345453335325,-0.08834321301625203,-5.51394578759126
ate_m,building02,1.6616292437749556,1.6631636321780128,0.0015343884030571964,0.09234240482981099
ate_m,parking00,2.078512466957156,2.106805054695964,0.02829258773880783,1.3611940360515056
ate_m,parking01,5.694577739818765,4.071047086397852,-1.6235306534209135,-28.51011484255519
ate_m,parking02,14.016534584057784,11.350360762519498,-2.666173821538285,-19.02163338269614
ate_m,playground00,0.2406140952651555,0.2422070374892206,0.001592942224065086,0.6620319654630672
ate_m,street00,0.2976821677439423,0.2988571165738128,0.0011749488298705146,0.39469909762319794
ate_m,street01,0.402361886674519,0.4003666647357069,-0.001995221938812075,-0.49587746873899663
ate_m,street02,0.4644574446370915,0.4637887565486716,-0.0006686880884199109,-0.1439718743107664
heading_mae_deg,building00,0.7654635565908924,0.675393810950364,-0.09006974564052839,-11.766692857549955
heading_mae_deg,building01,1.1536729721650234,0.7319741424155918,-0.4216988297494316,-36.55271813797083
heading_mae_deg,building02,0.7319718617530553,0.7429541910530637,0.01098232930000842,1.5003758851748756
heading_mae_deg,parking00,0.8061565077472582,0.6135520738788259,-0.1926044338684323,-23.891692496119695
heading_mae_deg,parking01,7.805086626163049,4.910776338575262,-2.8943102875877864,-37.082359571589
heading_mae_deg,parking02,20.638377211311305,16.719753184745475,-3.91862402656583,-18.98707435397655
heading_mae_deg,playground00,0.287190747194539,0.2334005448141238,-0.05379020238041521,-18.72978252463631
heading_mae_deg,street00,0.2925855009306145,0.2252406847717667,-0.06734481615884777,-23.01714061176884
heading_mae_deg,street01,0.4246660878536021,0.3343353357416579,-0.09033075211194419,-21.27100672636815
heading_mae_deg,street02,0.4529057581170246,0.5019687944278901,0.049063036310865504,10.832946022776838
rpe1_m,building00,0.1253115176928354,0.1265648236250176,0.001253305932182175,1.0001522248372159
rpe1_m,building01,0.1024984766675022,0.0914976031984984,-0.011000873469003802,-10.732718989268355
rpe1_m,building02,0.115651202554016,0.1186373137469405,0.0029861111929245093,2.5819975296234534
rpe1_m,parking00,0.1078222995076422,0.132211410111245,0.024389110603602784,22.619727751098594
rpe1_m,parking01,0.0227978295840826,0.0227132535289461,-8.457605513649893e-05,-0.3709829254779138
rpe1_m,parking02,0.0193420167639024,0.0193143325202352,-2.768424366720104e-05,-0.1431300779289343
rpe1_m,playground00,0.0148204405231062,0.0134795522963691,-0.0013408882267370997,-9.047559852533077
rpe1_m,street00,0.0177546147524398,0.0171117177561414,-0.0006428969962983984,-3.6210134957169537
rpe1_m,street01,0.0425104989105587,0.0372906861249855,-0.005219812785573201,-12.278879145962485
rpe1_m,street02,0.0377130632657927,0.032665297594407,-0.0050477656713857,-13.38466100144199
rpe5_m,building00,0.327391497865127,0.3150781804151357,-0.012313317449991312,-3.761037635456232
rpe5_m,building01,0.2684393582343895,0.2418513478701122,-0.026588010364277326,-9.904661722913907
rpe5_m,building02,0.30251385375173,0.2940723679236323,-0.008441485828097728,-2.7904460319445628
rpe5_m,parking00,0.2806724826784184,0.3180317860490944,0.037359303370676,13.310639865426555
rpe5_m,parking01,0.0831389956131443,0.0815032548129855,-0.0016357408001588108,-1.967477220641573
rpe5_m,parking02,0.0596448959464517,0.0549695824653489,-0.004675313481102797,-7.838580999957187
rpe5_m,playground00,0.0519556336301455,0.0430711573993997,-0.0088844762307458,-17.100121026319044
rpe5_m,street00,0.0649351665255336,0.0588146395537797,-0.006120526971753908,-9.42559679021877
rpe5_m,street01,0.1227437738141731,0.100742785364752,-0.02200098844942111,-17.924321344990844
rpe5_m,street02,0.108220339947494,0.0947754260217107,-0.0134449139257833,-12.423647839497141
rpe10_m,building00,0.5073534479123216,0.4837512811271149,-0.023602166785206713,-4.652016633044647
rpe10_m,building01,0.4340324443601116,0.3775039649859362,-0.05652847937417543,-13.024021616060207
rpe10_m,building02,0.4718262620023874,0.4603736353399199,-0.011452626662467547,-2.4272974153375118
rpe10_m,parking00,0.4336029515854561,0.4530273090166035,0.0194243574311474,4.479756736000717
rpe10_m,parking01,0.1532622828169571,0.1536664547665577,0.00040417194960057357,0.2637125991939457
rpe10_m,parking02,0.1111933622987754,0.0971390761221561,-0.014054286176619302,-12.639501033214179
rpe10_m,playground00,0.0976328627982285,0.0803977503985333,-0.017235112399695204,-17.65298272090402
rpe10_m,street00,0.1139815909147591,0.100245751000357,-0.013735839914402095,-12.050928403582658
rpe10_m,street01,0.2076300133185321,0.1659571748486063,-0.04167283846992578,-20.07071993295791
rpe10_m,street02,0.1839510587811112,0.1604106564333497,-0.023540402347761502,-12.79710076350956
dp_p95_m,building00,3.597130482931865,3.5696561606868613,-0.02747432224500379,-0.7637844213705215
dp_p95_m,building01,2.4333373934968496,1.9605837170016205,-0.47275367649522915,-19.428200863500237
dp_p95_m,building02,4.5411833655930085,4.735172000738296,0.19398863514528752,4.271763977096212
dp_p95_m,parking00,3.007768658872928,3.08575541036265,0.07798675148972167,2.5928440759451523
dp_p95_m,parking01,11.296181693795122,7.762674126810559,-3.5335075669845626,-31.28054826637113
dp_p95_m,parking02,27.45662207329936,22.344767075273904,-5.111854998025457,-18.617931165671553
dp_p95_m,playground00,0.369980700177043,0.3756268799994445,0.005646179822401509,1.526074149192026
dp_p95_m,street00,0.5160805319101938,0.5178628801554773,0.0017823482452835604,0.3453624260319351
dp_p95_m,street01,0.7631625672624164,0.7608475445672109,-0.0023150226952054487,-0.3033459441688548
dp_p95_m,street02,0.8484972712779904,0.8523538609988107,0.003856589720820369,0.4545199909731763
dtheta_p95_deg,building00,2.297282611801817,1.9612152823345133,-0.33606732946730355,-14.62890668047661
dtheta_p95_deg,building01,3.5826905996732887,2.544735863587972,-1.0379547360853167,-28.971375205549972
dtheta_p95_deg,building02,2.6806055265476503,2.8385283330095548,0.15792280646190449,5.891310933216389
dtheta_p95_deg,parking00,2.724027230066861,2.395108204863324,-0.328919025203537,-12.074733379058904
dtheta_p95_deg,parking01,16.110402554139924,8.131906512287138,-7.978496041852786,-49.52387760045472
dtheta_p95_deg,parking02,38.41111503330594,30.41531733182064,-7.9957977014853014,-20.81636446781671
dtheta_p95_deg,playground00,0.7709241269949176,0.5082774049477751,-0.26264672204714257,-34.06907539279466
dtheta_p95_deg,street00,0.7814915845886045,0.6253211252375631,-0.15617045935104135,-19.983639290658918
dtheta_p95_deg,street01,1.2563602926278152,0.7844750374569776,-0.4718852551708377,-37.55970782742886
dtheta_p95_deg,street02,1.274303845961793,1.1128801333290848,-0.16142371263270827,-12.667599893404715
accum_yaw_residual_absmax_deg,building00,3.895460318721485,3.357494782028543,-0.5379655366929423,-13.810063321849112
accum_yaw_residual_absmax_deg,building01,5.966973405964976,4.57713962654206,-1.3898337794229159,-23.292106146032886
accum_yaw_residual_absmax_deg,building02,6.801391952229078,5.396980953058513,-1.4044109991705653,-20.64887612763275
accum_yaw_residual_absmax_deg,parking00,5.11240102618292,4.392005139089577,-0.7203958870933427,-14.091145890235708
accum_yaw_residual_absmax_deg,parking01,17.85462171215332,9.057315375399767,-8.797306336753554,-49.27187189166481
accum_yaw_residual_absmax_deg,parking02,40.85505844131552,32.8197694301075,-8.035289011208022,-19.66779468141005
accum_yaw_residual_absmax_deg,playground00,2.5348061539992948,1.1392681014240018,-1.395538052575293,-55.05502069156177
accum_yaw_residual_absmax_deg,street00,2.069986013240323,1.4456711104687237,-0.6243149027715995,-30.160344020600743
accum_yaw_residual_absmax_deg,street01,3.6039284355467616,3.17083311312046,-0.43309532242630144,-12.017311946445334
accum_yaw_residual_absmax_deg,street02,4.03690546450031,3.5642683367857706,-0.4726371277145396,-11.70790675855083
hausdorff_m,building00,4.795182790944133,3.832669523362042,-0.9625132675820911,-20.072504209846397
hausdorff_m,building01,3.729464740816695,3.5299893604805788,-0.19947538033611645,-5.348632959389084
hausdorff_m,building02,4.605011203721879,4.595403903772138,-0.009607299949740522,-0.20862707004872597
hausdorff_m,parking00,2.951260215939054,3.204655163672792,0.25339494773373783,8.58599137972355
hausdorff_m,parking01,8.74354349509003,6.8680735693814325,-1.8754699257085976,-21.449769498622324
hausdorff_m,parking02,16.618468358654173,14.320425569529702,-2.2980427891244712,-13.828246620139039
hausdorff_m,playground00,0.408852994008307,0.4172660277884401,0.008413033780133083,2.0577160748301013
hausdorff_m,street00,0.5900678300051384,0.5931374403476734,0.0030696103425349452,0.5202131325322742
hausdorff_m,street01,0.9833999790448668,0.8905940132307358,-0.09280596581413092,-9.437255215753542
hausdorff_m,street02,0.9823875407492372,0.9621662002737356,-0.020221340475501615,-2.0583873101728685
mean_bidirectional_nearest_m,building00,0.7801965845468719,0.7413697510172322,-0.03882683352963967,-4.976544924532039
mean_bidirectional_nearest_m,building01,0.6411906554990549,0.624220442176112,-0.016970213322942906,-2.6466719652572857
mean_bidirectional_nearest_m,building02,0.5501266492394506,0.5532091831196223,0.003082533880171656,0.5603316771571156
mean_bidirectional_nearest_m,parking00,0.965684720504949,0.9547689022442384,-0.010915818260710641,-1.1303708165748803
