sequence,seed,path,zero_bias_replay_position_rmse_m,bias_radps,bias_degps,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,0.0,0.0,17.534377174538083,13.887385331196526,32.74207375614978,24.524530246838065,0.019707347743885183,0.06067309667844167,0.11600745170797787
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,0.0005,0.028647889756541162,38.78797291496787,31.083202776698315,74.989431648928,57.13412070038858,0.01979693556740873,0.06530830152650705,0.1395226462701042
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,-0.0005,-0.028647889756541162,5.674034534724665,3.3185517498820567,12.44586863581173,8.129189555142064,0.019623663989651433,0.057012674512958016,0.09922386810537047
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,0.001,0.057295779513082325,58.208351117763414,48.28304772912996,111.7274444491019,89.76866917229663,0.019892347679126766,0.07072687934513845,0.16694849488819927
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,-0.001,-0.057295779513082325,27.378335031796937,20.5180040367683,57.106720901142694,40.85175923545027,0.01954596014875316,0.05452373018014494,0.09289546119150932
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,0.0025,0.1432394487827058,97.78161719511408,98.29951692848611,170.40729674233233,175.0874602750424,0.020212679663494937,0.09018101662847235,0.2597388835887871
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,-0.0025,-0.1432394487827058,83.7889537978098,72.11847528240087,166.8805540501046,138.94825309328178,0.019349420921956118,0.05530869133632755,0.1391451457875027
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,0.005,0.2864788975654116,106.19577558756274,87.58781497249774,211.5192528931297,171.11353472572756,0.020854702405360928,0.12811233817275083,0.4258628552597786
building00,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_01_building00\v2_evaluated_trajectory.csv,17.66198113279391,-0.005,-0.2864788975654116,112.78845284463033,98.89306580706538,206.65123299385002,171.81086649690423,0.01914716867075608,0.07915902967108963,0.2918430879959702
building01,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_02_building01\v2_evaluated_trajectory.csv,4.1737791660190116,0.0,0.0,4.073923381865353,5.257363484970214,8.116089500694233,9.29928233303232,0.024016669201675396,0.06505633796063229,0.1053293082830534
building01,01_42,results\i2nav_v2_full_loso\i2nav_v2_full_loso\replicate_01_base42\fold_02_building01\v2_evaluated_trajectory.csv,4.1737791660190116,0.0005,0.028647889756541162,11.301943744760372,14.362962254646048,24.82005855374152,27.92261306000348,0.024083269105047635,0.0681965654311822,0.12066354717602508
