abs_bias_radps,n_sequences,ate_m,heading_mae_deg,dp_p95_m,dtheta_p95_deg,rpe1_m,rpe5_m,rpe10_m,abs_bias_degps
0.0,10,14.191360564268203,9.415804813270109,26.343900062860378,17.279829190914093,0.018544110766216104,0.06316712988328013,0.11883071430540286,0.0
0.0005,10,30.419256666277242,19.314998971828025,56.54780845798168,36.56581878882886,0.018546636426755428,0.06353019215415004,0.12172185735908556,0.028647889756541162
0.001,10,57.89085125957344,37.89125122843406,106.46608052112549,71.94462801775283,0.01855421307398498,0.06462794433422837,0.1305984105343317,0.057295779513082325
0.0025,10,121.95563644358715,90.1882573630182,211.30416363423492,163.7564609805603,0.01860723491730514,0.07250334709506086,0.190553571629532,0.1432394487827058
0.005,10,166.22678184285976,90.23320516259751,273.4756090003681,170.8445732740284,0.018796354109934806,0.09880366344676092,0.336968713758509,0.2864788975654116
