method,sequence,run_count,official_ape_translation_rmse_m_mean,official_ape_translation_rmse_m_median,official_ape_translation_rmse_m_sd,official_ape_rotation_rmse_deg_mean,official_ape_rotation_rmse_deg_median,official_ape_rotation_rmse_deg_sd,official_rpe_50m_translation_rmse_m_mean,official_rpe_50m_translation_rmse_m_median,official_rpe_50m_translation_rmse_m_sd,official_rpe_50m_translation_pct_mean,official_rpe_50m_translation_pct_median,official_rpe_50m_translation_pct_sd,official_rpe_50m_rotation_rmse_deg_mean,official_rpe_50m_rotation_rmse_deg_median,official_rpe_50m_rotation_rmse_deg_sd,official_rpe_100m_translation_rmse_m_mean,official_rpe_100m_translation_rmse_m_median,official_rpe_100m_translation_rmse_m_sd,official_rpe_100m_translation_pct_mean,official_rpe_100m_translation_pct_median,official_rpe_100m_translation_pct_sd,official_rpe_100m_rotation_rmse_deg_mean,official_rpe_100m_rotation_rmse_deg_median,official_rpe_100m_rotation_rmse_deg_sd,official_rpe_150m_translation_rmse_m_mean,official_rpe_150m_translation_rmse_m_median,official_rpe_150m_translation_rmse_m_sd,official_rpe_150m_translation_pct_mean,official_rpe_150m_translation_pct_median,official_rpe_150m_translation_pct_sd,official_rpe_150m_rotation_rmse_deg_mean,official_rpe_150m_rotation_rmse_deg_median,official_rpe_150m_rotation_rmse_deg_sd,official_rpe_200m_translation_rmse_m_mean,official_rpe_200m_translation_rmse_m_median,official_rpe_200m_translation_rmse_m_sd,official_rpe_200m_translation_pct_mean,official_rpe_200m_translation_pct_median,official_rpe_200m_translation_pct_sd,official_rpe_200m_rotation_rmse_deg_mean,official_rpe_200m_rotation_rmse_deg_median,official_rpe_200m_rotation_rmse_deg_sd,official_rpe_250m_translation_rmse_m_mean,official_rpe_250m_translation_rmse_m_median,official_rpe_250m_translation_rmse_m_sd,official_rpe_250m_translation_pct_mean,official_rpe_250m_translation_pct_median,official_rpe_250m_translation_pct_sd,official_rpe_250m_rotation_rmse_deg_mean,official_rpe_250m_rotation_rmse_deg_median,official_rpe_250m_rotation_rmse_deg_sd,official_rpe_300m_translation_rmse_m_mean,official_rpe_300m_translation_rmse_m_median,official_rpe_300m_translation_rmse_m_sd,official_rpe_300m_translation_pct_mean,official_rpe_300m_translation_pct_median,official_rpe_300m_translation_pct_sd,official_rpe_300m_rotation_rmse_deg_mean,official_rpe_300m_rotation_rmse_deg_median,official_rpe_300m_rotation_rmse_deg_sd
Fixed Physics,building00,1,1.9039137861423503,1.9039137861423503,0.0,178.8447709607098,178.8447709607098,0.0,47.15253505147677,47.15253505147677,0.0,94.30507010295354,94.30507010295354,0.0,125.58657399097655,125.58657399097655,0.0,104.77152891010579,104.77152891010579,0.0,104.77152891010579,104.77152891010579,0.0,135.5275403620519,135.5275403620519,0.0,135.6464133334808,135.6464133334808,0.0,90.43094222232054,90.43094222232054,0.0,94.01460386674523,94.01460386674523,0.0,141.2456043315378,141.2456043315378,0.0,70.6228021657689,70.6228021657689,0.0,113.84426906186718,113.84426906186718,0.0,151.1717309173038,151.1717309173038,0.0,60.468692366921516,60.468692366921516,0.0,121.85154893861028,121.85154893861028,0.0,159.05618523115203,159.05618523115203,0.0,53.01872841038401,53.01872841038401,0.0,123.670563368555,123.670563368555,0.0
Fixed Physics,building01,1,1.905828804688801,1.905828804688801,0.0,179.0195162114632,179.0195162114632,0.0,49.79431442783294,49.79431442783294,0.0,99.58862885566586,99.58862885566586,0.0,118.16609345824907,118.16609345824907,0.0,93.36102625435889,93.36102625435889,0.0,93.36102625435889,93.36102625435889,0.0,123.61549810709957,123.61549810709957,0.0,104.81705519077862,104.81705519077862,0.0,69.8780367938524,69.8780367938524,0.0,106.05113698236127,106.05113698236127,0.0,95.66345631470226,95.66345631470226,0.0,47.83172815735113,47.83172815735113,0.0,117.18619068252215,117.18619068252215,0.0,92.69978920626859,92.69978920626859,0.0,37.07991568250744,37.07991568250744,0.0,113.75526007268267,113.75526007268267,0.0,96.28002438429071,96.28002438429071,0.0,32.09334146143024,32.09334146143024,0.0,113.96494360937984,113.96494360937984,0.0
Fixed Physics,building02,1,1.3603478508146327,1.3603478508146327,0.0,179.2182489625962,179.2182489625962,0.0,39.21190039277079,39.21190039277079,0.0,78.42380078554157,78.42380078554157,0.0,99.4974328889843,99.4974328889843,0.0,93.51422445031987,93.51422445031987,0.0,93.51422445031987,93.51422445031987,0.0,116.59875830325072,116.59875830325072,0.0,147.35529506913437,147.35529506913437,0.0,98.23686337942291,98.23686337942291,0.0,115.56101194983293,115.56101194983293,0.0,191.67172911174396,191.67172911174396,0.0,95.83586455587198,95.83586455587198,0.0,117.04469323089987,117.04469323089987,0.0,231.984499908204,231.984499908204,0.0,92.79379996328159,92.79379996328159,0.0,122.28475958425402,122.28475958425402,0.0,274.6490188127832,274.6490188127832,0.0,91.5496729375944,91.5496729375944,0.0,120.89196561542622,120.89196561542622,0.0
Fixed Physics,parking00,1,1.4246003899578847,1.4246003899578847,0.0,179.34976246713362,179.34976246713362,0.0,54.08531834573535,54.08531834573535,0.0,108.1706366914707,108.1706366914707,0.0,124.25893895396017,124.25893895396017,0.0,105.63629676157501,105.63629676157501,0.0,105.63629676157501,105.63629676157501,0.0,100.84440091854168,100.84440091854168,0.0,118.69420706572521,118.69420706572521,0.0,79.12947137715014,79.12947137715014,0.0,110.8005825680828,110.8005825680828,0.0,112.93250127547282,112.93250127547282,0.0,56.46625063773641,56.46625063773641,0.0,113.69206088971139,113.69206088971139,0.0,102.29928107960403,102.29928107960403,0.0,40.91971243184161,40.91971243184161,0.0,97.905108457404,97.905108457404,0.0,96.31619900229329,96.31619900229329,0.0,32.105399667431094,32.105399667431094,0.0,110.79165309171837,110.79165309171837,0.0
Fixed Physics,parking01,1,8.096159228903327,8.096159228903327,0.0,177.76906164769287,177.76906164769287,0.0,48.35024084595056,48.35024084595056,0.0,96.70048169190112,96.70048169190112,0.0,118.72769180448209,118.72769180448209,0.0,85.38015544407504,85.38015544407504,0.0,85.38015544407504,85.38015544407504,0.0,108.53076919256924,108.53076919256924,0.0,90.01993141213012,90.01993141213012,0.0,60.01328760808674,60.01328760808674,0.0,122.1681276249621,122.1681276249621,0.0,85.56891230139689,85.56891230139689,0.0,42.784456150698446,42.784456150698446,0.0,116.2979842682273,116.2979842682273,0.0,85.08373094409751,85.08373094409751,0.0,34.03349237763901,34.03349237763901,0.0,110.54985760324585,110.54985760324585,0.0,94.61740735335322,94.61740735335322,0.0,31.53913578445107,31.53913578445107,0.0,109.25921979229875,109.25921979229875,0.0
Fixed Physics,parking02,1,13.460913193373989,13.460913193373989,0.0,179.65893020811703,179.65893020811703,0.0,49.53099104928577,49.53099104928577,0.0,99.06198209857153,99.06198209857153,0.0,114.06392112012051,114.06392112012051,0.0,81.72132441359034,81.72132441359034,0.0,81.72132441359034,81.72132441359034,0.0,100.78144808599475,100.78144808599475,0.0,75.65401729098103,75.65401729098103,0.0,50.43601152732069,50.43601152732069,0.0,87.99100003580988,87.99100003580988,0.0,79.49299002400043,79.49299002400043,0.0,39.74649501200022,39.74649501200022,0.0,104.1300075369623,104.1300075369623,0.0,99.5344836860543,99.5344836860543,0.0,39.81379347442172,39.81379347442172,0.0,92.61536411043694,92.61536411043694,0.0,89.21362481540216,89.21362481540216,0.0,29.73787493846739,29.73787493846739,0.0,105.04764980226444,105.04764980226444,0.0
Fixed Physics,playground00,1,0.8833695770735607,0.8833695770735607,0.0,179.49693560867115,179.49693560867115,0.0,39.95708049254591,39.95708049254591,0.0,79.91416098509183,79.91416098509183,0.0,101.08233806806948,101.08233806806948,0.0,116.47163453072888,116.47163453072888,0.0,116.47163453072888,116.47163453072888,0.0,118.66834116577321,118.66834116577321,0.0,185.1159012240933,185.1159012240933,0.0,123.41060081606221,123.41060081606221,0.0,119.866825478949,119.866825478949,0.0,234.27997759484083,234.27997759484083,0.0,117.13998879742041,117.13998879742041,0.0,32.70144994414838,32.70144994414838,0.0,220.28520893484125,220.28520893484125,0.0,88.1140835739365,88.1140835739365,0.0,74.1619499388664,74.1619499388664,0.0,155.99814493461045,155.99814493461045,0.0,51.99938164487015,51.99938164487015,0.0,123.02671740857247,123.02671740857247,0.0
Fixed Physics,street00,1,1.2228151647456944,1.2228151647456944,0.0,179.32748058707276,179.32748058707276,0.0,46.4374752722747,46.4374752722747,0.0,92.8749505445494,92.8749505445494,0.0,121.34655949974318,121.34655949974318,0.0,114.11237375309523,114.11237375309523,0.0,114.11237375309524,114.11237375309524,0.0,136.23327632805,136.23327632805,0.0,160.89494362765336,160.89494362765336,0.0,107.26329575176891,107.26329575176891,0.0,104.30755795273365,104.30755795273365,0.0,192.17566062740335,192.17566062740335,0.0,96.08783031370167,96.08783031370167,0.0,115.07760581407767,115.07760581407767,0.0,221.6261164029432,221.6261164029432,0.0,88.65044656117729,88.65044656117729,0.0,123.38915035756268,123.38915035756268,0.0,232.78884824482986,232.78884824482986,0.0,77.59628274827662,77.59628274827662,0.0,111.21809424360366,111.21809424360366,0.0
Fixed Physics,street01,1,1.5173753067397533,1.5173753067397533,0.0,179.30268048285032,179.30268048285032,0.0,42.774878413903316,42.774878413903316,0.0,85.54975682780663,85.54975682780663,0.0,107.2042994313196,107.2042994313196,0.0,97.89374071557552,97.89374071557552,0.0,97.89374071557552,97.89374071557552,0.0,125.18137420962121,125.18137420962121,0.0,152.05055979310046,152.05055979310046,0.0,101.36703986206697,101.36703986206697,0.0,125.89321586901342,125.89321586901342,0.0,202.29704789767933,202.29704789767933,0.0,101.14852394883967,101.14852394883967,0.0,132.1717227064196,132.1717227064196,0.0,243.1188405566889,243.1188405566889,0.0,97.24753622267555,97.24753622267555,0.0,109.46599115415681,109.46599115415681,0.0,269.9513091707182,269.9513091707182,0.0,89.98376972357275,89.98376972357275,0.0,97.02035201941595,97.02035201941595,0.0
Fixed Physics,street02,1,1.2146948337745913,1.2146948337745913,0.0,179.34068488509493,179.34068488509493,0.0,44.2444273102308,44.2444273102308,0.0,88.4888546204616,88.4888546204616,0.0,102.68810354787237,102.68810354787237,0.0,85.31859745847441,85.31859745847441,0.0,85.31859745847441,85.31859745847441,0.0,107.7910991576919,107.7910991576919,0.0,131.1222551297018,131.1222551297018,0.0,87.41483675313454,87.41483675313454,0.0,119.81518024896315,119.81518024896315,0.0,182.50076279756797,182.50076279756797,0.0,91.25038139878399,91.25038139878399,0.0,134.26069268827314,134.26069268827314,0.0,229.65672233281705,229.65672233281705,0.0,91.86268893312682,91.86268893312682,0.0,121.74380077762572,121.74380077762572,0.0,270.616403264081,270.616403264081,0.0,90.20546775469366,90.20546775469366,0.0,119.48019616226848,119.48019616226848,0.0
