aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
0.6,0.0,,2.0,1.0,C:\Users\shrey\Documents\DigitalTwinDivergence\raw_logs\live_validation\ugv01_live_contract_20260827_192535.jsonl,,0.0,,contract-aware,,0.1,0.0,ugv01_live_contract_20260827_192535,,local_1s_tight,Immediate motion,87,,1.0,,0.0
1.0,0.0,,5.0,5.0,C:\Users\shrey\Documents\DigitalTwinDivergence\raw_logs\live_validation\ugv01_live_contract_20260827_192535.jsonl,,0.0,,contract-aware,,0.2,0.0,ugv01_live_contract_20260827_192535,,local_5s_moderate,Short prediction,87,,1.0,,0.0
1.5,0.0,,10.0,10.0,C:\Users\shrey\Documents\DigitalTwinDivergence\raw_logs\live_validation\ugv01_live_contract_20260827_192535.jsonl,,0.0,,contract-aware,,0.5,0.0,ugv01_live_contract_20260827_192535,,local_10s_preview,Planning support,87,,1.0,,0.0
1.0,0.0,,5.0,0.0,C:\Users\shrey\Documents\DigitalTwinDivergence\raw_logs\live_validation\ugv01_live_contract_20260827_192535.jsonl,,0.0,,contract-aware,,1.0,0.0,ugv01_live_contract_20260827_192535,,global_state_tracking,Global asset tracking,87,,1.0,,0.0
