test_sequence,n_seeds,ate_rmse_m_mean,ate_rmse_m_std,heading_mae_deg_mean,heading_mae_deg_std,rpe_1s_trans_rmse_m_mean,rpe_1s_trans_rmse_m_std,rpe_5s_trans_rmse_m_mean,rpe_5s_trans_rmse_m_std,rpe_10s_trans_rmse_m_mean,rpe_10s_trans_rmse_m_std
building00,3,1.880781941596983,0.0786614839080293,0.7654635565908924,0.06692759867199276,0.12531151769283547,0.014678810339255412,0.32739149786512706,0.03602594214473639,0.5073534479123216,0.04231047871255767
building01,3,1.602177758349784,0.11033185328153217,1.1536729721650234,0.413031057762295,0.10249847666750224,0.01239398114303284,0.2684393582343895,0.03240519648609076,0.43403244436011157,0.05878444080440019
building02,3,1.6616292437749556,0.11407758306135125,0.7319718617530556,0.1802031396871435,0.11565120255401608,0.013539270755595238,0.30251385375173007,0.028135247907749916,0.4718262620023875,0.04869848994274207
parking00,3,2.078512466957156,0.09476370470755323,0.8061565077472582,0.10970112116983474,0.10782229950764227,0.03892764391910325,0.28067248267841843,0.07114710308384264,0.4336029515854561,0.07536297330214092
parking01,3,5.694577739818765,0.30180592000469364,7.805086626163049,0.468050596789685,0.022797829584082673,0.00014350776853302243,0.08313899561314443,0.0005966532553049367,0.15326228281695722,0.0008112017089221258
parking02,3,14.016534584057785,7.935870956160409,20.638377211311305,11.941161248342267,0.019342016763902445,0.0001747435308025673,0.05964489594645173,0.0004929231522038954,0.11119336229877547,0.0015519371992619205
playground00,3,0.24061409526515556,0.0004158716535845348,0.287190747194539,0.1044773140504713,0.014820440523106238,0.0011017095160134004,0.05195563363014558,0.007473470042703885,0.09763286279822851,0.015651360496029647
street00,3,0.29768216774394235,0.0007052585509075635,0.2925855009306146,0.03458199194013453,0.017754614752439894,0.00024838185265556377,0.06493516652553366,0.001410158671343687,0.11398159091475925,0.003076110440093229
street01,3,0.4023618866745191,0.0015735013987927908,0.4246660878536021,0.03064395357557562,0.04251049891055869,0.0023116917844116765,0.12274377381417306,0.004878278903813109,0.20763001331853206,0.006735830546204383
street02,3,0.46445744463709165,0.006759471954233614,0.4529057581170246,0.05803718648923358,0.037713063265792754,0.004765148472473547,0.10822033994749401,0.005954160145790759,0.1839510587811112,0.006085290191253708
