fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed_inferred,checkpoint_sha256,checkpoint_relative_path,trajectory_relative_path,trajectory_sha256
1,building00,gru_dual,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.9331200935831725,1.434771260910651,3.7759514070969042,4.578335707987904,1.0198340027803607,0.7286099059947811,2.0471574743266285,0.10901754397899084,0.28652268106143003,0.4590112014099774,2.393123033972227,0.6891191834268021,0.0004122606630691796,1.0077529718395322,1198,624,25,549,45.826377295492485,43.899999999999636,0.024825604632496834,0.053318098187446594,0.23891840875148773,0.024231627583503723,0.09151162207126617,0.28249338269233704,1.0576229095458984,1.1167088747024536,7.090670585632324,1.0125104188919067,1.0176905393600464,7.667657375335693,,replicate_03_base2042,2042,115de19000df716e1a58d5784c536c38fc504a594b51e68d6d6a56b2077e0669,checkpoints\replicate_03_base2042\fold_01_building00\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_01_building00_gru_dual_trajectory.csv,fc4b009f1411e240b07bdf5089c14c72753a215e00165905b034f6acd41f4537
2,building01,gru_dual,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.516521550770515,1.407295883939667,2.0186296154809353,4.271890983983603,0.5625652124150092,0.829033371541515,2.701356607191891,0.09471524837063659,0.24416516532133462,0.3875869174561107,1.2785944961018945,0.2286720879604509,0.00013236461520774488,1.0084380480748747,1365,768,15,582,42.637362637362635,104.89999999999964,0.024401076138019562,0.054982323199510574,0.28147467970848083,0.020927317440509796,0.07957795262336731,0.25975826382637024,1.0976136922836304,1.389765977859497,9.206870079040527,1.0148987770080566,1.0395041704177856,4.884087085723877,,replicate_03_base2042,2042,0eabc695a1c404c97aba8e25c275d12191e22e83472f8bd8ac9a9593e4fa0f87,checkpoints\replicate_03_base2042\fold_02_building01\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_02_building01_gru_dual_trajectory.csv,49d7e888bca9457a1c1cbafda0f08983f4fa2fa98d2308bcbafb3213ef3c5455
3,building02,gru_dual,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.5299048644044309,0.35545543752068853,4.3547782818858085,4.926371487280367,1.4921577783619018,0.5358822150946682,1.7740179072563986,0.10034672327388243,0.2712354235758995,0.4187261515993263,0.09925043764957954,0.19868145129911588,7.882631091684236e-05,1.0052942146813035,1872,1464,19,389,20.77991452991453,32.90000000002328,0.02351348288357258,0.05736103653907776,0.24650467932224274,0.021950528025627136,0.08940530568361282,0.2686116099357605,1.041292667388916,1.0839864015579224,6.27595329284668,1.0009808540344238,1.001558542251587,1.4871853590011597,,replicate_03_base2042,2042,8e3c7834181be86f259a38a94a94d236b3b7b14c2ca3bce7566b67e0fccfbf33,checkpoints\replicate_03_base2042\fold_03_building02\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_03_building02_gru_dual_trajectory.csv,05bc2357ac2480b71191be700141cc02abdf0db0b85f6f88bfb7d255c1ceaae4
4,parking00,gru_dual,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.0175049471690656,2.018089461317286,2.9198119003661493,3.3849278794120807,0.7314931468575857,0.8954569564383097,3.0434417806971177,0.09129420852820332,0.2547295214555238,0.4150786044702065,2.1265590125463385,0.5418186385947132,0.00034260612363504016,1.0020164396029363,1140,703,2,435,38.1578947368421,135.89999999999418,0.023261357098817825,0.05321662873029709,0.10660286992788315,0.020764954388141632,0.07568047195672989,0.27674630284309387,1.0253608226776123,1.0730160474777222,3.8518965244293213,1.0092155933380127,1.0153212547302246,6.493016242980957,,replicate_03_base2042,2042,f46ec2338f27285ea458e51497a1ef4838b15b8920d9cd6a3884f74bd97840e0,checkpoints\replicate_03_base2042\fold_04_parking00\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_04_parking00_gru_dual_trajectory.csv,afb885e2e4c3a49dac8f8f5513fa653993f8c721f244c99113d6a547ed78d606
5,parking01,gru_dual,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.787287028988055,3.968962901354159,11.548924908360249,14.364041706566091,3.0911453110845692,7.929502522973321,16.298841424646213,0.022800007218939183,0.08269699910903584,0.15234164486689575,7.43389185851685,4.689992501521481,0.003834855691060299,0.9999462318249613,0,0,0,0,0.0,0.0,0.021823331713676453,0.05134231224656105,0.19630296528339386,0.016505880281329155,0.07369780540466309,0.275576651096344,1.1300567388534546,1.5769597291946411,5.979048252105713,1.0066781044006348,1.0155460834503174,1.9337408542633057,,replicate_03_base2042,2042,3ab724fea8785e3bf17098cdd9146485aeb9b88cd45c759601039473b55152cd,checkpoints\replicate_03_base2042\fold_05_parking01\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_05_parking01_gru_dual_trajectory.csv,1ced178625cbfb607c7d437dc3eb77f5fc8be3f4988e1c3b53f941aa101c9b34
6,parking02,gru_dual,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,21.17420237082682,14.287300135846666,41.494557663629294,47.880193002517075,11.285699589513385,31.611778887573394,58.945338330241036,0.019543074061788634,0.05966394196912267,0.112875097536175,40.49630262743024,21.04325277116324,0.014602940952304485,0.9984768415892428,0,0,0,0,0.0,0.0,0.022224443033337593,0.05101003497838974,0.2502395510673523,0.016280610114336014,0.07089439034461975,0.2743090093135834,1.124432921409607,1.407038927078247,7.271317958831787,1.0200659036636353,1.0373789072036743,7.9524245262146,,replicate_03_base2042,2042,73e92636ca1d0d865717094924252eba397f71941bdbdcbb37091e959e587aa4,checkpoints\replicate_03_base2042\fold_06_parking02\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_06_parking02_gru_dual_trajectory.csv,4a2ba2c5dffbcd892e993d319df0c07d81bf3aaed246f3d0abd7f5dedddc7316
7,playground00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.2401343292354302,0.23130960673514894,0.3696785351420955,0.42781270229372853,0.2055561610583438,0.21489016795651034,0.8284805342421174,0.014036561941264196,0.04674202916903277,0.08675082409230282,0.025262363642552448,0.09177884501712541,5.3704531909798826e-05,1.0011658202267313,1326,1326,0,0,0.0,0.9000000000232831,0.021213462576270103,0.05035829916596413,0.19637058675289154,0.020098546519875526,0.07549183070659637,0.2439953237771988,1.0361552238464355,1.0971794128417969,7.2661519050598145,1.005977749824524,1.0061885118484497,2.2384495735168457,,replicate_03_base2042,2042,6ea220b7d21a7ba0f2c874f20bcb19995d17ade5cf0229ffda04a18f90c4ffa1,checkpoints\replicate_03_base2042\fold_07_playground00\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_07_playground00_gru_dual_trajectory.csv,db532fa28d0b07705c1ef9b417e3db8316df473e8ee296772d6bbe508258b0ac
8,street00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.2975431948479382,0.2386514178661392,0.515852807145686,0.5917030126091278,0.25995186499412104,0.30403805670396905,0.775886772115697,0.01775825619698441,0.06504088134033732,0.11444599501514822,0.026654899185277595,0.129044044963925,7.741362626884214e-05,1.0015003552342718,1373,1373,0,0,0.0,0.9000000000087311,0.019592750817537308,0.03759704902768135,0.19100341200828552,0.012729452922940254,0.04694080352783203,0.19394329190254211,1.016566276550293,1.0166223049163818,8.863414764404297,1.002517819404602,1.0010247230529785,2.682443857192993,,replicate_03_base2042,2042,04976059d28486a5da61b2e8959367811be807693f3996c149451674821c51bc,checkpoints\replicate_03_base2042\fold_08_street00\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_08_street00_gru_dual_trajectory.csv,2ca3b9be518733c140ef618facfcc6751e9b92c2e8339fe63f952bae1faaf61a
9,street01,gru_dual,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.4020866783812673,0.2569843474737316,0.7598252067881281,0.8999338198485659,0.33183720416552326,0.43570189670165343,1.221035698383409,0.04105598247691341,0.11976070136283239,0.20280635852325488,0.09538250377418891,0.12625097241956615,7.60782410154434e-05,1.0006550826748157,1248,1211,2,35,2.8044871794871793,11.900000000008731,0.02243461087346077,0.05308623984456062,0.17004358768463135,0.022724729031324387,0.14068442583084106,0.19996406137943268,1.0658663511276245,1.2564928531646729,7.543725967407227,1.0414987802505493,1.0238397121429443,9.434518814086914,,replicate_03_base2042,2042,d2ddb39a97dc71a0f484425df4c7074b9aab04b1ca9e3e4485a6dd1d44d6cf97,checkpoints\replicate_03_base2042\fold_09_street01\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_09_street01_gru_dual_trajectory.csv,eaf94ef41ddf1f76fe9f52efdbb85085f98c9190976dabdb73ed648c92a48cb1
10,street02,gru_dual,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.47192147105232957,0.28134090873343437,0.8488168982703231,0.9832330810155806,0.381580843979415,0.3862333548151152,1.281106185762612,0.04287422068770241,0.11422052479340863,0.1901051444599745,0.08670923782911377,0.15826181095578193,8.573177168100409e-05,1.001538228369828,1379,1242,10,127,9.209572153734591,11.900000000008731,0.021284183487296104,0.04206124320626259,0.16431081295013428,0.02490602433681488,0.15435630083084106,0.2387368381023407,1.021947979927063,1.0305513143539429,4.187914848327637,1.0973145961761475,1.071785569190979,9.918084144592285,,replicate_03_base2042,2042,520cb4c7026dfbd5067ffcd15e714eb5b8d737ffe3fb7cd586a64883a7637c38,checkpoints\replicate_03_base2042\fold_10_street02\gru_dual.pt,canonical_predictions\replicate_03_base2042\fold_10_street02_gru_dual_trajectory.csv,3a6af7c206e98b0189d12d7b5597c6aaf65958cc2ddd2fde8e840255a64f1259
