fold,test_sequence,method,status,train_sequences,validation_sequences,samples,duration_s,gnss_source,odo_source,ate_rmse_m,ate_median_m,ate_p95_m,ate_max_m,ate_se2_rmse_m,heading_mae_deg,heading_p95_deg,rpe_1s_trans_rmse_m,rpe_5s_trans_rmse_m,rpe_10s_trans_rmse_m,final_error_m,final_error_se2_m,final_drift_per_m,path_length_ratio,gnss_seen,gnss_normal,gnss_reacquired,gnss_rejected,gnss_rejection_rate_pct,gnss_max_coast_s,mean_abs_delta_v_mps,p95_abs_delta_v_mps,max_abs_delta_v_mps,mean_abs_delta_omega_radps,p95_abs_delta_omega_radps,max_abs_delta_omega_radps,alpha_xy_mean,alpha_xy_p95,alpha_xy_max,alpha_heading_mean,alpha_heading_p95,alpha_heading_max,error,replicate,base_seed_inferred,checkpoint_sha256,checkpoint_relative_path,trajectory_relative_path,trajectory_sha256
1,building00,gru_dual,ok,"parking00,parking01,parking02,playground00,street00,street01,street02","building01,building02",12009,1200.7999999999993,OEM719_RTK,ODO_SPEED,1.7903231507529414,1.4256192913571764,3.2881879244889554,4.897324226550629,0.950708454551192,0.8427177547038557,2.640719950689928,0.13750168256157436,0.3545470198068053,0.5376439674748743,1.3958109955405111,0.2976226417287136,0.0001780506341636523,1.0107591877321647,1198,642,24,532,44.40734557595993,55.899999999999636,0.024374544620513916,0.050973229110240936,0.27341824769973755,0.024171680212020874,0.09161369502544403,0.28264427185058594,1.0646566152572632,1.2116522789001465,6.850058078765869,1.019334316253662,1.0414934158325195,7.3770432472229,,replicate_02_base1042,1042,ff530c32baeb1e2b1575fdb5693dcf806aac46d551f9b8687152c635ef296849,checkpoints\replicate_02_base1042\fold_01_building00\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_01_building00_gru_dual_trajectory.csv,b394963ebe5d51934404456dab2923c004ffcea681d43199d7d12f703ac23c67
2,building01,gru_dual,ok,"building00,parking01,parking02,playground00,street00,street01,street02","building02,parking00",13689,1368.800000000001,OEM719_RTK,ODO_SPEED,1.5633334774191818,1.418852805553644,2.1328924498180535,4.219300437501683,0.5983462109828728,1.0134179850993474,2.9525863597489126,0.0959892838023901,0.2559153633096137,0.4143865682997211,1.2802231630180565,0.2497192071332277,0.00014454753554307662,1.0086480967424791,1365,769,16,580,42.49084249084249,103.89999999999964,0.022813616320490837,0.05120321363210678,0.19711898267269135,0.020640142261981964,0.07814297080039978,0.25020283460617065,1.0693622827529907,1.1257895231246948,6.907270431518555,1.0114601850509644,1.0217119455337524,3.902405261993408,,replicate_02_base1042,1042,cb0d1ae7d29ee36b4a8e8c00151c1151b68ed9b7390236cbbdb06906e10e5725,checkpoints\replicate_02_base1042\fold_02_building01\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_02_building01_gru_dual_trajectory.csv,9e969b06476660630f92cae1e3861cd693d5236a5b6d11b9c08d47acfaf4ab21
3,building02,gru_dual,ok,"building00,building01,parking02,playground00,street00,street01,street02","parking00,parking01",18714,1871.2999999999884,OEM719_RTK,ODO_SPEED,1.7270322312095268,0.36092892942865673,4.570807341892014,5.07532693578816,1.7017447038811293,0.7697273045235993,3.0064936902178614,0.1205391089894409,0.3105480028220282,0.48235050586438266,0.10954249082104399,0.17049931624274478,6.76451275415031e-05,1.0069068711344726,1872,1431,19,422,22.542735042735043,33.90000000002328,0.02260740101337433,0.055291034281253815,0.1966383010149002,0.02234666980803013,0.09126005321741104,0.26509910821914673,1.0610135793685913,1.207244873046875,6.794414043426514,1.008626937866211,1.0215539932250977,4.946723937988281,,replicate_02_base1042,1042,56677c2cc94b1e9692ce1f5a27ba1c8835cdd9bbeae52bb9784f71de6b0efc86,checkpoints\replicate_02_base1042\fold_03_building02\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_03_building02_gru_dual_trajectory.csv,2e65aa8c54dc5de0d39fc992e0815e0ded79efa4eaec37a85a52849f7038418a
4,parking00,gru_dual,ok,"building00,building01,building02,playground00,street00,street01,street02","parking01,parking02",11409,1140.7999999999884,OEM719_RTK,ODO_SPEED,2.1876846552509073,2.0686089705306805,3.190363442611376,6.044607540464916,0.8154887676505457,0.6837026306365735,2.712677601384836,0.1522868714786719,0.3611504988954164,0.5165008105673676,2.124642053574864,0.3556867858071668,0.0002249100754999189,1.0053955231796752,1140,718,2,420,36.8421052631579,135.89999999999418,0.02289213240146637,0.05329761654138565,0.14010785520076752,0.021060479804873466,0.07661573588848114,0.2768147885799408,1.0875022411346436,1.2236868143081665,9.297900199890137,1.0126019716262817,1.021709680557251,5.488710403442383,,replicate_02_base1042,1042,19ec300bfcabc63b01f7d12429c4268e03d8653f752bece370db6bad99a39971,checkpoints\replicate_02_base1042\fold_04_parking00\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_04_parking00_gru_dual_trajectory.csv,03013cb1f695ead4939fa8e9fe5fce4e2b66fd491a519ed4eb0d642f5e026601
5,parking01,gru_dual,ok,"building00,building01,building02,parking00,street00,street01,street02","parking02,playground00",10599,1059.7999999999884,NONE,ODO_SPEED,5.939153592305455,4.137388231678065,11.745147194281921,13.686436356937339,2.942708479618469,8.198358506752406,16.469460736475458,0.022653245390216178,0.08290231010447217,0.15357304398965696,6.88240882467269,4.528929096641097,0.003703159336614803,0.9994259537933418,0,0,0,0,0.0,0.0,0.021684935316443443,0.0520261786878109,0.14197081327438354,0.01640210673213005,0.0736798495054245,0.2708643972873688,1.1766444444656372,1.9682507514953613,8.085301399230957,1.030112624168396,1.1429009437561035,2.9952003955841064,,replicate_02_base1042,1042,d56e67cea0675475b86fea4680517592f2a7a984c4b04210f10462d2ac8f9719,checkpoints\replicate_02_base1042\fold_05_parking01\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_05_parking01_gru_dual_trajectory.csv,1067f8026725a6765112b3aded8a5dcb27008467b2cbf17190dbff375c0e92e8
6,parking02,gru_dual,ok,"building00,building01,building02,parking00,parking01,street01,street02","playground00,street00",12569,1256.7999999999884,NONE,ODO_SPEED,15.392889054753585,10.079380879115474,29.876234640960064,33.68624834862959,8.341041916246885,22.382144801813865,42.38444524660971,0.019256228324672105,0.059142725829427076,0.10981645922050284,28.047949153931025,14.528474640927913,0.010082018194414134,0.9987151636838493,0,0,0,0,0.0,0.0,0.021309709176421165,0.05146724358201027,0.1544639766216278,0.01602790504693985,0.06839613616466522,0.2761100232601166,1.1230931282043457,1.3037391901016235,8.532214164733887,1.0227739810943604,1.0376943349838257,4.4649152755737305,,replicate_02_base1042,1042,aa420d1ad4eee2e3b92aa2e9f929c87e14f041442385ec54d81a2b1b2648ab0a,checkpoints\replicate_02_base1042\fold_06_parking02\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_06_parking02_gru_dual_trajectory.csv,0edaabb5087ff83d0b6060d9d65126812ea9f26e6b5c0ab3b5057f4585fd0437
7,playground00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,street02","street00,street01",13263,1326.2000000000116,OEM719_RTK,ODO_SPEED,0.24083615554744658,0.2308899569841231,0.3688163661098919,0.4207067993883724,0.2058893824810388,0.23970504675792637,0.6695400468251814,0.014344673277016351,0.0486070600647097,0.09057784235537086,0.026101633537738825,0.09155637273931663,5.357435191526526e-05,1.001293054254767,1326,1326,0,0,0.0,0.9000000000232831,0.021988606080412865,0.05401921644806862,0.3483751714229584,0.0202193483710289,0.07476264238357544,0.24762001633644104,1.0489528179168701,1.1419105529785156,4.465373992919922,1.0110578536987305,1.0137639045715332,6.564119338989258,,replicate_02_base1042,1042,3cbd1deee6e3700bcdd4925616ffaa7a64d6ce13819ee7284a612a3dc1f67af3,checkpoints\replicate_02_base1042\fold_07_playground00\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_07_playground00_gru_dual_trajectory.csv,62784067015531a6f03b4c8f425a4f0dc86755c67e7fa8bcb7f9db9bea104b94
8,street00,gru_dual,ok,"building00,building01,building02,parking00,parking01,parking02,playground00","street01,street02",13738,1373.699999999997,OEM719_RTK,ODO_SPEED,0.29844656751334536,0.23599749443002474,0.519111674259528,0.5950976866647675,0.2611579297898104,0.25373003061126276,0.7649710936370393,0.017504432198076167,0.06347512549052169,0.11069968362252793,0.030857673197221682,0.12770425814270747,7.6609887078191e-05,1.0015571047785892,1373,1373,0,0,0.0,0.9000000000087311,0.01951754093170166,0.03751419112086296,0.20564736425876617,0.01322859711945057,0.04769095033407211,0.18962939083576202,1.0275046825408936,1.0499800443649292,7.487263202667236,1.0049110651016235,1.00489342212677,4.675146102905273,,replicate_02_base1042,1042,949162a1750d5630abaccde980dbe5a896b0ce39b9c19a861811b6cf327c87e3,checkpoints\replicate_02_base1042\fold_08_street00\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_08_street00_gru_dual_trajectory.csv,5dac885d159277d9627785d13c01201a51b4a1f4d35e2b391c182aaa330cff53
9,street01,gru_dual,ok,"building01,building02,parking00,parking01,parking02,playground00,street00","street02,building00",12483,1248.199999999997,OEM719_RTK,ODO_SPEED,0.4009441445740036,0.25523162989327125,0.7672432690772147,0.9058725903934386,0.3322985228074731,0.39003272219256374,1.2780544330787384,0.041299405930020974,0.12009724719281856,0.20475783854365226,0.0965599186665378,0.12871111917396577,7.756071385606898e-05,1.0006657166152881,1248,1209,2,37,2.96474358974359,11.900000000008731,0.021747414022684097,0.050120871514081955,0.1271216720342636,0.022733626887202263,0.14249126613140106,0.1999329924583435,1.0691603422164917,1.334134817123413,4.509095191955566,1.057922124862671,1.0922807455062866,9.281243324279785,,replicate_02_base1042,1042,2ad83401ab305dadff61b5a4c992c1bbd54926e5dcb04f928c8b79004d3bb572,checkpoints\replicate_02_base1042\fold_09_street01\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_09_street01_gru_dual_trajectory.csv,d6b9226b0a261ddf3b72830d594ac3526fefd5a518df6fd75a9e717930b83fa3
10,street02,gru_dual,ok,"building02,parking00,parking01,parking02,playground00,street00,street01","building00,building01",13799,1379.800000000003,OEM719_RTK,ODO_SPEED,0.45874889573423633,0.27885662357978286,0.8482961600853547,0.973135670804206,0.34957092453425914,0.4803761270012925,1.2628374579760546,0.036784295837768606,0.10812719771380128,0.18381105165897613,0.07823888058742093,0.1629116648261306,8.82506371480127e-05,1.000893982524856,1379,1238,10,131,9.499637418419145,11.900000000008731,0.021803975105285645,0.041993819177150726,0.2262231409549713,0.024677470326423645,0.15468041598796844,0.2386924922466278,1.0185835361480713,1.0312707424163818,4.535541534423828,1.0899773836135864,1.0913517475128174,9.720690727233887,,replicate_02_base1042,1042,4299cd34f14b21fb0bcf00c5835f17d467ef1bd7ae40482580f2185933240d39,checkpoints\replicate_02_base1042\fold_10_street02\gru_dual.pt,canonical_predictions\replicate_02_base1042\fold_10_street02_gru_dual_trajectory.csv,7a8bf3285adbdad1b0fa2aa279ab600a186820b0acaff32cb575cdc4786c11cd
