timestamp_ns,timestamp_s,bag_timestamp_ns,topic,msgtype,header.seq,header.stamp.sec,header.stamp.nanosec,header.stamp.__msgtype__,header.frame_id,header.__msgtype__,latitude,longitude,altitude,heading,heading_accuracy,horizontal_accuracy,speed_east,speed_north,speed_accuracy,read_timestamp,__msgtype__
1655311719381232023,1655311719.381232023,1655311719383088672,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1833,1655311719,381232023,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.07212033333333,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,0.004999999888241291,0.004000000189989805,0.07100000232458115,673.7623291015625,fpn_msgs/msg/FullGPS
1655311719574446916,1655311719.574446917,1655311719576734208,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1834,1655311719,574446916,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,155.68179321289062,0.014000000432133675,0.02500000037252903,-0.024000000208616257,0.11500000208616257,673.9569091796875,fpn_msgs/msg/FullGPS
1655311719787919044,1655311719.787919044,1655311719793234592,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1835,1655311719,787919044,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.02199999988079071,0.01600000075995922,0.11400000005960464,674.1627197265625,fpn_msgs/msg/FullGPS
1655311719991024971,1655311719.991024971,1655311719992088352,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1836,1655311719,991024971,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,0.006000000052154064,0.004999999888241291,0.07999999821186066,674.3644409179688,fpn_msgs/msg/FullGPS
1655311720171221017,1655311720.171221018,1655311720174399328,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1837,1655311720,171221017,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.004000000189989805,-0.01600000075995922,0.08100000023841858,674.5538940429688,fpn_msgs/msg/FullGPS
1655311720379367113,1655311720.379367113,1655311720381859648,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1838,1655311720,379367113,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.07212033333333,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.020999999716877937,0.014000000432133675,0.10899999737739563,674.7622680664062,fpn_msgs/msg/FullGPS
1655311720576565027,1655311720.576565027,1655311720578749824,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1839,1655311720,576565027,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.07212033333333,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,0.010999999940395355,0.014999999664723873,0.07999999821186066,674.9591064453125,fpn_msgs/msg/FullGPS
1655311720771869897,1655311720.771869898,1655311720775787904,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1840,1655311720,771869897,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.07212033333333,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.003000000026077032,-0.008999999612569809,0.08500000089406967,675.1539916992188,fpn_msgs/msg/FullGPS
1655311720987512111,1655311720.987512112,1655311720989795680,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1841,1655311720,987512111,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.006000000052154064,-0.0010000000474974513,0.08699999749660492,675.3615112304688,fpn_msgs/msg/FullGPS
1655311721172544002,1655311721.172544003,1655311721176920896,/terrasentia/full_gps,fpn_msgs/msg/FullGPS,1842,1655311721,172544002,builtin_interfaces/msg/Time,,std_msgs/msg/Header,40.072120166666664,-88.21021233333333,-1.0,154.0040283203125,180.0,0.014000000432133675,-0.007000000216066837,-0.0010000000474974513,0.09000000357627869,675.5545654296875,fpn_msgs/msg/FullGPS
