epoch,train_loss,train_mean_loss,train_nll,validation_loss,validation_mean_loss,validation_nll
1,-5.059013024254016,0.4386428732651996,-5.059829991119674,-5.420378334651386,0.45799834021504054,-5.421018239916809
2,-5.818115748480954,0.43864287307579114,-5.818726422521554,-5.7417616647972975,0.45799834021504054,-5.742422721578036
3,-6.099388892783849,0.43864287497998145,-6.099908159128021,-6.104840836982918,0.45799834021504054,-6.10538346894394
4,-6.21683405812701,0.4386428737515978,-6.217356885125142,-6.165750653167502,0.45799834021504054,-6.1662707120871945
5,-6.247229473135254,0.4386428744287084,-6.24773013294581,-6.172475599472122,0.45799834021504054,-6.172932776571351
6,-6.263670588592797,0.43864287240389654,-6.264140559237502,-6.183426228359606,0.45799834021504054,-6.183881795151319
7,-6.275221263006028,0.4386428707181291,-6.275669327391672,-6.192475184039957,0.45799834021504054,-6.1929215213739175
8,-6.286599123182055,0.43864287083842457,-6.287033286004376,-6.212630002781864,0.45799834021504054,-6.213058284981771
9,-6.291751365320907,0.43864287020239046,-6.2921803993466625,-6.209208052734597,0.45799834021504054,-6.209625660727444
10,-6.299317588012475,0.43864287469863983,-6.299741268564812,-6.223165635233529,0.45799834021504054,-6.223528952722285
11,-6.3048427433796865,0.4386428761640286,-6.305265377484747,-6.228249975568227,0.45799834021504054,-6.228661687579218
12,-6.309588716264244,0.43864287413628267,-6.3100089437544264,-6.222176261288934,0.45799834021504054,-6.222558045940721
13,-6.314706557489487,0.4386428739498083,-6.315126171038201,-6.230154681390234,0.45799834021504054,-6.23056795140207
14,-6.319529243691109,0.43864287119344314,-6.319948798079197,-6.21941352361541,0.45799834021504054,-6.219821382599849
15,-6.321416762930441,0.43864287421973974,-6.321835505156098,-6.219240913946736,0.45799834021504054,-6.219654971944456
16,-6.32734511663448,0.4386428732655256,-6.327764168428472,-6.233475680518378,0.45799834021504054,-6.233914232753221
17,-6.329079904796944,0.43864287238727034,-6.329499522341165,-6.212443603859416,0.45799834021504054,-6.212866072856571
18,-6.332165388527527,0.4386428723210915,-6.332585397986127,-6.224823955844954,0.45799834021504054,-6.225260427055654
19,-6.335575661372931,0.4386428717561263,-6.335991940780594,-6.222998867764167,0.45799834021504054,-6.223413943593265
20,-6.337380483564456,0.4386428749353189,-6.337800179365324,-6.236355956359294,0.45799834021504054,-6.236754434044707
21,-6.343570477796858,0.4386428740110971,-6.343989295545943,-6.231974667552172,0.45799834021504054,-6.232370522958775
22,-6.343310198082888,0.4386428735592553,-6.34372799525117,-6.242088269992042,0.45799834021504054,-6.242509165014198
23,-6.34797566958635,0.4386428735592553,-6.348394631940448,-6.245250417060834,0.45799834021504054,-6.24565113933183
24,-6.352139499772008,0.43864287201953767,-6.352556574233402,-6.249623513037257,0.45799834021504054,-6.250032446674179
25,-6.353166520465801,0.4386428733923412,-6.353585471266312,-6.245673995046221,0.45799834021504054,-6.2461139511834185
26,-6.353600962029503,0.43864287414899683,-6.354021017159982,-6.253821620151136,0.45799834021504054,-6.254210516773791
27,-6.359217389475412,0.438642873143274,-6.359636623336208,-6.2521024758239525,0.45799834021504054,-6.252522188802171
28,-6.36149982418822,0.43864287149467096,-6.361918298255894,-6.2558475230029895,0.45799834021504054,-6.256265268208604
29,-6.3607957708614835,0.43864287118496703,-6.361214602078452,-6.256919824637551,0.45799834021504054,-6.257339143818164
30,-6.364401904936048,0.43864287193934065,-6.3648217174464055,-6.26279935133582,0.45799834021504054,-6.263213223026295
31,-6.365190492503129,0.4386428727360948,-6.365610898294116,-6.266132554239612,0.45799834021504054,-6.266531734874588
32,-6.36577319712888,0.43864287273153074,-6.366192099983308,-6.257006224882727,0.45799834021504054,-6.257419300600242
33,-6.367926829553696,0.4386428731660943,-6.3683468554376885,-6.263131471303142,0.45799834021504054,-6.263542405051647
34,-6.369524285584062,0.4386428733551767,-6.3699446459326765,-6.2557278663503295,0.45799834021504054,-6.256140412663567
35,-6.3707696379149725,0.43864287306894506,-6.371190618542577,-6.270702347432042,0.45799834021504054,-6.2711153620744655
36,-6.372487689628874,0.43864287173298,-6.372907526112273,-6.265215759511747,0.45799834021504054,-6.265627246886207
37,-6.3727481089456495,0.438642875259041,-6.37316853443772,-6.254751314919376,0.45799834021504054,-6.255157829904535
38,-6.374248781543998,0.43864287273772484,-6.374667619385372,-6.249885167802091,0.45799834021504054,-6.250268588849616
39,-6.373545257178574,0.4386428720531161,-6.373966317476378,-6.265328360016258,0.45799834021504054,-6.265744124817534
40,-6.374949364918957,0.4386428720808264,-6.375369573928616,-6.261154825230539,0.45799834021504054,-6.261568846244621
41,-6.377059380475092,0.43864287343798175,-6.377481258365252,-6.263810816058583,0.45799834021504054,-6.264218412077205
42,-6.377681314381234,0.4386428742243038,-6.378102060040686,-6.256704856332563,0.45799834021504054,-6.257115406397531
43,-6.377993080965135,0.43864287138937164,-6.378413548269195,-6.252626237187757,0.45799834021504054,-6.253027824233432
44,-6.379750133453982,0.43864287403000535,-6.380171396573319,-6.261171348365155,0.45799834021504054,-6.26158661835835
45,-6.380749689569929,0.4386428740365254,-6.381171183927929,-6.262889445907808,0.45799834021504054,-6.263295049671699
