condition,time_s,Dp_m,signed_heading_error_rad,Dtheta_rad,Dtheta_deg,rv_mps,Dv_mps,romega_radps,Domega_radps,Iomega_deg,derived_Dv_mps,derived_Domega_radps,derived_Iomega_deg
smooth_floor_square_1p5,0.0,0.0011571144270269118,0.003023953931913681,0.003023953931913681,0.17325979774064462,,,,,,,,
smooth_floor_square_1p5,0.100007604361819,0.0011571144270269118,0.003023953931913681,0.003023953931913681,0.17325979774064462,,,,,,0.0,0.0,0.0
smooth_floor_square_1p5,0.20001520872363893,0.0008681070263869164,-0.0015292418058656665,0.0015292418058656665,0.08761910133106707,,,,,,0.0,0.045528495226285305,-0.2608788990717117
smooth_floor_square_1p5,0.3000228130854588,0.0012113254767650925,0.022091328453516468,0.022091328453516468,1.2657398842237615,,,,,,0.0,0.2361877420233437,1.0924800864831168
smooth_floor_square_1p5,0.40003041744727863,0.0012134825153279696,0.02198633314713483,0.02198633314713483,1.2597240962994105,,,,,,0.0,0.0010498732276597287,1.0864642985587531
smooth_floor_square_1p5,0.5000380218090976,0.0015853242335551008,0.028498133690522565,0.028498133690522565,1.632822784466524,,,,,,0.0,0.06511305400166634,1.4595629867259048
smooth_floor_square_1p5,0.6000456261709175,0.0015853242335551008,0.028752919022980272,0.028752919022980272,1.6474209086981881,,,,,,0.0,0.0025476595913215927,1.474161110957556
smooth_floor_square_1p5,0.7000532305327374,0.0017014110446947662,0.025345736827194543,0.025345736827194543,1.4522037488475492,,,,,,0.0,0.03406923121024238,1.2789439511069427
smooth_floor_square_1p5,0.8000608348945573,0.0015853242335551008,0.025361706974391218,0.025361706974391218,1.4531187708801214,,,,,,0.0,0.0001596893286057593,1.2798589731394767
smooth_floor_square_1p5,0.9000684392563764,0.0015836724766740567,0.02462202617124909,0.02462202617124909,1.4107381826732304,,,,,,0.0,0.007396245594143059,1.2374783849325985
smooth_floor_square_1p5,1.0000760436181961,0.0013765791061507743,0.02200478052934418,0.02200478052934418,1.2607810534430712,,,,,,0.0,0.02617046632210225,1.0875212557024265
smooth_floor_square_1p5,1.100083647980016,0.0013765791061507743,0.022480053032922775,0.022480053032922775,1.2880121620167408,,,,,,0.0,0.004752363648863528,1.1147523642761217
smooth_floor_square_1p5,1.200091252341836,0.0013765791061507743,0.019908207664027344,0.019908207664027344,1.1406562768187665,,,,,,0.0,0.025716498113390367,0.9673964790781472
smooth_floor_square_1p5,1.3000988567036547,0.0015632033736991966,0.024912767380410372,0.024912767380410372,1.4273964268887023,,,,,,0.0,0.05004179180492084,1.254136629148083
