condition,time_s,Dp_m,signed_heading_error_rad,Dtheta_rad,Dtheta_deg,rv_mps,Dv_mps,romega_radps,Domega_radps,Iomega_deg,derived_Dv_mps,derived_Domega_radps,derived_Iomega_deg
carpet_low_speed,0.0,0.0009178796800030014,-0.008042056824267618,0.008042056824267618,0.46077591463491646,,,,,,,,
carpet_low_speed,0.1000248804716151,0.0009244409090290505,-0.00808040759313755,0.00808040759313755,0.4629732518322453,,,,,,9.476818924291441e-05,0.00038341229391458914,-0.0021973371973415556
carpet_low_speed,0.20004976094323018,0.0009359862868360188,-0.007983811454323586,0.007983811454323586,0.4574387007609453,,,,,,9.476818924346898e-05,0.0009657211121791116,0.003337213873996625
carpet_low_speed,0.3000746414148453,0.0009437683442925674,-0.007943266486281964,0.007943266486281964,0.45511564521166753,,,,,,9.476818924402347e-05,0.0004053488277162034,0.0056602694232744
carpet_low_speed,0.4000995218864603,0.0009653199476209386,-0.007656264488945297,0.007656264488945297,0.4386716420524516,,,,,,9.476818924346905e-05,0.0028693060764805396,0.02210427258247757
carpet_low_speed,0.5001244023580754,0.0009684707346034421,-0.007256267703597885,0.007256267703597885,0.4157535144332446,,,,,,9.476818924295834e-05,0.003998972890157066,0.04502240020167187
carpet_low_speed,0.6001492828296905,0.0009792298067852218,-0.007215722735555374,0.007215722735555374,0.41343045888391594,,,,,,9.4768189243469e-05,0.00040534882772508317,0.047345455751000534
carpet_low_speed,0.7001741633013056,0.000984917062580331,-0.007295423545580881,0.007295423545580881,0.4179969789221515,,,,,,9.4768189243469e-05,0.0007968098502064634,0.042778935712765025
carpet_low_speed,0.8001990437729206,0.0009945882843316145,-0.007254878577538371,0.007254878577538371,0.4156739233728228,,,,,,9.476818924402353e-05,0.00040534882772508317,0.04510199126209369
carpet_low_speed,0.9002239242445357,0.0010026474033279,-0.00709980840923663,0.00709980840923663,0.4067890572007497,,,,,,9.4768189243469e-05,0.0015503159571001988,0.053986857434192244
