condition,time_s,Dp_m,signed_heading_error_rad,Dtheta_rad,Dtheta_deg,rv_mps,Dv_mps,romega_radps,Domega_radps,Iomega_deg,derived_Dv_mps,derived_Domega_radps,derived_Iomega_deg
smooth_floor_trapezoid,0.0,0.0003716969833914584,-0.003586389391722733,0.003586389391722733,0.20548497583620315,,,,,,,,
smooth_floor_trapezoid,0.10000736357659434,0.0004539142340758452,-0.0032143897576748515,0.0032143897576748515,0.1841709668248484,,,,,,0.0016035103915713247,0.0037197224358681527,0.02131400901135473
smooth_floor_trapezoid,0.2000147271531887,0.0006508957757314229,0.0031052540610208013,0.0031052540610208013,0.1779179520123513,,,,,,0.0016035103915713594,0.06319178501145921,0.3834029278485162
smooth_floor_trapezoid,0.30002209072978303,0.0009816169444443687,0.0018456349056350518,0.0018456349056350518,0.10574709061491443,,,,,,0.0016035103915713594,0.012595264091934384,0.3112320664511048
smooth_floor_trapezoid,0.4000294543063774,0.001169733354571462,0.0022942569688844117,0.0022942569688844117,0.1314512414355538,,,,,,0.0016035103915713247,0.004485890310526865,0.33693621727175693
smooth_floor_trapezoid,0.5000368178829717,0.002463233330671017,0.002887599081786263,0.002887599081786263,0.1654472403122047,,,,,,0.013492440274190302,0.005932984249174553,0.37093221614838234
smooth_floor_trapezoid,0.6000441814595661,0.006145571533713133,0.0023474476063576333,0.0023474476063576333,0.1344988404723798,,,,,,0.037118119347396415,0.0054011170388984075,0.33998381630854474
smooth_floor_trapezoid,0.7000515450361604,0.00988909806051366,0.003223916914021352,0.003223916914021352,0.18471683267426417,,,,,,0.03711811934739739,0.008764047729276537,0.39020180851046726
smooth_floor_trapezoid,0.8000589086127547,0.013334113460238684,0.003469467612420729,0.003469467612420729,0.19878585134903826,,,,,,0.037118119347396346,0.0024553261841717793,0.40427082718525403
smooth_floor_trapezoid,0.9000662721893491,0.017032668504194874,0.0027053579910329972,0.0027053579910329972,0.15500559495818195,,,,,,0.037118119347397456,0.007640533597340324,0.3604905707943596
smooth_floor_trapezoid,1.0000736357659434,0.020656332442755315,0.00347327837697442,0.00347327837697442,0.1990041920746828,,,,,,0.037118119347396346,0.007678638436989299,0.4044891679108477
smooth_floor_trapezoid,1.1000809993425378,0.023639139573528166,0.0030348650410694233,0.0030348650410694233,0.17388495824507522,,,,,,0.03711811934739739,0.004383810553795428,0.3793699340812783
smooth_floor_trapezoid,1.2000883629191321,0.024758242011377538,0.008991553787289774,0.008991553787289774,0.5151780832765752,,,,,,0.03711811934739646,0.05956250153177949,0.7206630591127656
smooth_floor_trapezoid,1.3000957264957265,0.03178106705070159,0.015249832442220779,0.015249832442220779,0.8737510372209315,,,,,,0.10002514408827687,0.06257817855720285,1.0792360130571346
smooth_floor_trapezoid,1.4001030900723208,0.03911724698711811,0.015199046053872678,0.015199046053872678,0.8708411915118729,,,,,,0.11825624094798413,0.000507826489286281,1.0763261673480888
smooth_floor_trapezoid,1.5001104536489152,0.04589302528305752,0.01125893922960497,0.01125893922960497,0.6450896996506393,,,,,,0.11825624094798427,0.03939816712846604,0.8505746754868424
smooth_floor_trapezoid,1.6001178172255095,0.05540080948365255,0.02075318344821042,0.02075318344821042,1.1890698230432137,,,,,,0.11825624094798413,0.09493545154136064,1.3945547988793916
smooth_floor_trapezoid,1.7001251808021038,0.06340353004527674,0.024698328892482024,0.024698328892482024,1.4151100065652409,,,,,,0.11825624094798427,0.039448549618553944,1.6205949824014438
smooth_floor_trapezoid,1.8001325443786982,0.06946504257427052,0.03458373709266471,0.03458373709266471,1.9815021751997242,,,,,,0.11825624094798427,0.09884680334174731,2.186987151035902
smooth_floor_trapezoid,1.9001399079552925,0.06954777299989025,0.026524340040245065,0.026524340040245065,1.5197327386759023,,,,,,0.12638044259006162,0.08058803636241528,1.7252177145120673
smooth_floor_trapezoid,2.000147271531887,0.06857583703261722,0.014485738506553325,0.014485738506553325,0.8299716795556458,,,,,,0.12945795718770442,0.12037715127317686,1.035456655391836
smooth_floor_trapezoid,2.100154635108481,0.06933848259705838,0.03777487145966951,0.03777487145966951,2.1643407062882507,,,,,,0.1294579571877034,0.23287418166242893,2.369825682124454
smooth_floor_trapezoid,2.2001619986850756,0.06750473596286778,0.03150065269277036,0.03150065269277036,1.8048544512031535,,,,,,0.12945795718770442,0.06273756794012061,2.0103394270393693
smooth_floor_trapezoid,2.30016936226167,0.06528867228264135,0.024616436847583856,0.024616436847583856,1.41041793801688,,,,,,0.12945795718770442,0.06883708958005738,1.6159029138530447
smooth_floor_trapezoid,2.4001767258382642,0.065867803740597,0.023415542494098496,0.023415542494098496,1.341611759921077,,,,,,0.1294579571877034,0.012008059312206429,1.547096735757255
smooth_floor_trapezoid,2.5001840894148586,0.06499972960191315,0.026361510610083627,0.026361510610083627,1.5104032995471317,,,,,,0.12945795718770442,0.02945751203339661,1.7158882753833475
smooth_floor_trapezoid,2.600191452991453,0.06400256762936041,0.013789453125347961,0.013789453125347961,0.7900774658759208,,,,,,0.13536966563832628,0.12571131799817034,0.9955624417121238
smooth_floor_trapezoid,2.7001988165680473,0.06253295713710058,0.010942278871027611,0.010942278871027611,0.6269463975650573,,,,,,0.13783101041488047,0.02846964615900911,0.8324313734012223
smooth_floor_trapezoid,2.8002061801446416,0.06291763851865273,0.027821973911400733,0.027821973911400733,1.5940816828463449,,,,,,0.13783101041488147,0.16878452182618714,1.7995666586825099
smooth_floor_trapezoid,2.9002135437212395,0.06302697074410947,0.008380732533247226,0.008380732533247226,0.4801806033830489,,,,,,0.1378310104148764,0.1943980991285942,0.6856655792192521
smooth_floor_trapezoid,3.0002209072978303,0.06121416584536035,0.01896088461344192,0.01896088461344192,1.0863786641847635,,,,,,0.13783101041488555,0.10579373059956154,1.2918636400209411
smooth_floor_trapezoid,3.1002282708744247,0.061551546999350934,0.021506523071161965,0.021506523071161965,1.232233003978314,,,,,,0.13783101041488127,0.025454510214850727,1.4377179798145299
smooth_floor_trapezoid,3.200235634451019,0.05936681387113263,0.014391017799774808,0.014391017799774808,0.8245445828247405,,,,,,0.13783101041488174,0.07114981354285682,1.0300295586609436
smooth_floor_trapezoid,3.3002429980276133,0.057530823971206096,0.009619750993423715,0.009619750993423715,0.5511711318899598,,,,,,0.14100951139665238,0.047709154963347135,0.7566561077261375
smooth_floor_trapezoid,3.4002503616042077,0.05744652053730658,-0.00043686044040214256,0.00043686044040214256,0.0250302594712692,,,,,,0.1410851462720328,0.10055870962064671,0.18045471636494667
smooth_floor_trapezoid,3.5002577251807985,0.05622817217405366,0.011972508474434207,0.011972508474434207,0.6859742057696919,,,,,,0.14108514627203791,0.12408455208733321,0.8914591816059078
smooth_floor_trapezoid,3.6002650887574,0.054820739857812266,0.00763782192852247,0.00763782192852247,0.43761496117680865,,,,,,0.14108514627202276,0.043343673814503034,0.6430999370129736
smooth_floor_trapezoid,3.7002724523339907,0.05652966201461385,0.003968827012231557,0.003968827012231557,0.22739703741838457,,,,,,0.14108514627203841,0.036687247669323506,0.432882013254575
smooth_floor_trapezoid,3.800279815910585,0.05659309962499269,0.003724499652387081,0.003724499652387081,0.21339811087972196,,,,,,0.14108514627203178,0.002443093699366717,0.4188830867159251
smooth_floor_trapezoid,3.9002871794871794,0.05534685768061903,0.03414237429771383,0.03414237429771383,1.9562139498149405,,,,,,0.14108514627203392,0.30415634966749094,2.1616989256511308
smooth_floor_trapezoid,4.000294543063774,0.05500739738808174,0.027031038223170434,0.027031038223170434,1.5487644060444736,,,,,,0.13575503724117627,0.07110812464421097,1.7542493818806641
smooth_floor_trapezoid,4.100301906640368,0.05367416081502316,-0.002215522194926045,0.002215522194926045,0.12694007118682288,,,,,,0.1347196269117584,0.29244406983788446,0.07854490464938026
smooth_floor_trapezoid,4.200309270216959,0.054140962869861364,0.020923071711823837,0.020923071711823837,1.1988037035370684,,,,,,0.13471962691176212,0.23136890204118532,1.4042886793732463
smooth_floor_trapezoid,4.30031663379356,0.05233922602526567,0.005604016453235161,0.005604016453235161,0.3210864910922474,,,,,,0.13471962691174763,0.15317927311277132,0.5265714669284379
smooth_floor_trapezoid,4.400323997370151,0.052070949340005585,-0.0011047034428806057,0.0011047034428806057,0.06329484489063011,,,,,,0.13471962691176267,0.06708225930761694,0.14219013094554767
smooth_floor_trapezoid,4.5003313609467455,0.0524301413689439,0.0004916175229796593,0.0004916175229796593,0.028167609201410242,,,,,,0.13477403034473295,0.015962034281986722,0.2336525850376135
smooth_floor_trapezoid,4.60033872452334,0.04985631985509048,-0.0006260057985567613,0.0006260057985567613,0.03586749020801922,,,,,,0.1417573816963912,0.011175410305468852,0.16961748562817128
smooth_floor_trapezoid,4.700346088099931,0.05017640587193706,0.007604049143021818,0.007604049143021818,0.4356799231052207,,,,,,0.141757381696395,0.08229448959801647,0.6411648989414239
smooth_floor_trapezoid,4.8003534516765285,0.052248309855555466,-0.007247404355137377,0.007247404355137377,0.4152456819741037,,,,,,0.14175738169638505,0.14850359980527186,-0.20976070613791312
smooth_floor_trapezoid,4.900360815253123,0.05289968110101568,-0.006045336672701573,0.006045336672701573,0.34637227708146007,,,,,,0.14175738169639,0.01201979173778472,-0.14088730124528218
smooth_floor_trapezoid,5.000368178829721,0.05376240253946478,0.0028819529183810033,0.0028819529183810033,0.1651237389786421,,,,,,0.14175738169638616,0.08926632271677862,0.3706087148148327
smooth_floor_trapezoid,5.1003755424063115,0.055335163198428294,-0.004242810290342902,0.004242810290342902,0.2430951229113237,,,,,,0.141757381696395,0.0712423860995735,-0.03761014707513305
smooth_floor_trapezoid,5.200382905982902,0.05721444974247692,-0.005395136455743632,0.005395136455743632,0.3091185488112796,,,,,,0.1416564000236891,0.011522413192286779,-0.1036335729750889
smooth_floor_trapezoid,5.3003902695595,0.055453778586764174,-0.025022834724445886,0.025022834724445886,1.4337028211641516,,,,,,0.12951221905256097,0.19626253074524258,-1.2282178453279864
smooth_floor_trapezoid,5.400397633136091,0.0551650200230583,0.0026791505544281335,0.0026791505544281335,0.1535040194488666,,,,,,0.12951221905257135,0.27699945572167095,0.35898899528508266
smooth_floor_trapezoid,5.500404996712689,0.05355621684157932,-0.003971048367390928,0.003971048367390928,0.22752431169381615,,,,,,0.12951221905256097,0.06649709265384211,-0.022039335857625526
smooth_floor_trapezoid,5.600412360289283,0.05406021617918546,0.02050911856233739,0.02050911856233739,1.175085935155347,,,,,,0.12951221905256674,0.24478364446613474,1.3805709109915505
smooth_floor_trapezoid,5.700419723865881,0.053617385116408726,0.00033558202997774345,0.00033558202997774345,0.01922743399815737,,,,,,0.1295122190525611,0.2017205114792267,0.22471240983432253
