sequence,replicate,condition,aoi_setting,service,original_aoi_limit_s,aoi_limit_s,rate_hz,delay_ms,jitter_sd_ms,loss_probability,burst_period_s,burst_duration_s,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,eligible_samples,observable_samples,mean_aoi_s,max_aoi_s,qualified
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,local_5s,1.0,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,0.9903936872802127,0.7343682991680247,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,local_10s,1.5,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,0.9903523128607116,0.7808596778361616,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.3s,global,1.0,0.3,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,0.9904347083440089,0.042616790503031854,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_1s,0.6,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.8452004444824344,0.691170185485939,0.6085990255577399,11699,11699,0.15236344986750863,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_5s,1.0,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.7353117763101467,0.691139891928982,0.5310060897160992,11659,11659,0.1523715584526961,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,local_10s,1.5,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.788095443190628,0.6911017314152812,0.555431131019037,11609,11609,0.15238177276251044,0.6000000000003638,0
building00,replicate_01_base42,nominal_5hz,aoi_0.2s,global,1.0,0.2,5.0,50.0,20.0,0.01,,0.0,1.0,0.043983260739602015,0.6911777265351439,0.021009479887266206,11709,11709,0.1523614313775714,0.6000000000003638,0
building00,replicate_01_base42,degraded_2hz,original,local_1s,0.6,0.6,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.6683477220275237,0.39199931618087014,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,local_5s,1.0,1.0,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.9865340080624411,0.4221631357749378,11659,11659,0.4726906252676695,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,local_10s,1.5,1.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.47368421052631576,0.9998277198725127,0.47368421052631576,11609,11609,0.47287449392676173,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,original,global,1.0,1.0,2.0,200.0,50.0,0.05,,0.0,1.0,0.17764113075412077,0.9862498932445127,0.17448116833205227,11709,11709,0.47293534887656846,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,local_1s,0.6,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.6683477220275237,0.39199931618087014,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,local_5s,1.0,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.6682391285702033,0.3270434857191869,11659,11659,0.4726906252676695,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,local_10s,1.5,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.47368421052631576,0.6679300542682401,0.35842880523731585,11609,11609,0.47287449392676173,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.5s,global,1.0,0.5,2.0,200.0,50.0,0.05,,0.0,1.0,0.17764113075412077,0.6680331369032368,0.1066700828422581,11709,11709,0.47293534887656846,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.3s,local_1s,0.6,0.3,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.28643473801179586,0.160953927686127,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.3s,local_5s,1.0,0.3,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.2863024273093747,0.13972038768333475,11659,11659,0.4726906252676695,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.3s,local_10s,1.5,0.3,2.0,200.0,50.0,0.05,,0.0,1.0,0.47368421052631576,0.28607115169265224,0.14867775002153502,11609,11609,0.47287449392676173,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.3s,global,1.0,0.3,2.0,200.0,50.0,0.05,,0.0,1.0,0.17764113075412077,0.28627551456144845,0.035186608591681615,11709,11709,0.47293534887656846,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.2s,local_1s,0.6,0.2,2.0,200.0,50.0,0.05,,0.0,1.0,0.5157705786819387,0.0995811607829729,0.03581502692537824,11699,11699,0.47269852124076794,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.2s,local_5s,1.0,0.2,2.0,200.0,50.0,0.05,,0.0,1.0,0.42224890642422164,0.09949395316922549,0.03285015867570117,11659,11659,0.4726906252676695,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.2s,local_10s,1.5,0.2,2.0,200.0,50.0,0.05,,0.0,1.0,0.47368421052631576,0.09931949349642519,0.03471444568868981,11609,11609,0.47287449392676173,1.6999999999989086,0
building00,replicate_01_base42,degraded_2hz,aoi_0.2s,global,1.0,0.2,2.0,200.0,50.0,0.05,,0.0,1.0,0.17764113075412077,0.09949611410026475,0.006917755572636433,11709,11709,0.47293534887656846,1.6999999999989086,0
building00,replicate_01_base42,stress_1hz,original,local_1s,0.6,0.6,1.0,300.0,100.0,0.1,,0.0,1.0,0.3723395161979656,0.23010513719121292,0.10470980425677408,11699,11699,0.894529446960915,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,original,local_5s,1.0,1.0,1.0,300.0,100.0,0.1,,0.0,1.0,0.26468822368985334,0.6864225062183721,0.22900763358778625,11659,11659,0.8950253023411749,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,original,local_10s,1.5,1.5,1.0,300.0,100.0,0.1,,0.0,1.0,0.3349125678353002,0.9328968903436988,0.33387888707037644,11609,11609,0.8954776466530947,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,original,global,1.0,1.0,1.0,300.0,100.0,0.1,,0.0,1.0,0.17593304295840806,0.6866512938765053,0.1337432744043044,11709,11709,0.894662225638034,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.5s,local_1s,0.6,0.5,1.0,300.0,100.0,0.1,,0.0,1.0,0.3723395161979656,0.23010513719121292,0.10470980425677408,11699,11699,0.894529446960915,4.299999999999272,0
building00,replicate_01_base42,stress_1hz,aoi_0.5s,local_5s,1.0,0.5,1.0,300.0,100.0,0.1,,0.0,1.0,0.26468822368985334,0.2298653400806244,0.08568487863453127,11659,11659,0.8950253023411749,4.299999999999272,0
