sequence,condition,aoi_setting,service,coverage,physical_satisfaction,freshness_satisfaction,joint_satisfaction,mean_aoi_s,max_aoi_s,qualified
street02,ideal_10hz,original,global,1.0,1.0,1.0,1.0,0.0,0.0,1
street02,ideal_10hz,original,local_10s,1.0,0.9894270716720154,1.0,0.9894270716720154,0.0,0.0,1
street02,ideal_10hz,original,local_1s,1.0,0.9880149257419625,1.0,0.9880149257419625,0.0,0.0,1
street02,ideal_10hz,original,local_5s,1.0,0.9674820928445733,1.0,0.9674820928445733,0.0,0.0,1
street02,nominal_5hz,aoi_0.2s,global,1.0,0.9314023260982295,0.8875472257204238,0.8329999753068128,0.1522359680964099,0.4333333333391541,1
street02,nominal_5hz,aoi_0.2s,local_10s,1.0,0.9225315322038958,0.8874294101549868,0.8207577679926362,0.152257631166513,0.4333333333391541,1
street02,nominal_5hz,aoi_0.2s,local_1s,1.0,0.8378678923567352,0.8875379939209727,0.7556033311092989,0.15223762571972993,0.4333333333391541,0
street02,nominal_5hz,aoi_0.2s,local_5s,1.0,0.8341140605249461,0.8874761444469229,0.754008972166456,0.15224923786155906,0.4333333333391541,0
street02,nominal_5hz,aoi_0.3s,global,1.0,0.9314023260982295,0.9875546336765687,0.9226115514729486,0.1522359680964099,0.4333333333391541,1
street02,nominal_5hz,aoi_0.3s,local_10s,1.0,0.9225315322038958,0.9874617508769311,0.9113366669154415,0.152257631166513,0.4333333333391541,1
street02,nominal_5hz,aoi_0.3s,local_1s,1.0,0.8378678923567352,0.9875454073689672,0.8375219314503175,0.15223762571972993,0.4333333333391541,1
street02,nominal_5hz,aoi_0.3s,local_5s,1.0,0.8341140605249461,0.9875083649341958,0.833097875926339,0.15224923786155906,0.4333333333391541,1
street02,nominal_5hz,aoi_0.5s,global,1.0,0.9314023260982295,1.0,0.9314023260982295,0.1522359680964099,0.4333333333391541,1
street02,nominal_5hz,aoi_0.5s,local_10s,1.0,0.9225315322038958,1.0,0.9225315322038958,0.152257631166513,0.4333333333391541,1
street02,nominal_5hz,aoi_0.5s,local_1s,1.0,0.8378678923567352,1.0,0.8378678923567352,0.15223762571972993,0.4333333333391541,1
street02,nominal_5hz,aoi_0.5s,local_5s,1.0,0.8341140605249461,1.0,0.8341140605249461,0.15224923786155906,0.4333333333391541,1
street02,nominal_5hz,original,global,1.0,0.9314023260982295,1.0,0.9314023260982295,0.1522359680964099,0.4333333333391541,1
street02,nominal_5hz,original,local_10s,1.0,0.9225315322038958,1.0,0.9225315322038958,0.152257631166513,0.4333333333391541,1
street02,nominal_5hz,original,local_1s,1.0,0.8378678923567352,1.0,0.8378678923567352,0.15223762571972993,0.4333333333391541,1
street02,nominal_5hz,original,local_5s,1.0,0.8341140605249461,1.0,0.8341140605249461,0.15224923786155906,0.4333333333391541,1
street02,stress_1hz,aoi_0.2s,global,1.0,0.2788848556683211,0.014124503049608612,0.01279107094352668,0.9117045707031206,3.9666666666598758,0
street02,stress_1hz,aoi_0.2s,local_10s,1.0,0.43607731920292564,0.014055775306614922,0.0014677712267084607,0.912189964419385,3.9666666666598758,0
street02,stress_1hz,aoi_0.2s,local_1s,1.0,0.36404971952455084,0.014110262683173945,0.0015321125855635453,0.9118244495456657,3.9666666666598758,0
street02,stress_1hz,aoi_0.2s,local_5s,1.0,0.31848712419758596,0.014077874439239598,0.001140109549656728,0.9119091877900501,3.9666666666598758,0
street02,stress_1hz,aoi_0.3s,global,1.0,0.2788848556683211,0.05975751290219028,0.04825048769044621,0.9117045707031206,3.9666666666598758,0
street02,stress_1hz,aoi_0.3s,local_10s,1.0,0.43607731920292564,0.05963131576983357,0.018459088986740303,0.912189964419385,3.9666666666598758,0
street02,stress_1hz,aoi_0.3s,local_1s,1.0,0.36404971952455084,0.059727679343662736,0.016655546494674673,0.9118244495456657,3.9666666666598758,0
street02,stress_1hz,aoi_0.3s,local_5s,1.0,0.31848712419758596,0.05970704141571864,0.015986318685404118,0.9119091877900501,3.9666666666598758,0
street02,stress_1hz,aoi_0.5s,global,1.0,0.2788848556683211,0.22374496876311825,0.15480159024125242,0.9117045707031206,3.9666666666598758,0
street02,stress_1hz,aoi_0.5s,local_10s,1.0,0.43607731920292564,0.22349926611438664,0.11446127820484116,0.912189964419385,3.9666666666598758,0
street02,stress_1hz,aoi_0.5s,local_1s,1.0,0.36404971952455084,0.22368843749227765,0.101712506486767,0.9118244495456657,3.9666666666598758,0
street02,stress_1hz,aoi_0.5s,local_5s,1.0,0.31848712419758596,0.2236597516543981,0.09809899125089845,0.9119091877900501,3.9666666666598758,0
street02,stress_1hz,original,global,1.0,0.2788848556683211,0.673358520384226,0.2710818085290268,0.9117045707031206,3.9666666666598758,0
street02,stress_1hz,original,local_10s,1.0,0.43607731920292564,0.9224071448118019,0.43349006144737173,0.912189964419385,3.9666666666598758,0
street02,stress_1hz,original,local_1s,1.0,0.36404971952455084,0.31353942718758493,0.1463661749079497,0.9118244495456657,3.9666666666598758,0
street02,stress_1hz,original,local_5s,1.0,0.31848712419758596,0.6732842590527177,0.26864450888541896,0.9119091877900501,3.9666666666598758,0
