packet_id,source_elapsed_s,send_monotonic_ns,datagram_bytes
211,42.2,2232086895938,1127
212,42.4,2232284648152,1127
213,42.6,2232488782405,1127
214,42.8,2232685137946,1127
215,43.0,2232883901987,1127
216,43.2,2233087489884,1127
217,43.4,2233289030054,1127
218,43.6,2233486738573,1127
219,43.8,2233685331278,1127
220,44.0,2233886585365,1127
221,44.2,2234085873086,1127
222,44.4,2234286238126,1127
223,44.6,2234490888274,1127
224,44.8,2234683897664,1127
225,45.0,2234884597408,1127
226,45.2,2235089187621,1127
227,45.4,2235284352209,1127
228,45.6,2235488250166,1127
229,45.8,2235686919282,1127
230,46.0,2235892799603,1127
231,46.2,2236090908672,1127
232,46.4,2236287380633,1127
233,46.6,2236494191237,1127
234,46.8,2236683774812,1127
235,47.0,2236884575925,1127
236,47.2,2237091201422,1127
237,47.4,2237287359998,1127
238,47.6,2237493357147,1127
239,47.8,2237683914970,1127
240,48.0,2237885863879,1127
241,48.2,2238154497675,1127
242,48.4,2238286322624,1127
243,48.6,2238484036992,1127
244,48.8,2238686574019,1127
245,49.0,2238886648836,1127
246,49.2,2239093176620,1127
247,49.4,2239285664702,1127
248,49.6,2239490725661,1127
249,49.8,2239691697291,1127
250,50.0,2239887441723,1127
251,50.2,2240084500001,1127
252,50.4,2240285386393,1127
253,50.6,2240486473923,1127
254,50.8,2240687930044,1127
255,51.0,2240890035137,1127
256,51.2,2241084374864,1127
257,51.4,2241286392304,1127
258,51.6,2241484519091,1127
259,51.8,2241684374308,1127
260,52.0,2241885481241,1127
261,52.2,2242083950227,1127
262,52.4,2242289820617,1127
263,52.6,2242485480265,1127
264,52.8,2242690526367,1127
265,53.0,2242883841435,1127
266,53.2,2243083931603,1127
267,53.4,2243289605152,1127
268,53.6,2243485296287,1127
269,53.8,2243686787389,1127
270,54.0,2243894211506,1127
271,54.2,2244084715490,1127
272,54.4,2244290500278,1127
273,54.6,2244486394315,1127
274,54.8,2244684032730,1127
275,55.0,2244889311709,1127
276,55.2,2245085318723,1127
277,55.4,2245286547441,1127
278,55.6,2245488133715,1127
279,55.8,2245684011662,1127
280,56.0,2245885804023,1127
281,56.2,2246084371381,1127
282,56.4,2246283738291,1127
283,56.6,2246484115807,1127
284,56.8,2246685776665,1127
285,57.0,2246896149430,1127
286,57.2,2247092595349,1127
287,57.4,2247287377506,1127
288,57.6,2247530337483,1127
289,57.8,2247685525798,1127
290,58.0,2247892687700,1127
291,58.2,2248087434200,1127
292,58.4,2248283809774,1127
293,58.6,2248493256897,1127
294,58.8,2248685382617,1127
295,59.0,2248891688673,1127
296,59.2,2249084395513,1127
297,59.4,2249303986230,1127
298,59.6,2249958002844,1127
299,59.8,2249958186445,1127
300,60.0,2249958210897,1127
301,60.2,2250090256960,1127
302,60.4,2250285841910,1127
303,60.6,2250493462494,1127
304,60.8,2250686651405,1127
305,61.0,2250884764187,1127
306,61.2,2251088645477,1127
307,61.4,2251289670949,1127
308,61.6,2251486467330,1127
309,61.8,2251688596354,1127
310,62.0,2251883940151,1127
311,62.2,2252084147609,1127
312,62.4,2252286573560,1127
313,62.6,2252484032119,1127
314,62.8,2252684567889,1127
315,63.0,2252884580659,1127
316,63.2,2253083942634,1127
317,63.4,2253284125557,1127
318,63.6,2253484152100,1127
319,63.8,2253684137409,1127
320,64.0,2253885011628,1127
321,64.2,2254084450539,1127
322,64.4,2254284616070,1127
323,64.6,2254484304613,1127
324,64.8,2254684073725,1127
325,65.0,2254884108977,1127
326,65.2,2255086384958,1127
327,65.4,2255286203583,1127
328,65.6,2255483917628,1127
329,65.8,2255684629855,1127
330,66.0,2255884139339,1127
331,66.2,2256084551821,1127
332,66.4,2256285707652,1127
333,66.6,2256489635664,1127
334,66.8,2256796593842,1127
335,67.0,2256884452845,1127
336,67.2,2257084431150,1127
337,67.4,2257284394458,1127
338,67.6,2257484420828,1127
339,67.8,2257684226159,1127
340,68.0,2257884735903,1127
341,68.2,2258085533740,1127
342,68.4,2258284412847,1127
343,68.6,2258484636056,1127
344,68.8,2258684592506,1127
345,69.0,2258885209145,1127
346,69.2,2259084602636,1127
347,69.4,2259284833156,1127
348,69.6,2259484551024,1127
349,69.8,2259684937564,1127
350,70.0,2259884566316,1127
351,70.2,2260083915758,1127
352,70.4,2260283790424,1127
353,70.6,2260483888172,1127
354,70.8,2260684563034,1127
355,71.0,2260884598866,1127
356,71.2,2261083750298,1127
357,71.4,2261283869194,1127
358,71.6,2261484556362,1127
359,71.8,2261683882810,1127
360,72.0,2261885876686,1127
361,72.2,2262088253087,1127
362,72.4,2262284732370,1127
