time_s,method,pred_v_T_mps,pred_omega_T_radps,x_T_m,y_T_m,theta_T_rad
0.0,nominal_physics,0.0,-0.0001821220607081,0.0,0.0,2.818975761954207
0.0999999046325683,nominal_physics,0.0,0.0,0.0,0.0,2.8189757619542064
0.1999998092651367,nominal_physics,0.0,-0.0007954640367811,0.0,0.0,2.81889621562639
0.2999997138977051,nominal_physics,0.0,-0.0004300849399286,0.0,0.0,2.8188532071734134
0.3999996185302734,nominal_physics,0.0,0.0,0.0,0.0,2.8188532071734134
0.4999995231628418,nominal_physics,0.0,0.0,0.0,0.0,2.8188532071734134
0.5999994277954102,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8188254294214534
0.6999993324279785,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8187976516694944
0.7999992370605469,nominal_physics,0.0,-0.0001040467613512,0.0,0.0,2.818787247003282
0.8999991416931152,nominal_physics,0.0,-2.0577633435451125e-05,0.0,0.0,2.8187851892419005
0.9999990463256836,nominal_physics,0.0,0.0,0.0,0.0,2.8187851892419005
1.099998950958252,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8187574114899414
1.1999988555908203,nominal_physics,0.0,-0.0004316486413751,0.0,0.0,2.8187142466669695
1.299998760223389,nominal_physics,0.0,-0.0004308634682587,0.0,0.0,2.8186711603612338
1.399998664855957,nominal_physics,0.0,-0.0001600006119525,0.0,0.0,2.8186551603152967
1.4999985694885254,nominal_physics,0.0,0.0,0.0,0.0,2.8186551603152967
1.5999984741210938,nominal_physics,0.0,0.0,0.0,0.0,2.8186551603152967
1.699998378753662,nominal_physics,0.0,-0.0002564915697798,0.0,0.0,2.81862951118278
1.7999982833862305,nominal_physics,0.0,0.0002777777845039,0.0,0.0,2.818657288934739
1.8999981880187988,nominal_physics,0.0,0.0,0.0,0.0,2.818657288934739
1.9999980926513672,nominal_physics,0.0,0.0001965643263541,0.0,0.0,2.8186769453486296
2.0999979972839355,nominal_physics,0.0,-0.0004895965406339,0.0,0.0,2.818627985741257
2.199997901916504,nominal_physics,0.0,0.0,0.0,0.0,2.818627985741257
2.2999978065490723,nominal_physics,0.0,-0.0002199400371306,0.0,0.0,2.8186059917585196
2.3999977111816406,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8185782140065605
2.499997615814209,nominal_physics,0.0,0.0002328935025323,0.0,0.0,2.8186015033346026
2.5999975204467773,nominal_physics,0.0,0.0,0.0,0.0,2.8186015033346026
2.6999974250793457,nominal_physics,0.0,0.0,0.0,0.0,2.8186015033346026
2.799997329711914,nominal_physics,0.0,-0.0003821156755822,0.0,0.0,2.8185632918034855
2.8999972343444824,nominal_physics,0.0,0.0,0.0,0.0,2.8185632918034855
2.999997138977051,nominal_physics,0.0,0.0,0.0,0.0,2.8185632918034855
3.099997043609619,nominal_physics,0.0,0.0,0.0,0.0,2.8185632918034855
3.1999969482421875,nominal_physics,0.0,-0.0003296347479304,0.0,0.0,2.8185303283601293
3.299996852874756,nominal_physics,0.0,-0.0008139377159995,0.0,0.0,2.8184489346661525
3.399996757507324,nominal_physics,0.0,-8.917066108181295e-05,0.0,0.0,2.8184400176085482
3.4999966621398926,nominal_physics,0.0,0.0,0.0,0.0,2.8184400176085482
3.599996566772461,nominal_physics,0.0,-0.000647659084005,0.0,0.0,2.818375251761914
3.699996471405029,nominal_physics,0.0,0.0,0.0,0.0,2.818375251761914
3.7999963760375977,nominal_physics,0.0,-0.0005288065971667,0.0,0.0,2.818322371152627
3.899996280670166,nominal_physics,0.0,-1.2266693770905929e-05,0.0,0.0,2.81832114448442
3.9999961853027344,nominal_physics,0.0,0.0,0.0,0.0,2.81832114448442
4.099996089935303,nominal_physics,0.0,0.0,0.0,0.0,2.81832114448442
4.199995994567871,nominal_physics,0.0,0.0001001843997001,0.0,0.0,2.818331162914836
4.29999589920044,nominal_physics,0.0,0.0,0.0,0.0,2.818331162914836
4.399995803833008,nominal_physics,0.0,0.0,0.0,0.0,2.818331162914836
4.499995708465576,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.818303385162876
4.5999956130981445,nominal_physics,0.0,0.0,0.0,0.0,2.818303385162876
4.699995517730713,nominal_physics,0.0,-4.043058350942175e-05,0.0,0.0,2.8182993421083813
4.799995422363281,nominal_physics,0.0,0.0,0.0,0.0,2.8182993421083813
4.89999532699585,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8182715643564222
4.999995231628418,nominal_physics,0.0,0.0004007265196771,0.0,0.0,2.818311636970174
5.099995136260986,nominal_physics,0.0,0.0,0.0,0.0,2.818311636970174
5.199995040893555,nominal_physics,0.0,-0.0005555555690079,0.0,0.0,2.818256081466254
5.299994945526123,nominal_physics,0.0,-0.0005274061070312,0.0,0.0,2.818203340905849
5.399994850158691,nominal_physics,0.0,0.0002758935311474,0.0,0.0,2.8182309302326525
5.49999475479126,nominal_physics,0.0,0.0,0.0,0.0,2.8182309302326525
5.599994659423828,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8182031524806934
5.6999945640563965,nominal_physics,0.0,-0.0001038011333358,0.0,0.0,2.818192772377259
5.799994468688965,nominal_physics,0.0,0.0,0.0,0.0,2.818192772377259
5.899994373321533,nominal_physics,0.0,-0.0005840750432069,0.0,0.0,2.818134364928639
5.999994277954102,nominal_physics,0.0,-0.0002513793148862,0.0,0.0,2.8181092270211243
6.09999418258667,nominal_physics,0.0,0.0,0.0,0.0,2.8181092270211243
6.199994087219238,nominal_physics,0.0,-0.0002777777845039,0.0,0.0,2.8180814492691653
6.299993991851807,nominal_physics,0.0,-0.0002285693209696,0.0,0.0,2.8180585923588666
6.399993896484375,nominal_physics,0.0,5.0276016078509696e-05,0.0,0.0,2.8180636199556792
6.499993801116943,nominal_physics,0.0,0.0,0.0,0.0,2.8180636199556792
6.599993705749512,nominal_physics,0.0,-0.0005555555690079,0.0,0.0,2.81800806445176
6.69999361038208,nominal_physics,0.0,0.0,0.0,0.0,2.81800806445176
6.799993515014648,nominal_physics,0.0,0.0005555555690079,0.0,0.0,2.8180636199556792
6.899993419647217,nominal_physics,0.0,-0.0003406787259921,0.0,0.0,2.8180295521155703
6.999993324279785,nominal_physics,0.0,-0.0006870181818086,0.0,0.0,2.8179608503629083
7.0999932289123535,nominal_physics,0.0,0.0,0.0,0.0,2.8179608503629083
7.199993133544922,nominal_physics,0.0,0.0,0.0,0.0,2.8179608503629083
7.29999303817749,nominal_physics,0.0,0.0002777777845039,0.0,0.0,2.8179886281148674
7.399992942810059,nominal_physics,0.0407141569875711,-0.0328247761396821,-0.003860087424254835,0.0012946502431883,2.814706153631313
7.499992847442627,nominal_physics,0.0828860629354309,0.0280887375056767,-0.011709776881628303,0.003956085697126055,2.8175150247031304
7.599992752075195,nominal_physics,0.1788146336951117,-0.0121270075464859,-0.02866040172872487,0.009650156267461522,2.8163023251050037
7.699992656707764,nominal_physics,0.2502511474636938,0.0815671568303467,-0.052373126343903675,0.01764777246886739,2.8244590330091883
7.799992561340332,nominal_physics,0.2963948587866065,-0.0976372015736155,-0.08053455859023387,0.026890671439611116,2.814695322163235
7.8999924659729,nominal_physics,0.2959753995775295,0.0475261480639761,-0.10856468041205877,0.036394616480509685,2.8194479324371873
7.999992370605469,nominal_physics,0.2731839045882225,0.0168994113181387,-0.13447774930310236,0.04504365656977195,2.8211378719573474
8.099992275238037,nominal_physics,0.2608303796073993,-0.1067690084631876,-0.15923293516216783,0.05325975933984696,2.810460981293314
8.199992179870605,nominal_physics,0.2731287558309302,0.2044754233402654,-0.18506201489226554,0.06213953355124415,2.830908504127045
8.299992084503174,nominal_physics,0.3314847181370782,-0.0545801779288474,-0.21662346162899135,0.07227334663590872,2.825450491539332
