test_sequence,historical_frozen_dual_ate_m,three_seed_dual_ate_mean_m,three_seed_dual_ate_std_m,difference_m,difference_pct
building00,1.8403511071691625,1.8807364373319777,0.07874379120805045,0.0403853301628152,2.194436159789972
building01,1.530515708034674,1.6021969540384269,0.11033511432203993,0.07168124600375281,4.683470128888665
building02,1.5945256168052266,1.661644965154869,0.11410547638038435,0.0671193483496424,4.209361558212025
parking00,2.081690285667974,2.078572747582164,0.0948606001428657,-0.0031175380858101676,-0.14975993822298161
parking01,5.142570070247941,5.694203414623537,0.3122811207018991,0.5516333443755963,10.726802685043436
parking02,5.903279487165326,14.00597101483315,7.94414428569867,8.102691527667824,137.25746079419704
playground00,0.24081332283556262,0.24061407495080175,0.0004157352260246997,-0.00019924788476086142,-0.082739560425781
street00,0.3001707193067734,0.29768275275737627,0.0007050296583368668,-0.002487966549397147,-0.8288505138485723
street01,0.4048822550312061,0.40236056139489973,0.0015711475818235108,-0.002521693636306388,-0.6228214758663675
street02,0.46181310659744834,0.46445372827303694,0.006757416689402621,0.0026406216755885947,0.5717944419213643
