aoi_limit_s,at_risk_fraction,heading_error_p95_deg,heading_tolerance_deg,horizon_s,log_file,minimum_normalized_margin,observable_fraction,physical_condition,policy,position_error_p95_m,position_tolerance_m,qualified_fraction,run_label,satisfied_observable_fraction,service_id,service_label,service_samples,trial,unobservable_fraction,wireless_condition,withdrawn_fraction
1.0,0.0,157.78819926367322,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial4_20260916_111933.jsonl,-30.756881955452293,0.6214285714285714,smooth_floor_mixed_motion,aoi-only,2.210374424404343,1.0,0.014285714285714285,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial4,0.022988505747126436,global_state_tracking,Global asset tracking,140,4,0.37857142857142856,wifi_baseline,0.6071428571428571
0.6,0.0,9.022247900000014,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5_20260916_112136.jsonl,-4.459008537181466,0.06428571428571428,smooth_floor_mixed_motion,aoi-only,0.46680810251981814,0.1,0.007142857142857143,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5,0.1111111111111111,local_1s_tight,Immediate motion,140,5,0.9357142857142857,wifi_baseline,0.05714285714285714
1.0,0.0,86.09903062003409,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5_20260916_112136.jsonl,-16.219806124006816,0.007142857142857143,smooth_floor_mixed_motion,aoi-only,0.5780412449983179,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5,0.0,local_5s_moderate,Short prediction,140,5,0.9928571428571429,wifi_baseline,0.007142857142857143
1.5,0.0,178.1757274615384,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5_20260916_112136.jsonl,-16.81764294615384,0.014285714285714285,smooth_floor_mixed_motion,aoi-only,0.8531186898377382,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5,0.0,local_10s_preview,Planning support,140,5,0.9857142857142858,wifi_baseline,0.014285714285714285
1.0,0.0,173.54639414412486,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5_20260916_112136.jsonl,-33.755289058579834,0.85,smooth_floor_mixed_motion,aoi-only,2.1965266509121486,1.0,0.02142857142857143,smooth_floor_mixed_motion_wifi_baseline_aoi_only_trial5,0.025210084033613446,global_state_tracking,Global asset tracking,140,5,0.15,wifi_baseline,0.8285714285714286
0.6,0.0,,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1_20260916_112359.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1,,local_1s_tight,Immediate motion,140,1,1.0,wifi_baseline,0.0
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1_20260916_112359.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1,,local_5s_moderate,Short prediction,140,1,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1_20260916_112359.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1,,local_10s_preview,Planning support,140,1,1.0,wifi_baseline,0.0
1.0,0.0,0.0,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1_20260916_112359.jsonl,-1.005224808922252,0.8428571428571429,smooth_floor_mixed_motion,contract-aware,1.8986854081195828,1.0,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial1,0.0,global_state_tracking,Global asset tracking,140,1,0.15714285714285714,wifi_baseline,0.8428571428571429
0.6,0.0,14.062153062045455,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2_20260916_112604.jsonl,-6.506698913778411,0.03597122302158273,smooth_floor_mixed_motion,contract-aware,0.27864941873445487,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2,0.0,local_1s_tight,Immediate motion,139,2,0.9640287769784173,wifi_baseline,0.03597122302158273
1.0,0.0,,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2_20260916_112604.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2,,local_5s_moderate,Short prediction,139,2,1.0,wifi_baseline,0.0
1.5,0.0,,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2_20260916_112604.jsonl,,0.0,smooth_floor_mixed_motion,contract-aware,,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2,,local_10s_preview,Planning support,139,2,1.0,wifi_baseline,0.0
1.0,0.0,49.58217556191928,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2_20260916_112604.jsonl,-10.19066216441264,0.7553956834532374,smooth_floor_mixed_motion,contract-aware,2.057227179530062,1.0,0.014388489208633094,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial2,0.01904761904761905,global_state_tracking,Global asset tracking,139,2,0.2446043165467626,wifi_baseline,0.7410071942446043
0.6,0.0,124.98859397421799,2.0,1.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3_20260916_112810.jsonl,-85.311179,0.050359712230215826,smooth_floor_mixed_motion,contract-aware,0.3913306592004986,0.1,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3,0.0,local_1s_tight,Immediate motion,139,3,0.9496402877697842,wifi_baseline,0.050359712230215826
1.0,0.0,166.98372972455644,5.0,5.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3_20260916_112810.jsonl,-32.758335182333106,0.02877697841726619,smooth_floor_mixed_motion,contract-aware,0.7291668034240404,0.2,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3,0.0,local_5s_moderate,Short prediction,139,3,0.9712230215827338,wifi_baseline,0.02877697841726619
1.5,0.0,68.88267832992368,10.0,10.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3_20260916_112810.jsonl,-5.906096622992365,0.02158273381294964,smooth_floor_mixed_motion,contract-aware,0.38889308555374025,0.5,0.0,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3,0.0,local_10s_preview,Planning support,139,3,0.9784172661870504,wifi_baseline,0.02158273381294964
1.0,0.0,148.84140156012234,5.0,0.0,raw_logs\new_trials\ugv01_live_contract_smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3_20260916_112810.jsonl,-28.801106493406557,0.35251798561151076,smooth_floor_mixed_motion,contract-aware,1.858949439614791,1.0,0.014388489208633094,smooth_floor_mixed_motion_wifi_baseline_contract_aware_trial3,0.04081632653061224,global_state_tracking,Global asset tracking,139,3,0.6474820143884892,wifi_baseline,0.3381294964028777
